zoneID	money	freq
99501	203640.0	337
99502	64934.0	100
99503	51830.0	103
99504	47920.0	87
99505	200.0	1
99506	500.0	1
99507	81475.0	164
99508	66390.0	120
99513	500.0	1
99515	90317.0	120
99516	100320.0	222
99517	131410.0	239
99518	18700.0	33
99540	0	0
99546	0	0
99547	0	0
99548	0	0
99549	0	0
99550	0	0
99551	0	0
99552	0	0
99553	0	0
99554	0	0
99555	0	0
99556	4000.0	2
99557	0	0
99558	0	0
99559	6915.0	16
99561	0	0
99563	0	0
99564	0	0
99565	0	0
99566	0	0
99567	4400.0	10
99568	0	0
99569	0	0
99571	0	0
99572	0	0
99573	200.0	1
99574	450.0	2
99575	0	0
99576	67080.0	51
99577	23606.0	64
99578	2000.0	1
99579	0	0
99580	0	0
99581	0	0
99583	0	0
99585	0	0
99586	500.0	1
99587	2700.0	7
99588	1250.0	2
99589	0	0
99590	0	0
99591	0	0
995HH	0	0
995XX	0	0
99602	0	0
99603	12050.0	31
99604	0	0
99605	0	0
99606	0	0
99607	0	0
99608	0	0
99609	0	0
99610	250.0	1
99611	9850.0	21
99612	0	0
99613	0	0
99614	500.0	1
99615	3950.0	10
99620	0	0
99621	0	0
99622	0	0
99624	0	0
99625	0	0
99626	0	0
99627	0	0
99628	0	0
99630	0	0
99631	1000.0	1
99632	0	0
99633	1000.0	2
99634	0	0
99635	0	0
99636	0	0
99637	0	0
99638	0	0
99639	0	0
99640	0	0
99641	0	0
99643	0	0
99644	0	0
99645	16900.0	39
99647	0	0
99648	0	0
99649	0	0
99650	0	0
99651	0	0
99652	0	0
99653	500.0	2
99654	2750.0	8
99655	0	0
99656	0	0
99657	0	0
99658	250.0	1
99659	0	0
99660	250.0	1
99661	0	0
99662	0	0
99663	0	0
99664	900.0	4
99665	0	0
99666	0	0
99667	0	0
99668	0	0
99669	11500.0	15
99670	0	0
99671	0	0
99672	0	0
99674	0	0
99675	0	0
99676	300.0	1
99677	0	0
99678	0	0
99679	0	0
99680	0	0
99681	0	0
99682	0	0
99683	0	0
99684	700.0	3
99685	500.0	1
99686	3750.0	8
99687	8565.0	22
99688	6800.0	20
99689	0	0
99690	0	0
99691	0	0
99692	0	0
99693	0	0
99694	0	0
99695	0	0
99697	0	0
996HH	0	0
996XX	0	0
99701	2575.0	7
99702	0	0
99703	0	0
99704	0	0
99705	2150.0	5
99709	27515.0	53
99712	7600.0	18
99714	0	0
99720	0	0
99721	0	0
99722	0	0
99723	3250.0	4
99724	0	0
99725	500.0	2
99726	0	0
99727	0	0
99729	0	0
99730	0	0
99732	0	0
99733	0	0
99736	0	0
99737	250.0	1
99738	0	0
99739	0	0
99740	0	0
99741	250.0	1
99742	0	0
99743	250.0	1
99744	0	0
99745	0	0
99746	0	0
99747	0	0
99748	0	0
99749	0	0
99750	0	0
99751	0	0
99752	1450.0	6
99753	0	0
99754	0	0
99755	1450.0	4
99756	0	0
99757	0	0
99758	0	0
99759	0	0
99760	0	0
99761	0	0
99762	13743.0	39
99763	0	0
99764	0	0
99765	0	0
99766	0	0
99767	250.0	1
99768	0	0
99769	0	0
99770	0	0
99771	0	0
99772	0	0
99773	0	0
99774	0	0
99775	600.0	1
99776	0	0
99777	0	0
99778	0	0
99779	0	0
99780	0	0
99781	0	0
99782	0	0
99783	0	0
99784	0	0
99785	0	0
99786	0	0
99788	0	0
99789	0	0
99791	0	0
997HH	0	0
997XX	0	0
99801	72100.0	167
99820	0	0
99824	3600.0	11
99825	0	0
99826	250.0	1
99827	500.0	1
99829	0	0
99830	0	0
99832	600.0	2
99833	1750.0	7
99835	8750.0	18
99840	6900.0	7
99841	0	0
99850	0	0
998HH	0	0
998XX	0	0
99901	6550.0	19
99903	0	0
99918	0	0
99919	0	0
99921	250.0	1
99922	0	0
99923	0	0
99925	0	0
99926	0	0
99927	0	0
99929	250.0	1
99950	0	0
999HH	0	0
999XX	0	0
