zoneID	money	freq
99501	152150.0	271
99502	90050.0	150
99503	81730.0	135
99504	68900.0	100
99505	0	0
99506	3250.0	4
99507	85631.0	161
99508	160011.0	267
99513	0	0
99515	145213.0	231
99516	159325.0	299
99517	134353.0	252
99518	27079.0	50
99540	0	0
99546	0	0
99547	0	0
99548	0	0
99549	0	0
99550	0	0
99551	0	0
99552	0	0
99553	0	0
99554	0	0
99555	0	0
99556	375.0	1
99557	0	0
99558	0	0
99559	350.0	1
99561	0	0
99563	0	0
99564	0	0
99565	0	0
99566	0	0
99567	7350.0	13
99568	750.0	2
99569	0	0
99571	0	0
99572	250.0	1
99573	0	0
99574	1250.0	3
99575	200.0	1
99576	1000.0	3
99577	27667.0	63
99578	0	0
99579	0	0
99580	0	0
99581	0	0
99583	0	0
99585	0	0
99586	0	0
99587	14100.0	19
99588	1050.0	3
99589	0	0
99590	0	0
99591	0	0
995HH	0	0
995XX	0	0
99602	0	0
99603	8500.0	14
99604	0	0
99605	0	0
99606	0	0
99607	0	0
99608	0	0
99609	0	0
99610	3250.0	6
99611	9350.0	19
99612	0	0
99613	1000.0	1
99614	0	0
99615	21300.0	45
99620	0	0
99621	0	0
99622	0	0
99624	0	0
99625	0	0
99626	0	0
99627	0	0
99628	0	0
99630	0	0
99631	0	0
99632	0	0
99633	700.0	2
99634	0	0
99635	250.0	1
99636	0	0
99637	0	0
99638	0	0
99639	0	0
99640	0	0
99641	0	0
99643	0	0
99644	0	0
99645	40035.0	71
99647	0	0
99648	0	0
99649	0	0
99650	0	0
99651	0	0
99652	1250.0	2
99653	0	0
99654	7250.0	13
99655	0	0
99656	0	0
99657	0	0
99658	0	0
99659	0	0
99660	0	0
99661	1500.0	2
99662	0	0
99663	400.0	2
99664	15000.0	12
99665	0	0
99666	0	0
99667	0	0
99668	0	0
99669	14545.0	31
99670	0	0
99671	0	0
99672	2550.0	5
99674	0	0
99675	0	0
99676	0	0
99677	0	0
99678	0	0
99679	1578.0	5
99680	0	0
99681	0	0
99682	0	0
99683	0	0
99684	1000.0	1
99685	450.0	2
99686	1750.0	5
99687	9650.0	26
99688	2300.0	5
99689	0	0
99690	0	0
99691	0	0
99692	3750.0	8
99693	0	0
99694	0	0
99695	0	0
99697	0	0
996HH	0	0
996XX	0	0
99701	42501.0	74
99702	0	0
99703	0	0
99704	0	0
99705	20583.0	17
99709	53802.0	94
99712	18100.0	40
99714	0	0
99720	0	0
99721	0	0
99722	0	0
99723	2050.0	5
99724	0	0
99725	250.0	1
99726	0	0
99727	0	0
99729	0	0
99730	0	0
99732	1000.0	1
99733	0	0
99736	0	0
99737	2300.0	5
99738	0	0
99739	0	0
99740	0	0
99741	0	0
99742	0	0
99743	3160.0	5
99744	0	0
99745	0	0
99746	0	0
99747	0	0
99748	0	0
99749	0	0
99750	0	0
99751	0	0
99752	0	0
99753	0	0
99754	0	0
99755	500.0	1
99756	0	0
99757	0	0
99758	0	0
99759	0	0
99760	0	0
99761	0	0
99762	1450.0	4
99763	0	0
99764	0	0
99765	0	0
99766	250.0	1
99767	0	0
99768	0	0
99769	0	0
99770	0	0
99771	0	0
99772	0	0
99773	0	0
99774	0	0
99775	750.0	2
99776	0	0
99777	0	0
99778	0	0
99779	0	0
99780	0	0
99781	0	0
99782	0	0
99783	0	0
99784	0	0
99785	0	0
99786	0	0
99788	0	0
99789	0	0
99791	0	0
997HH	0	0
997XX	0	0
99801	71045.0	142
99820	0	0
99824	7300.0	20
99825	0	0
99826	0	0
99827	2950.0	6
99829	250.0	1
99830	0	0
99832	0	0
99833	18150.0	26
99835	10150.0	20
99840	4700.0	6
99841	0	0
99850	0	0
998HH	0	0
998XX	0	0
99901	42650.0	62
99903	0	0
99918	0	0
99919	0	0
99921	500.0	1
99922	0	0
99923	0	0
99925	0	0
99926	0	0
99927	0	0
99929	800.0	3
99950	0	0
999HH	0	0
999XX	0	0
