zoneID	money	freq
99501	356790.0	610
99502	156984.0	252
99503	133560.0	238
99504	117070.0	188
99505	200.0	1
99506	3750.0	5
99507	167106.0	325
99508	226401.0	387
99513	500.0	1
99515	235530.0	351
99516	260395.0	523
99517	265763.0	491
99518	45779.0	83
99540	0	0
99546	0	0
99547	0	0
99548	0	0
99549	0	0
99550	0	0
99551	0	0
99552	0	0
99553	0	0
99554	0	0
99555	0	0
99556	4375.0	3
99557	0	0
99558	0	0
99559	7265.0	17
99561	0	0
99563	0	0
99564	0	0
99565	0	0
99566	0	0
99567	11750.0	23
99568	750.0	2
99569	0	0
99571	0	0
99572	250.0	1
99573	200.0	1
99574	1700.0	5
99575	200.0	1
99576	72080.0	56
99577	51273.0	127
99578	2000.0	1
99579	0	0
99580	0	0
99581	0	0
99583	0	0
99585	0	0
99586	500.0	1
99587	16800.0	26
99588	2300.0	5
99589	0	0
99590	0	0
99591	0	0
995HH	0	0
995XX	0	0
99602	0	0
99603	20550.0	45
99604	0	0
99605	0	0
99606	0	0
99607	0	0
99608	0	0
99609	0	0
99610	3500.0	7
99611	19200.0	40
99612	0	0
99613	1000.0	1
99614	500.0	1
99615	25250.0	55
99620	0	0
99621	0	0
99622	0	0
99624	0	0
99625	0	0
99626	0	0
99627	0	0
99628	0	0
99630	0	0
99631	1000.0	1
99632	0	0
99633	1700.0	4
99634	0	0
99635	250.0	1
99636	0	0
99637	0	0
99638	0	0
99639	0	0
99640	0	0
99641	0	0
99643	0	0
99644	0	0
99645	56935.0	110
99647	0	0
99648	0	0
99649	0	0
99650	0	0
99651	0	0
99652	1250.0	2
99653	500.0	2
99654	10000.0	21
99655	0	0
99656	0	0
99657	0	0
99658	250.0	1
99659	0	0
99660	250.0	1
99661	1500.0	2
99662	0	0
99663	400.0	2
99664	15900.0	16
99665	0	0
99666	0	0
99667	0	0
99668	0	0
99669	26045.0	46
99670	0	0
99671	0	0
99672	2550.0	5
99674	0	0
99675	0	0
99676	550.0	2
99677	0	0
99678	0	0
99679	1578.0	5
99680	0	0
99681	0	0
99682	0	0
99683	0	0
99684	1700.0	4
99685	950.0	3
99686	5500.0	13
99687	18215.0	48
99688	9100.0	25
99689	0	0
99690	0	0
99691	0	0
99692	3750.0	8
99693	0	0
99694	0	0
99695	0	0
99697	0	0
996HH	0	0
996XX	0	0
99701	46076.0	82
99702	0	0
99703	0	0
99704	0	0
99705	22733.0	22
99709	81317.0	147
99712	25700.0	58
99714	0	0
99720	0	0
99721	0	0
99722	0	0
99723	5300.0	9
99724	0	0
99725	750.0	3
99726	0	0
99727	0	0
99729	0	0
99730	0	0
99732	1000.0	1
99733	0	0
99736	0	0
99737	2550.0	6
99738	0	0
99739	0	0
99740	0	0
99741	250.0	1
99742	0	0
99743	3410.0	6
99744	0	0
99745	0	0
99746	0	0
99747	0	0
99748	0	0
99749	0	0
99750	0	0
99751	0	0
99752	1450.0	6
99753	0	0
99754	0	0
99755	1950.0	5
99756	0	0
99757	0	0
99758	0	0
99759	0	0
99760	0	0
99761	0	0
99762	15193.0	43
99763	0	0
99764	0	0
99765	0	0
99766	250.0	1
99767	250.0	1
99768	0	0
99769	0	0
99770	0	0
99771	0	0
99772	0	0
99773	0	0
99774	0	0
99775	1350.0	3
99776	0	0
99777	0	0
99778	0	0
99779	0	0
99780	0	0
99781	0	0
99782	0	0
99783	0	0
99784	0	0
99785	0	0
99786	0	0
99788	0	0
99789	0	0
99791	0	0
997HH	0	0
997XX	0	0
99801	143145.0	309
99820	0	0
99824	10900.0	31
99825	0	0
99826	250.0	1
99827	3450.0	7
99829	250.0	1
99830	0	0
99832	600.0	2
99833	19900.0	33
99835	18900.0	38
99840	11600.0	13
99841	0	0
99850	0	0
998HH	0	0
998XX	0	0
99901	49200.0	81
99903	0	0
99918	0	0
99919	0	0
99921	750.0	2
99922	0	0
99923	0	0
99925	0	0
99926	0	0
99927	0	0
99929	1050.0	4
99950	0	0
999HH	0	0
999XX	0	0
