zoneID	money	freq
96701	7800.0	10
96703	0	0
96704	1000.0	2
96705	0	0
96706	5500.0	8
96707	8055.0	18
96708	0	0
96710	0	0
96712	1250.0	2
96713	0	0
96714	0	0
96716	0	0
96717	3188.0	3
96718	0	0
96719	0	0
96720	8550.0	14
96722	1200.0	2
96725	250.0	1
96727	0	0
96728	0	0
96729	0	0
96730	0	0
96731	0	0
96732	300.0	1
96734	81284.0	88
96737	0	0
96738	0	0
96740	3250.0	11
96741	200.0	1
96742	0	0
96743	4150.0	6
96744	20065.0	24
96746	1250.0	3
96747	0	0
96748	0	0
96749	11206.0	8
96750	0	0
96751	0	0
96752	0	0
96753	15550.0	11
96754	0	0
96755	0	0
96756	900.0	3
96757	0	0
96759	0	0
96760	0	0
96761	1100.0	4
96762	0	0
96763	0	0
96764	0	0
96766	500.0	1
96768	4000.0	2
96769	1000.0	1
96770	0	0
96771	0	0
96772	0	0
96773	0	0
96774	0	0
96776	0	0
96777	0	0
96778	12191.0	10
96779	1250.0	5
96780	0	0
96781	0	0
96782	2200.0	2
96783	0	0
96785	0	0
96786	400.0	2
96789	7800.0	9
96790	250.0	1
96791	200.0	1
96792	11900.0	10
96793	2200.0	4
96795	6250.0	7
96796	0	0
96797	3200.0	7
967HH	0	0
967XX	0	0
96813	59228.0	64
96814	3150.0	6
96815	8550.0	9
96816	6700.0	15
96817	9300.0	11
96818	1200.0	3
96819	7450.0	9
96821	35388.0	17
96822	13991.0	25
96825	21754.0	26
96826	5560.0	11
96862	0	0
96863	0	0
968HH	0	0
