zoneID	money	freq
60002	19550.0	19
60004	119380.0	121
60005	76956.0	100
60007	42506.0	46
60008	10551.0	26
60010	700490.0	956
60012	19295.0	34
60013	28925.0	36
60014	61957.0	75
60015	373144.0	517
60016	33718.0	45
60018	69300.0	104
60020	1250.0	3
60021	10550.0	18
60022	658601.0	822
60025	631148.0	719
60029	23800.0	28
60030	37013.0	65
60031	36724.0	51
60033	9110.0	15
60034	500.0	1
60035	1248812.0	1436
60037	2900.0	2
60040	3350.0	7
60041	1750.0	5
60042	3550.0	5
60043	272444.0	348
60044	184041.0	186
60045	1131138.0	1268
60046	9550.0	24
60047	327219.0	293
60048	166618.0	190
60050	47310.0	60
60053	48930.0	85
60056	67201.0	80
60060	79750.0	60
60061	48550.0	39
60062	787325.0	794
60064	2300.0	5
60067	283665.0	366
60068	179750.0	230
60069	66318.0	74
60070	18150.0	19
60071	3450.0	7
60072	4925.0	6
60073	4200.0	7
60074	17448.0	43
60076	86410.0	132
60077	86681.0	137
60081	9400.0	12
60083	34750.0	32
60084	13010.0	20
60085	40480.0	50
60087	9350.0	23
60088	300.0	1
60089	64480.0	75
60090	32650.0	26
60091	818755.0	1070
60093	1976422.0	2089
60096	4250.0	3
60097	3000.0	6
60098	26895.0	53
60099	7180.0	10
600HH	0	0
60101	9253.0	20
60102	17190.0	24
60103	36600.0	54
60104	3550.0	7
60106	27700.0	22
60107	4040.0	11
60108	21350.0	26
60109	300.0	1
60110	27300.0	23
60111	750.0	2
60112	0	0
60113	0	0
60115	63793.0	109
60118	25900.0	47
60119	43050.0	67
60120	115695.0	94
60123	85676.0	113
60126	137400.0	175
60129	0	0
60130	7500.0	14
60131	11649.0	16
60134	75678.0	109
60135	2000.0	5
60136	0	0
60137	259225.0	285
60139	5200.0	11
60140	29450.0	23
60141	0	0
60142	36795.0	46
60143	39300.0	45
60145	2750.0	5
60146	7097.0	11
60148	43800.0	69
60150	1500.0	5
60151	4575.0	12
60152	8821.0	17
60153	8400.0	18
60154	18365.0	29
60155	4800.0	10
60157	2750.0	4
60160	9000.0	9
60162	5750.0	9
60163	5700.0	3
60164	11250.0	13
60165	0	0
60171	1500.0	3
60172	12660.0	17
60173	67745.0	94
60174	125075.0	183
60175	123156.0	117
60176	17150.0	11
60177	10850.0	16
60178	23200.0	41
60180	2300.0	5
60181	70250.0	83
60184	42000.0	43
60185	34475.0	60
60187	218305.0	331
60188	22700.0	25
60190	31050.0	32
60191	14420.0	16
60192	2800.0	6
60193	24151.0	31
60194	14100.0	27
60195	20350.0	33
601HH	0	0
60201	557037.0	734
60202	261614.0	396
60203	89220.0	113
60301	-700.0	15
60302	251640.0	391
60304	31195.0	67
60305	223253.0	281
60401	1200.0	2
60402	10920.0	22
60406	8940.0	11
60407	300.0	1
60408	0	0
60409	8850.0	15
60410	8650.0	10
60411	8100.0	25
60415	29300.0	18
60416	1200.0	4
60417	37200.0	45
60419	11600.0	20
60420	10715.0	10
60421	1500.0	2
60422	101475.0	147
60423	80525.0	109
60424	0	0
60425	8975.0	20
60426	14125.0	20
60429	33925.0	59
