zoneID	money	freq
66002	4900.0	9
66006	2075.0	7
66007	0	0
66008	0	0
66010	0	0
66012	250.0	1
66013	2500.0	3
66014	0	0
66015	0	0
66016	4000.0	2
66017	0	0
66018	0	0
66019	0	0
66020	500.0	2
66021	0	0
66023	0	0
66024	500.0	1
66025	0	0
66026	1000.0	1
66027	0	0
66030	1000.0	2
66032	300.0	1
66033	0	0
66035	0	0
66039	0	0
66040	0	0
66041	0	0
66042	0	0
66043	10500.0	7
66044	71250.0	107
66046	8900.0	22
66047	31150.0	52
66048	6700.0	13
66049	28200.0	65
66050	500.0	1
66052	300.0	1
66053	1250.0	5
66054	0	0
66056	0	0
66058	0	0
66060	0	0
66061	42750.0	63
66062	16650.0	31
66064	1000.0	1
66066	1000.0	2
66067	1267.0	2
66070	0	0
66071	2000.0	3
66072	0	0
66073	0	0
66075	0	0
66076	0	0
66077	0	0
66078	0	0
66079	0	0
66080	0	0
66083	1000.0	1
66085	13750.0	16
66086	7750.0	11
66087	0	0
66088	0	0
66090	0	0
66091	0	0
66092	0	0
66093	0	0
66094	0	0
66095	0	0
66097	0	0
660HH	0	0
66101	6700.0	11
66102	3650.0	10
66103	9742.0	13
66104	1250.0	5
66105	0	0
66106	5750.0	11
66109	5750.0	16
66111	0	0
66112	1504.0	4
66115	250.0	1
66118	0	0
661HH	0	0
66202	19300.0	41
66203	1500.0	3
66204	5500.0	16
66205	89515.0	172
66206	51000.0	85
66207	76050.0	146
66208	255898.0	397
66209	126348.0	229
66210	21950.0	53
66211	131460.0	190
66212	28100.0	67
66213	13200.0	32
66214	10450.0	25
66215	22450.0	41
66216	41795.0	74
66217	42600.0	48
66218	2250.0	3
66219	9350.0	24
66220	8200.0	14
66221	14750.0	16
66223	6960.0	13
66224	40600.0	44
66226	500.0	1
66227	1500.0	2
662HH	0	0
66401	0	0
66402	500.0	2
66403	0	0
66404	0	0
66406	0	0
66407	0	0
66408	0	0
66409	2000.0	3
66411	0	0
66412	0	0
