zoneID	money	freq
03901	3000.0	3
03902	1400.0	3
03903	2500.0	3
03904	1750.0	5
03905	2500.0	3
03906	0	0
03907	3500.0	6
03908	1750.0	5
03909	30200.0	42
039HH	0	0
04001	2000.0	1
04002	11000.0	11
04003	1500.0	4
04005	4950.0	13
04008	3500.0	8
04009	3000.0	7
04010	0	0
04011	44450.0	98
04015	8500.0	10
04017	0	0
04019	0	0
04020	3800.0	14
04021	26750.0	36
04022	1000.0	1
04024	0	0
04027	0	0
04029	750.0	3
04030	250.0	1
04032	19056.0	24
04037	250.0	1
04038	9050.0	21
04039	250.0	1
04040	0	0
04041	0	0
04042	850.0	3
04043	15750.0	34
04046	44700.0	77
04047	0	0
04048	2000.0	4
04049	0	0
04050	0	0
04051	0	0
04055	500.0	2
04061	1000.0	1
04062	15076.0	17
04064	21700.0	20
04066	500.0	2
04068	0	0
04069	950.0	3
04071	3500.0	3
04072	13150.0	28
04073	3250.0	6
04074	37175.0	75
04076	250.0	1
04079	7700.0	15
04083	2500.0	6
04084	6600.0	10
04085	0	0
04086	4300.0	14
04087	2500.0	3
04088	500.0	1
04090	3800.0	7
04091	0	0
04092	2700.0	8
04093	250.0	1
04095	0	0
04096	84300.0	109
04097	9750.0	19
040HH	0	0
04101	31400.0	65
04102	64800.0	105
04103	26069.0	61
04105	81900.0	147
04106	19750.0	46
04107	102375.0	150
04108	2000.0	4
04110	49400.0	58
041HH	0	0
04210	15850.0	23
04216	0	0
04217	900.0	4
04219	1300.0	2
04220	700.0	3
04221	0	0
04222	950.0	4
04224	250.0	1
04226	0	0
04228	0	0
04231	0	0
04236	750.0	2
04237	710.0	3
04238	0	0
04239	450.0	2
04240	14786.0	30
04250	1250.0	5
04252	0	0
04253	250.0	1
04254	250.0	1
04255	0	0
04256	0	0
04257	300.0	1
04258	250.0	1
04259	250.0	1
04260	2000.0	4
04261	250.0	1
04263	3003.0	11
04265	0	0
04268	5550.0	5
04270	14400.0	13
04274	1500.0	2
04275	0	0
04276	500.0	1
04280	250.0	1
04281	10250.0	6
04282	750.0	3
04284	0	0
04285	0	0
04287	0	0
04289	0	0
04290	0	0
04292	0	0
04294	200.0	1
042HH	0	0
042XX	0	0
04330	20783.0	32
04342	0	0
04344	0	0
04345	2350.0	8
04346	0	0
04347	11500.0	22
04348	0	0
04349	250.0	1
04350	450.0	2
04351	7150.0	16
04352	500.0	2
04353	0	0
04354	0	0
04355	5000.0	5
04357	0	0
04358	1500.0	5
04360	0	0
04363	0	0
04364	12400.0	12
043HH	0	0
04401	62311.0	103
04406	0	0
04408	0	0
04410	0	0
04411	0	0
04412	7700.0	14
04413	0	0
04414	500.0	2
04416	1250.0	4
04417	0	0
04418	0	0
04419	0	0
04421	2065.0	8
04422	0	0
04423	0	0
04424	0	0
