zoneID	money	freq
63005	201169.0	285
63010	22300.0	53
63011	62500.0	76
63012	8200.0	26
63013	0	0
63014	0	0
63015	250.0	1
63016	4050.0	5
63017	248275.0	341
63019	10550.0	28
63020	15678.0	40
63021	80374.0	123
63023	11650.0	32
63025	26950.0	30
63026	22450.0	43
63028	50726.0	134
63030	0	0
63031	15750.0	21
63033	4550.0	10
63034	8800.0	19
63036	500.0	1
63037	0	0
63038	40664.0	66
63039	0	0
63040	16600.0	21
63041	0	0
63042	3475.0	7
63043	62200.0	80
63044	50720.0	74
63048	3650.0	10
63049	11922.0	25
63050	26800.0	62
63051	4850.0	15
63052	7225.0	23
63055	0	0
63056	0	0
63060	0	0
63061	0	0
63068	9000.0	17
63069	7000.0	10
63070	1250.0	5
63071	0	0
63072	0	0
63074	27500.0	20
63077	500.0	1
63080	1000.0	4
63084	2150.0	7
63087	0	0
63088	750.0	2
63089	6875.0	8
63090	52050.0	61
63091	0	0
630HH	0	0
63101	171250.0	175
63102	84750.0	99
63103	35010.0	45
63104	73550.0	121
63105	786246.0	1021
63106	700.0	2
63107	450.0	2
63108	247273.0	364
63109	50303.0	78
63110	50983.0	75
63111	5400.0	9
63112	85002.0	122
63113	4000.0	6
63114	19450.0	25
63115	3750.0	10
63116	29752.0	58
63117	123150.0	189
63118	38340.0	44
63119	112075.0	210
63120	2250.0	2
63121	20500.0	21
63122	200142.0	272
63123	54104.0	66
63124	1186675.0	1268
63125	12600.0	21
63126	15820.0	30
63127	52400.0	63
63128	51400.0	72
63129	106623.0	155
63130	200720.0	344
63131	584928.0	715
63132	118500.0	114
63133	3200.0	3
63134	1750.0	3
63135	7550.0	19
63136	8250.0	5
63137	1264.0	4
63138	19250.0	23
63139	35217.0	43
63140	250.0	1
63141	412714.0	523
63143	19062.0	116
63144	59850.0	61
63146	66850.0	96
63147	2750.0	5
631HH	0	0
63301	40347.0	53
63303	22950.0	40
63304	63537.0	115
63330	0	0
63332	2500.0	2
63333	0	0
63334	4000.0	6
63336	2000.0	1
63339	0	0
63341	3000.0	2
63343	250.0	1
63344	1000.0	1
63345	0	0
63347	0	0
63348	0	0
63349	950.0	3
63350	0	0
63351	0	0
63352	250.0	1
63353	750.0	2
63357	1800.0	5
63359	0	0
63361	450.0	2
63362	0	0
63363	1500.0	3
63366	47350.0	47
63367	33050.0	43
63369	0	0
63370	0	0
63373	0	0
63376	7060.0	16
63377	0	0
63379	3700.0	9
63381	0	0
63382	1250.0	3
63383	4925.0	12
63384	0	0
63385	2500.0	7
63386	0	0
63387	0	0
63388	200.0	1
63389	600.0	2
63390	2500.0	7
633HH	0	0
63401	13085.0	21
63430	0	0
63431	0	0
63432	1000.0	1
63433	0	0
63434	0	0
63435	4250.0	6
63436	0	0
63437	4150.0	8
63438	0	0
63439	0	0
63440	1000.0	1
63441	0	0
63443	0	0
63445	0	0
63446	0	0
63447	0	0
63448	7550.0	12
63450	0	0
63451	0	0
63452	1000.0	2
63453	0	0
63454	0	0
63456	1825.0	7
63457	0	0
63458	1000.0	1
63459	1250.0	3
63460	0	0
63461	2950.0	5
63462	0	0
63463	0	0
63464	0	0
63465	0	0
63468	250.0	1
63469	0	0
63471	0	0
63472	0	0
63473	250.0	1
63474	0	0
634HH	0	0
63501	10200.0	23
63530	0	0
63531	0	0
63532	0	0
63533	0	0
63534	0	0
63535	0	0
63536	0	0
63537	1700.0	3
63538	0	0
63539	500.0	2
63540	0	0
63541	0	0
63543	0	0
63544	0	0
63545	0	0
63546	0	0
63547	0	0
63548	1800.0	4
63549	250.0	1
63551	0	0
63552	3450.0	8
63555	1550.0	5
63556	0	0
63557	0	0
63558	0	0
63559	0	0
63560	0	0
63561	0	0
63563	0	0
63565	2650.0	4
63566	0	0
63567	0	0
635HH	0	0
63601	5000.0	3
63620	300.0	1
63621	0	0
63622	0	0
63623	0	0
63624	0	0
63625	0	0
63626	0	0
63627	3000.0	2
63628	4500.0	6
63629	1000.0	1
63630	0	0
63631	0	0
63633	0	0
63636	0	0
63637	300.0	1
63638	1150.0	4
63640	15800.0	29
63645	3850.0	7
63648	0	0
63650	700.0	3
63653	0	0
63654	0	0
63655	0	0
63656	0	0
63660	0	0
63662	0	0
63663	0	0
63664	1500.0	3
63665	0	0
63670	6050.0	18
63673	0	0
63674	0	0
63675	0	0
636HH	0	0
63701	88976.0	141
63703	9300.0	14
63730	0	0
63732	0	0
63735	250.0	1
63736	8200.0	8
63738	0	0
63739	0	0
63740	250.0	1
63742	0	0
63743	0	0
63747	0	0
63748	1200.0	3
63750	0	0
63751	0	0
63753	0	0
63755	9200.0	21
63758	0	0
63760	0	0
63763	0	0
63764	0	0
63766	500.0	1
63767	0	0
63769	0	0
63770	0	0
