zoneID	money	freq
59001	0	0
59002	0	0
59003	0	0
59006	0	0
59007	0	0
59008	0	0
59010	0	0
59011	3050.0	6
59012	0	0
59013	0	0
59014	200.0	1
59015	1100.0	3
59016	0	0
59018	650.0	3
59019	1000.0	2
59020	0	0
59022	0	0
59024	0	0
59025	0	0
59026	0	0
59027	1380.0	5
59028	4000.0	2
59029	200.0	1
59030	0	0
59031	0	0
59032	0	0
59033	0	0
59034	4000.0	6
59035	0	0
59036	0	0
59037	0	0
59038	0	0
59039	0	0
59041	200.0	1
59043	0	0
59044	1800.0	6
59046	250.0	1
59047	7300.0	12
59050	0	0
59052	500.0	2
59053	3975.0	7
59054	0	0
59055	0	0
59057	0	0
59058	0	0
59059	0	0
59061	0	0
59062	0	0
59063	0	0
59064	0	0
59065	0	0
59066	0	0
59067	0	0
59068	2250.0	4
59069	0	0
59070	1700.0	5
59071	0	0
59072	0	0
59074	0	0
59075	0	0
59076	0	0
59077	0	0
59078	0	0
59079	0	0
59081	0	0
59085	500.0	1
59086	0	0
59087	0	0
59088	0	0
59089	0	0
590HH	0	0
590XX	0	0
59101	16516.0	28
59102	40977.0	60
59105	4050.0	5
59106	26179.0	37
59201	0	0
59211	0	0
59212	0	0
59213	0	0
59214	0	0
59215	250.0	1
59217	0	0
59218	0	0
59219	0	0
59221	300.0	1
59222	0	0
59223	0	0
59225	0	0
59226	0	0
59230	1750.0	6
59231	0	0
59241	0	0
59242	0	0
59243	0	0
59244	0	0
59247	0	0
59248	0	0
59250	0	0
59252	250.0	1
59253	0	0
59254	0	0
59255	280.0	1
59257	0	0
59258	0	0
59259	0	0
59260	0	0
59261	0	0
59262	0	0
59263	400.0	1
59270	2700.0	5
59274	2000.0	3
59275	0	0
59276	200.0	1
592HH	0	0
59301	1250.0	3
59311	500.0	1
59313	0	0
59314	0	0
59315	0	0
59317	0	0
59318	0	0
59322	0	0
59323	0	0
59324	0	0
59326	0	0
59327	0	0
59330	500.0	1
59332	0	0
59333	0	0
59336	0	0
59337	0	0
59338	0	0
59339	0	0
59343	0	0
59344	0	0
59347	0	0
59348	0	0
59349	0	0
59351	0	0
59353	0	0
59354	0	0
593HH	0	0
593XX	0	0
59401	750.0	2
59404	2925.0	8
59405	5500.0	15
59410	0	0
59411	200.0	1
59412	0	0
59414	0	0
59416	0	0
59417	2750.0	5
59419	0	0
59420	0	0
59421	0	0
59422	1450.0	4
59424	0	0
59425	250.0	1
59427	1200.0	4
59430	0	0
59432	0	0
59433	0	0
59434	0	0
59436	750.0	3
59440	0	0
59441	0	0
59442	4950.0	11
59443	0	0
59444	0	0
59446	0	0
59447	300.0	1
59448	0	0
59450	0	0
59451	0	0
59452	0	0
59453	300.0	1
59454	0	0
59456	0	0
59457	3250.0	5
59460	0	0
59462	2000.0	2
59463	13099.0	17
59464	0	0
59465	0	0
59466	0	0
59467	0	0
59468	0	0
59469	0	0
59471	0	0
59472	0	0
59474	0	0
59477	0	0
59479	1250.0	4
59480	0	0
59482	0	0
59483	0	0
59484	0	0
59485	0	0
59486	250.0	1
59487	0	0
594HH	0	0
594XX	0	0
59501	2428.0	5
59520	0	0
59521	5500.0	4
59522	250.0	1
59523	0	0
59524	0	0
59525	0	0
59526	2000.0	1
59527	0	0
59528	0	0
59529	0	0
59530	0	0
59531	0	0
59532	0	0
59535	0	0
59537	200.0	1
59538	1000.0	1
59540	0	0
59542	0	0
59544	0	0
59545	0	0
59546	0	0
59547	0	0
595HH	0	0
59601	21998.0	38
59602	2000.0	4
59631	0	0
59632	0	0
59633	2000.0	1
59634	0	0
59635	750.0	2
59636	0	0
59638	0	0
59639	0	0
59640	0	0
59642	0	0
59643	0	0
59644	300.0	1
59645	0	0
59648	0	0
596HH	0	0
596XX	0	0
59701	27285.0	41
59710	0	0
59711	0	0
59713	0	0
59714	3250.0	5
59715	38982.0	55
59716	2000.0	3
59718	8850.0	16
59720	0	0
59721	0	0
59722	500.0	1
59725	3250.0	8
59727	0	0
59728	0	0
59729	3198.0	9
59730	250.0	1
59731	0	0
59733	0	0
59735	1000.0	3
59736	0	0
59739	250.0	1
59740	0	0
59741	4100.0	5
59743	0	0
59745	0	0
59746	0	0
59747	500.0	1
59748	0	0
59749	0	0
59750	0	0
59751	0	0
59752	0	0
59754	2000.0	3
59755	0	0
59756	0	0
59758	1549.0	5
59759	3500.0	4
59761	0	0
59762	0	0
597HH	0	0
597XX	0	0
59801	4900.0	13
59802	12000.0	16
59803	5146.0	13
59804	5000.0	8
59808	12700.0	19
59820	0	0
59821	950.0	3
59823	0	0
59824	250.0	1
59825	0	0
59826	0	0
59827	0	0
59828	238.0	2
59829	250.0	1
59831	0	0
59832	0	0
59833	4000.0	5
59834	600.0	1
59836	0	0
59837	0	0
59840	1600.0	4
59841	0	0
59842	0	0
59843	0	0
59844	0	0
59845	0	0
59846	600.0	1
59847	0	0
59848	0	0
59851	0	0
59853	0	0
59854	0	0
59855	3000.0	6
59858	0	0
59859	250.0	1
59860	4000.0	12
59864	250.0	1
59865	1500.0	3
59866	0	0
59867	0	0
59868	0	0
59870	1500.0	2
59871	0	0
59872	0	0
59873	0	0
59874	0	0
59875	0	0
598HH	0	0
598XX	0	0
59901	14800.0	22
59910	500.0	1
59911	12700.0	26
59912	1150.0	4
59913	250.0	1
59914	0	0
59915	0	0
59916	0	0
59917	2750.0	4
59918	0	0
59919	0	0
59920	0	0
59921	0	0
59922	0	0
59923	4000.0	2
59925	0	0
59926	0	0
59927	0	0
59928	500.0	2
59929	0	0
59930	0	0
59931	-6565.0	1
59932	0	0
59933	0	0
59934	0	0
59935	0	0
59936	0	0
59937	4250.0	10
599HH	0	0
