zoneID	money	freq
68001	0	0
68002	0	0
68003	550.0	2
68004	0	0
68005	19650.0	28
68007	300.0	1
68008	2400.0	6
68010	1500.0	2
68014	0	0
68015	0	0
68016	0	0
68017	0	0
68018	0	0
68019	0	0
68020	15890.0	26
68022	12500.0	26
68023	850.0	4
68025	39620.0	23
68028	2100.0	4
68029	300.0	1
68030	0	0
68031	0	0
68033	0	0
68034	1450.0	4
68035	0	0
68036	0	0
68037	0	0
68038	4000.0	6
68039	0	0
68040	0	0
68041	0	0
68042	0	0
68044	250.0	1
68045	200.0	1
68046	11860.0	30
68047	0	0
68048	1000.0	1
68050	0	0
68054	0	0
68055	0	0
68057	200.0	1
68058	0	0
68059	7000.0	5
68061	1150.0	5
68062	0	0
68063	0	0
68064	0	0
68065	0	0
68066	0	0
68067	0	0
68068	0	0
68069	500.0	1
68070	400.0	2
68071	3500.0	3
68073	750.0	2
680HH	0	0
68102	28200.0	64
68104	8900.0	29
68105	23800.0	37
68106	15850.0	34
68107	900.0	3
68108	2750.0	6
68110	4000.0	6
68111	0	0
68112	17350.0	23
68113	0	0
68114	126899.0	173
68116	3000.0	3
68117	2000.0	4
68118	17800.0	31
68122	6500.0	6
68123	600.0	2
68124	93100.0	124
68127	9669.0	17
68128	6000.0	3
68130	6000.0	12
68131	24000.0	28
68132	106029.0	156
68133	5325.0	13
68134	2500.0	9
68135	4630.0	12
68136	200.0	1
68137	2750.0	7
68138	0	0
68142	2750.0	6
68144	26150.0	51
68147	0	0
68152	7200.0	19
68154	82826.0	114
68157	850.0	3
68164	10950.0	12
681HH	0	0
68301	0	0
68303	0	0
68304	0	0
68305	0	0
68307	0	0
68309	0	0
68310	750.0	3
68313	0	0
68314	0	0
68315	0	0
68316	0	0
68317	200.0	1
68318	0	0
68319	0	0
68320	0	0
68321	0	0
68322	0	0
68323	0	0
68324	0	0
68325	0	0
68326	0	0
68327	0	0
68328	0	0
68329	0	0
68330	0	0
68331	0	0
68332	0	0
68333	500.0	1
68335	0	0
68336	0	0
68337	0	0
68338	0	0
68339	500.0	1
68340	250.0	1
68341	200.0	1
68342	0	0
68343	0	0
68344	0	0
68345	0	0
68346	0	0
68347	250.0	1
68348	0	0
68349	500.0	2
68350	0	0
68351	0	0
68352	0	0
68354	200.0	1
68355	0	0
68357	0	0
68358	0	0
68359	0	0
68360	0	0
68361	0	0
68362	0	0
68364	0	0
68365	0	0
68366	0	0
68367	0	0
68368	0	0
68370	0	0
68371	0	0
68372	0	0
68374	250.0	1
68375	0	0
68376	0	0
68377	500.0	1
68378	0	0
68380	0	0
68381	0	0
683HH	0	0
68401	0	0
68402	800.0	2
68403	0	0
68404	0	0
68405	0	0
68406	0	0
68407	0	0
68409	250.0	1
68410	0	0
68413	0	0
68414	0	0
68415	500.0	2
68416	0	0
68417	0	0
68418	250.0	1
68419	0	0
68420	250.0	1
68421	0	0
68422	0	0
68423	0	0
68424	0	0
68428	750.0	3
68430	0	0
68431	0	0
68433	0	0
68434	950.0	4
68436	0	0
68437	0	0
68439	0	0
68440	0	0
68441	0	0
68442	0	0
68443	0	0
68444	0	0
68445	0	0
68446	0	0
68447	0	0
68448	250.0	1
68450	0	0
68452	0	0
68453	0	0
68454	0	0
68455	0	0
68456	0	0
68457	0	0
68458	0	0
68460	0	0
68461	0	0
68462	250.0	1
68463	0	0
68464	0	0
68465	0	0
68466	0	0
68467	300.0	1
684HH	0	0
68502	25473.0	61
68503	4850.0	11
68504	1250.0	3
68505	0	0
68506	17725.0	57
68507	450.0	2
68508	15853.0	45
68510	26075.0	58
68512	6200.0	26
68516	18415.0	52
68517	800.0	2
68520	1500.0	4
68521	1500.0	4
68522	0	0
68523	0	0
68524	0	0
68526	350.0	1
68527	200.0	1
68528	250.0	1
68532	0	0
68601	4500.0	7
68620	2950.0	9
68621	250.0	1
68622	0	0
68623	0	0
68624	500.0	1
68626	0	0
68627	0	0
