zoneID	money	freq
68001	0	0
68002	2000.0	1
68003	2650.0	6
68004	0	0
68005	7200.0	15
68007	5800.0	12
68008	17621.0	36
68010	0	0
68014	0	0
68015	0	0
68016	0	0
68017	300.0	1
68018	300.0	1
68019	0	0
68020	0	0
68022	24850.0	33
68023	1000.0	1
68025	3800.0	10
68028	3550.0	10
68029	1500.0	3
68030	0	0
68031	0	0
68033	0	0
68034	0	0
68035	0	0
68036	0	0
68037	250.0	1
68038	0	0
68039	0	0
68040	0	0
68041	250.0	1
68042	0	0
68044	0	0
68045	1950.0	6
68046	7900.0	15
68047	1000.0	3
68048	2400.0	5
68050	0	0
68054	0	0
68055	250.0	1
68057	1000.0	1
68058	200.0	1
68059	5750.0	11
68061	2400.0	10
68062	0	0
68063	0	0
68064	1450.0	5
68065	650.0	3
68066	18205.0	35
68067	1250.0	3
68068	0	0
68069	4750.0	8
68070	0	0
68071	0	0
68073	0	0
680HH	0	0
68102	20000.0	32
68104	2500.0	3
68105	4550.0	8
68106	5000.0	9
68107	6150.0	6
68108	1000.0	1
68110	1200.0	2
68111	663.0	2
68112	27750.0	21
68113	0	0
68114	128203.0	206
68116	7900.0	20
68117	3450.0	6
68118	21486.0	36
68122	8900.0	10
68123	8900.0	11
68124	80555.0	135
68127	16250.0	28
68128	25756.0	28
68130	28450.0	55
68131	44250.0	56
68132	29063.0	58
68133	1800.0	4
68134	400.0	2
68135	17323.0	21
68136	2050.0	4
68137	12250.0	27
68138	3500.0	5
68142	500.0	1
68144	23442.0	51
68147	0	0
68152	25100.0	32
68154	131450.0	194
68157	0	0
68164	25200.0	30
681HH	0	0
68301	500.0	1
68303	0	0
68304	0	0
68305	500.0	1
68307	0	0
68309	0	0
68310	6366.0	13
68313	0	0
68314	0	0
68315	0	0
68316	0	0
68317	0	0
68318	0	0
68319	200.0	1
68320	0	0
68321	0	0
68322	500.0	1
68323	0	0
68324	0	0
68325	0	0
68326	0	0
68327	0	0
68328	0	0
68329	0	0
68330	0	0
68331	0	0
68332	0	0
68333	3005.0	10
68335	0	0
68336	0	0
68337	0	0
68338	0	0
68339	1750.0	5
68340	450.0	2
68341	1250.0	3
68342	0	0
68343	0	0
68344	0	0
68345	0	0
68346	0	0
68347	700.0	2
68348	0	0
68349	3950.0	6
68350	0	0
68351	0	0
68352	1500.0	4
68354	800.0	2
68355	3500.0	9
68357	0	0
68358	200.0	1
68359	2000.0	2
68360	16278.0	36
68361	300.0	1
68362	0	0
68364	0	0
68365	0	0
68366	200.0	1
68367	0	0
68368	0	0
68370	0	0
68371	4500.0	3
68372	0	0
68374	0	0
68375	0	0
68376	0	0
68377	650.0	1
68378	0	0
68380	0	0
68381	0	0
683HH	0	0
68401	0	0
68402	2800.0	5
68403	0	0
68404	500.0	1
68405	0	0
68406	0	0
68407	1200.0	2
68409	0	0
68410	700.0	2
68413	0	0
68414	0	0
68415	0	0
68416	0	0
68417	0	0
68418	0	0
68419	0	0
68420	250.0	1
68421	250.0	1
68422	0	0
68423	1650.0	4
68424	0	0
68428	1000.0	1
68430	2050.0	7
68431	500.0	1
68433	0	0
68434	1250.0	4
68436	0	0
68437	0	0
68439	0	0
68440	0	0
68441	0	0
68442	0	0
68443	0	0
68444	0	0
68445	0	0
68446	250.0	1
68447	250.0	1
68448	250.0	1
68450	750.0	1
68452	0	0
68453	0	0
68454	0	0
68455	0	0
68456	0	0
68457	0	0
68458	0	0
68460	0	0
68461	6653.0	11
68462	0	0
68463	0	0
68464	0	0
68465	0	0
68466	0	0
68467	800.0	3
684HH	0	0
68502	44678.0	87
68503	2597.0	8
68504	2762.0	6
68505	2800.0	7
68506	58297.0	141
68507	1750.0	5
68508	26800.0	42
