zoneID	money	freq
07001	1250.0	2
07002	40550.0	46
07003	43450.0	56
07004	21350.0	29
07005	31991.0	42
07006	67450.0	100
07008	3250.0	9
07009	52438.0	82
07010	51969.0	72
07011	9550.0	14
07012	31220.0	63
07013	31100.0	58
07014	8800.0	8
07016	85280.0	100
07017	1550.0	6
07018	6500.0	19
07020	35450.0	48
07021	39200.0	50
07022	2950.0	8
07023	2875.0	9
07024	298073.0	312
07026	12450.0	18
07027	500.0	1
07028	42554.0	61
07029	8000.0	8
07030	223804.0	237
07031	7200.0	11
07032	14050.0	15
07033	30600.0	20
07034	1200.0	2
07035	13000.0	13
07036	18251.0	22
07039	510528.0	517
07040	132950.0	144
07041	16600.0	29
07042	154531.0	198
07043	82350.0	112
07044	43996.0	57
07045	41300.0	41
07046	69350.0	79
07047	39950.0	57
07050	7600.0	16
07052	153700.0	244
07054	32950.0	51
07055	18915.0	31
07057	7650.0	11
07058	15100.0	25
07059	149650.0	167
07060	35700.0	48
07062	2950.0	9
07063	1500.0	3
07064	5000.0	3
07065	15950.0	18
07066	21650.0	26
07067	23200.0	28
07068	85150.0	113
07070	40000.0	48
07071	23901.0	43
07072	15350.0	12
07073	10600.0	13
07074	4800.0	8
07075	5450.0	10
07076	43850.0	87
07077	0	0
07078	440526.0	421
07079	81925.0	121
07080	10200.0	15
07081	49175.0	54
07082	16150.0	40
07083	28700.0	40
07087	168900.0	100
07088	1600.0	3
07090	271908.0	462
07092	18750.0	29
07093	29000.0	35
07094	37850.0	56
07095	32250.0	35
070HH	0	0
07102	144709.0	148
07103	8875.0	12
07104	6805.0	15
07105	18250.0	19
07106	3750.0	12
07107	6250.0	8
07108	3500.0	11
07109	5900.0	16
07110	23300.0	27
07111	4000.0	11
07112	4300.0	17
07114	5350.0	10
071HH	0	0
07201	26950.0	36
07202	10350.0	9
07203	5450.0	9
07204	1500.0	6
07205	29000.0	32
07206	500.0	1
07208	22350.0	23
072HH	0	0
07302	67750.0	75
07304	11650.0	22
07305	46083.0	44
07306	65450.0	77
07307	15450.0	20
07310	23100.0	35
073HH	0	0
07401	51075.0	74
07403	1700.0	6
07405	28716.0	33
07407	27750.0	34
07410	25500.0	36
07416	11800.0	12
07417	202025.0	253
07418	650.0	2
07419	10050.0	19
07420	1400.0	3
07421	1025.0	5
07422	500.0	1
07423	53750.0	62
07424	28250.0	50
07428	16400.0	18
07430	141727.0	123
07432	5750.0	12
07435	8500.0	14
07436	8975.0	16
07438	13000.0	17
07439	0	0
07440	600.0	2
07442	4900.0	11
07444	16000.0	20
07446	33650.0	51
07450	192265.0	273
07452	32550.0	57
07456	11750.0	17
07457	1000.0	1
07458	278055.0	323
07460	1000.0	1
07461	15925.0	21
07462	9500.0	10
07463	4100.0	7
07465	0	0
07470	152905.0	228
07480	21539.0	34
07481	175976.0	213
074HH	0	0
07501	6800.0	9
07502	5100.0	12
07503	12500.0	21
07504	6200.0	10
07505	5700.0	14
07506	16226.0	35
07508	35906.0	44
07512	21600.0	39
07513	2900.0	7
07514	7994.0	7
07522	1200.0	1
07524	10500.0	21
075HH	0	0
07601	153400.0	178
07603	5095.0	13
07604	29100.0	33
07605	24250.0	28
07606	13050.0	18
07607	6950.0	12
07608	5500.0	7
07620	89770.0	99
07621	14600.0	26
07624	73943.0	73
07626	55650.0	68
07627	109085.0	128
07628	3600.0	11
07630	40000.0	34
07631	597293.0	792
07632	86380.0	98
07640	24050.0	28
07641	18750.0	30
07642	10150.0	14
07643	3450.0	8
07644	9750.0	17
07645	27873.0	39
07646	22757.0	50
07647	5000.0	7
07648	51198.0	53
07649	47250.0	48
07650	18600.0	20
07652	46875.0	71
07656	34925.0	35
07657	7200.0	13
07660	3500.0	4
07661	21450.0	27
07662	6430.0	15
07663	10420.0	15
07666	182550.0	283
07670	203257.0	240
07675	86016.0	106
076HH	0	0
07701	108863.0	136
07702	7750.0	15
07703	0	0
07704	11700.0	25
07711	9750.0	13
07712	34701.0	74
07716	26330.0	46
07717	17500.0	25
07718	1250.0	7
07719	38855.0	58
07720	2650.0	7
07721	1725.0	2
07722	91425.0	125
07723	12500.0	15
07724	12150.0	27
07726	79900.0	103
07727	9000.0	15
07728	61740.0	104
07730	2300.0	4
07731	6250.0	13
07732	10500.0	14
07733	85300.0	115
07734	250.0	1
07735	6700.0	6
07737	14750.0	11
07738	12550.0	21
07739	46150.0	52
07740	28750.0	49
07746	49250.0	67
07747	32700.0	49
07748	55100.0	92
07750	8750.0	18
07751	25058.0	42
07753	17450.0	30
07755	3351.0	9
07756	6200.0	8
07757	16850.0	29
07758	1050.0	2
07760	191650.0	216
07762	76000.0	82
07764	18000.0	27
077HH	0	0
07801	10300.0	12
07803	300.0	1
07821	3200.0	6
07822	0	0
07823	750.0	2
07825	17525.0	28
07826	24250.0	37
07827	3650.0	7
07828	350.0	1
07830	40500.0	50
07832	2750.0	3
07833	0	0
07834	22350.0	38
07836	10900.0	15
07838	500.0	1
07840	54000.0	67
07842	0	0
07843	2500.0	3
07846	1300.0	2
07847	0	0
07848	11800.0	19
07849	850.0	3
07850	250.0	1
07851	0	0
07852	13900.0	19
07853	25800.0	38
07856	1750.0	1
07857	0	0
07860	79650.0	102
07863	1500.0	2
07865	4100.0	10
07866	10600.0	15
07869	79450.0	96
07871	52129.0	86
07874	5500.0	8
07876	4850.0	12
07878	0	0
07882	10600.0	18
07885	2950.0	5
078HH	0	0
07901	430706.0	467
07920	202735.0	248
07921	48600.0	49
07922	137750.0	135
07924	219774.0	235
07927	7500.0	4
07928	141850.0	173
07930	21650.0	27
07931	156850.0	169
07932	89675.0	107
07933	6350.0	12
