zoneID	money	freq
73002	0	0
73003	24650.0	34
73004	0	0
73005	500.0	2
73006	2000.0	1
73007	1000.0	3
73008	4000.0	10
73009	0	0
73010	0	0
73011	0	0
73013	66926.0	100
73014	250.0	1
73015	500.0	2
73016	0	0
73017	0	0
73018	1250.0	3
73020	0	0
73021	0	0
73022	0	0
73024	0	0
73026	21550.0	22
73027	1046.0	3
73028	0	0
73029	0	0
73030	701.0	2
73031	0	0
73032	0	0
73033	0	0
73034	38600.0	60
73036	5400.0	9
73038	0	0
73040	250.0	1
73041	0	0
73042	0	0
73043	0	0
73044	6250.0	9
73045	250.0	1
73047	0	0
73048	0	0
73049	6000.0	6
73050	250.0	1
73051	200.0	1
73052	16000.0	8
73053	0	0
73054	0	0
73055	3400.0	4
73056	0	0
73057	1000.0	1
73058	0	0
73059	0	0
73061	0	0
73062	0	0
73063	0	0
73064	4250.0	7
73065	0	0
73066	0	0
73067	250.0	1
73068	750.0	2
73069	41377.0	56
73071	33154.0	40
73072	138048.0	194
73073	1000.0	1
73074	0	0
73075	250.0	1
73077	0	0
73078	4550.0	5
73079	0	0
73080	5300.0	15
73082	216.0	1
73084	0	0
73086	2200.0	6
73089	1000.0	1
73090	0	0
73092	0	0
73093	0	0
73095	0	0
73096	0	0
73097	0	0
73098	250.0	1
73099	12500.0	19
730HH	0	0
730XX	0	0
73102	118450.0	115
73103	35300.0	47
73104	10134.0	8
73105	7200.0	17
73106	12050.0	16
73107	4150.0	10
73108	3149.0	4
73109	19345.0	42
73110	8484.0	8
73111	0	0
73112	54500.0	87
73114	10400.0	16
73115	1300.0	2
73116	132850.0	162
73117	0	0
73118	102147.0	152
73119	384.0	1
73120	89920.0	137
73121	4250.0	4
73122	800.0	2
73127	8800.0	18
73128	500.0	1
73129	384.0	1
73130	4250.0	10
73131	4050.0	7
73132	1000.0	4
73134	6796.0	9
73135	0	0
73139	5536.0	9
73141	0	0
73142	26884.0	35
73145	0	0
73149	0	0
73150	500.0	1
73151	5000.0	5
73159	1634.0	5
73160	4834.0	8
73162	13800.0	23
73165	0	0
73169	0	0
73170	16084.0	23
73173	0	0
73179	1550.0	6
731HH	0	0
73401	8600.0	16
73425	0	0
73430	0	0
73432	0	0
73433	0	0
73434	0	0
73435	0	0
73437	0	0
73438	0	0
73439	0	0
73440	0	0
73441	0	0
73442	0	0
73443	0	0
73444	0	0
73446	10750.0	7
73447	0	0
73448	3500.0	3
73449	1000.0	2
73450	0	0
73453	0	0
73455	0	0
73456	0	0
73458	0	0
73459	0	0
73460	6480.0	6
73461	0	0
73463	0	0
73481	0	0
73487	0	0
73488	0	0
73491	0	0
734HH	0	0
73501	9078.0	21
73503	0	0
73505	24650.0	34
73507	4450.0	7
73520	0	0
73521	7100.0	18
73526	0	0
73527	0	0
73528	750.0	3
73529	0	0
73530	0	0
73531	0	0
73532	0	0
73533	450.0	2
73537	0	0
73538	0	0
73539	0	0
73540	0	0
73541	0	0
73542	6338.0	16
73543	0	0
73544	0	0
73546	0	0
73547	0	0
73548	0	0
73549	0	0
73550	0	0
73551	2500.0	3
73552	0	0
73553	0	0
73554	500.0	1
73555	0	0
73556	0	0
73557	0	0
73559	0	0
73560	0	0
73561	0	0
73562	0	0
73564	0	0
73565	0	0
73566	0	0
73567	0	0
73568	0	0
73569	0	0
73570	0	0
73571	0	0
73572	0	0
73573	0	0
735HH	0	0
735XX	0	0
73601	4150.0	10
73620	0	0
73622	0	0
73624	1000.0	1
73625	0	0
73626	0	0
73627	0	0
73628	0	0
73632	1250.0	3
73638	0	0
73639	0	0
73641	0	0
73642	0	0
73644	650.0	3
73645	0	0
73646	0	0
73647	0	0
73650	0	0
73651	0	0
73654	1000.0	1
73655	0	0
73658	0	0
73659	0	0
73660	0	0
73661	0	0
73662	500.0	2
73663	0	0
73664	0	0
73666	0	0
73667	0	0
73668	0	0
73669	0	0
73673	0	0
736HH	0	0
736XX	0	0
73701	1800.0	3
73703	26500.0	33
73716	0	0
73717	0	0
73718	0	0
73719	0	0
73720	0	0
73722	0	0
73724	0	0
73726	0	0
73727	0	0
73728	0	0
73729	0	0
73730	0	0
73731	0	0
73733	0	0
73734	0	0
73735	0	0
73736	0	0
73737	0	0
73738	0	0
73739	0	0
73741	0	0
73742	0	0
73743	0	0
73744	0	0
73746	0	0
73747	0	0
73749	0	0
73750	3750.0	5
73753	0	0
73754	0	0
73755	0	0
73756	200.0	1
73757	0	0
73758	0	0
73759	0	0
73760	0	0
73761	0	0
73762	0	0
73763	0	0
73764	0	0
73766	0	0
73768	0	0
73771	0	0
73772	4622.0	8
73773	1000.0	2
737HH	0	0
73801	4750.0	8
73802	2500.0	7
73832	0	0
73834	0	0
73835	0	0
73838	0	0
73840	0	0
73841	0	0
73842	500.0	1
73843	0	0
73844	0	0
73847	0	0
73848	0	0
73851	0	0
73852	0	0
73853	1000.0	2
73855	0	0
73857	0	0
73858	0	0
73859	0	0
73860	0	0
738HH	0	0
738XX	0	0
73901	0	0
73931	500.0	1
73932	0	0
73933	0	0
73937	0	0
73938	0	0
73939	0	0
73942	3050.0	9
73944	0	0
73945	250.0	1
73946	0	0
73947	0	0
73949	0	0
73950	0	0
73951	0	0
739HH	0	0
739XX	0	0
74001	0	0
74002	0	0
74003	1200.0	5
74006	13150.0	27
74008	8250.0	10
74010	16450.0	29
74011	20700.0	26
74012	5450.0	13
74014	5745.0	19
74015	3000.0	4
74016	0	0
74017	55506.0	80
74020	4400.0	3
74021	800.0	3
74022	0	0
74023	0	0
74026	0	0
74027	0	0
74028	0	0
74029	500.0	1
74030	4500.0	4
74032	0	0
74033	0	0
74034	0	0
74035	0	0
74036	250.0	1
74037	1500.0	2
74038	500.0	1
74039	0	0
74041	0	0
74042	0	0
74044	0	0
74045	0	0
74047	0	0
74048	500.0	2
74050	0	0
74051	1500.0	2
74052	0	0
74053	1200.0	3
74054	0	0
74055	27401.0	31
74056	12800.0	12
74058	1000.0	1
74059	4000.0	3
74060	0	0
74061	250.0	1
74062	0	0
74063	6152.0	18
74066	12150.0	22
74068	200.0	1
74070	3250.0	6
74071	0	0
74072	0	0
