zoneID	money	freq
20105	5550.0	12
20106	0	0
20109	9750.0	12
20110	40350.0	49
20111	4450.0	7
20112	20150.0	25
20115	17900.0	21
20117	3750.0	8
20118	17900.0	25
20119	3000.0	3
20120	33330.0	53
20121	7950.0	16
20124	19825.0	36
20129	0	0
20130	0	0
20132	8750.0	13
20135	2000.0	3
20136	19750.0	23
20137	7000.0	5
20138	0	0
20139	225.0	1
20140	200.0	1
20141	3050.0	5
20143	250.0	1
20144	23900.0	24
20147	21150.0	26
20148	1350.0	5
20151	25150.0	30
20152	3750.0	4
20155	5750.0	8
20158	7215.0	6
20164	2800.0	4
20165	13501.0	39
20166	6000.0	6
20169	3250.0	6
20170	60226.0	77
20171	56494.0	76
20175	33850.0	40
20176	29662.0	35
20180	3300.0	9
20181	1000.0	1
20184	4800.0	10
20186	6118.0	7
20187	4030.0	8
20190	84635.0	91
20191	62965.0	78
20194	55347.0	79
20197	1700.0	7
20198	60818.0	38
201HH	0	0
22003	129630.0	214
22015	129730.0	150
22026	4950.0	10
22027	30450.0	41
22030	79606.0	112
22031	126520.0	160
22032	27060.0	39
22033	34155.0	47
22039	237151.0	306
22041	114933.0	193
22042	52749.0	131
22043	73549.0	139
22044	89710.0	150
22046	105665.0	165
22060	6000.0	5
22066	359790.0	398
22079	7515.0	21
220HH	0	0
22101	790111.0	1131
22102	564054.0	690
22124	135240.0	209
22125	1000.0	1
22134	0	0
22150	25980.0	35
22151	10850.0	20
22152	31910.0	64
22153	22950.0	37
22172	0	0
22180	36792.0	80
22181	113161.0	142
22182	227167.0	324
22191	11150.0	15
22192	74049.0	105
22193	6800.0	12
221HH	0	0
22201	248754.0	473
22202	273253.0	331
22203	69160.0	145
22204	75950.0	129
22205	137611.0	265
22206	85397.0	201
22207	624662.0	976
22209	149015.0	196
22211	0	0
22213	56550.0	77
22301	216402.0	338
22302	280917.0	420
22303	15150.0	33
22304	262170.0	352
22305	74049.0	108
22306	47618.0	76
22307	117192.0	179
22308	111354.0	193
22309	96015.0	167
22310	64752.0	109
22311	109776.0	211
22312	43928.0	88
22314	641479.0	857
22315	32240.0	54
223HH	0	0
22401	6050.0	10
22405	6550.0	11
22406	0	0
22407	7500.0	8
22408	500.0	1
22427	1500.0	1
22432	0	0
22433	0	0
22435	0	0
22436	0	0
22437	0	0
22438	0	0
22443	0	0
22448	0.0	2
22454	0	0
22460	0	0
22469	0	0
22473	0	0
22476	0	0
22480	1500.0	2
22482	250.0	1
22485	20750.0	13
22488	0	0
224HH	0	0
224XX	0	0
22503	0	0
22504	0	0
22507	0	0
22508	1250.0	4
22509	0	0
22511	0	0
22514	0	0
22520	0	0
22529	0	0
22534	0	0
22535	0	0
22538	0	0
22539	0	0
22542	0	0
22546	0	0
22548	0	0
22553	10850.0	17
22554	8274.0	12
22560	0	0
22567	0	0
22572	0	0
22576	0	0
22578	250.0	1
22579	1000.0	1
22580	0	0
225HH	0	0
225XX	0	0
22601	3000.0	4
22602	1250.0	3
22603	2700.0	2
22610	0	0
22611	4000.0	8
22620	0	0
22624	0	0
22625	500.0	1
22626	0	0
22627	3100.0	8
22630	900.0	3
22637	0	0
22639	0	0
22640	0	0
22641	0	0
22642	6899.0	12
22643	1000.0	1
22644	4850.0	10
22645	10725.0	10
22646	200.0	1
22650	0	0
22652	0	0
22654	0	0
22655	0	0
22656	0	0
22657	0	0
22660	0	0
22663	0	0
22664	750.0	2
226HH	0	0
22701	860.0	2
22709	0	0
22711	0	0
22712	250.0	1
22713	0	0
22714	0	0
22715	0	0
22716	0	0
22718	2000.0	2
22719	0	0
22720	0	0
22722	0	0
22723	0	0
22724	0	0
22726	0	0
22727	7500.0	5
22728	1430.0	3
22729	0	0
22730	0	0
22731	0	0
22732	0	0
22733	0	0
22734	0	0
22735	0	0
22736	0	0
22737	0	0
22738	0	0
22740	500.0	1
22741	0	0
22742	0	0
22743	0	0
22746	0	0
22747	3750.0	7
22749	0	0
227XX	0	0
22801	4000.0	3
22802	250.0	1
22810	0	0
22811	0	0
22812	1100.0	5
22815	0	0
22820	0	0
22821	0	0
22824	0	0
22827	0	0
22830	0	0
22831	0	0
22832	0	0
22834	0	0
22835	0	0
22840	0	0
22841	0	0
22842	0	0
22843	0	0
22844	0	0
22845	0	0
22846	0	0
22847	0	0
22849	0	0
22850	0	0
22851	0	0
22853	0	0
228HH	0	0
228XX	0	0
22901	58448.0	109
22902	75895.0	90
22903	70554.0	153
22911	16715.0	33
22920	8650.0	19
22922	200.0	1
22923	0	0
22924	8400.0	6
22931	0	0
22932	4150.0	11
22935	0	0
22936	2600.0	6
22937	0	0
22938	900.0	3
22939	0	0
22940	29742.0	30
22942	0	0
22943	1000.0	1
22946	6000.0	5
22947	6500.0	7
22948	0	0
22949	2676.0	8
22952	0	0
22954	0	0
22957	0	0
22958	11050.0	16
22959	14700.0	8
22960	1500.0	5
22963	500.0	1
22964	0	0
22967	1200.0	6
22968	0	0
22969	0	0
22971	1500.0	2
22972	0	0
22973	0	0
22974	1000.0	2
22976	0	0
22980	250.0	1
22989	0	0
229HH	0	0
229XX	0	0
23001	0	0
23002	0	0
23004	0	0
23005	450.0	2
23009	750.0	3
23011	0	0
23015	0	0
23021	0	0
23022	0	0
23023	0	0
23024	1000.0	1
23025	0	0
23027	1000.0	1
23030	0	0
23032	0	0
23035	0	0
23038	0	0
23039	0	0
23040	0	0
23043	0	0
23045	0	0
23047	0	0
23050	0	0
23055	0	0
23056	0	0
23059	9500.0	14
23060	3000.0	3
23061	3000.0	2
23062	0	0
23063	0	0
23064	0	0
23065	0	0
23066	0	0
23068	0	0
23069	0	0
23070	0	0
23071	1000.0	1
23072	0	0
23075	0	0
23076	0	0
23079	0	0
23083	0	0
23084	0	0
23085	0	0
23086	0	0
23089	0	0
23091	0	0
23092	0	0
23093	0	0
230HH	0	0
23102	1000.0	1
23103	1250.0	2
23106	0	0
23108	0	0
23109	500.0	1
23110	0	0
23111	0	0
23112	2500.0	6
23113	7750.0	10
23115	0	0
23116	1750.0	3
23117	0	0
23119	0	0
23120	0	0
23123	0	0
23124	0	0
23125	0	0
23126	0	0
23128	250.0	1
23129	59300.0	64
23130	0	0
23138	750.0	2
23139	1500.0	2
23140	0	0
23141	0	0
23146	0	0
23148	0	0
23149	0	0
23150	500.0	2
23153	0	0
23156	0	0
23161	0	0
23163	0	0
23168	0	0
23169	0	0
23175	2500.0	2
23176	0	0
23177	0	0
23178	0	0
23180	0	0
23181	850.0	4
23184	0	0
23185	11600.0	27
23186	250.0	1
23188	44250.0	36
23192	1500.0	2
