zoneID	money	freq
20105	13150.0	26
20106	0	0
20109	13450.0	22
20110	91336.0	118
20111	11250.0	19
20112	28400.0	40
20115	41675.0	54
20117	8500.0	17
20118	67500.0	80
20119	4000.0	4
20120	73580.0	117
20121	15800.0	35
20124	101040.0	133
20129	2250.0	4
20130	200.0	1
20132	15500.0	21
20135	4950.0	7
20136	30800.0	36
20137	13750.0	11
20138	500.0	1
20139	225.0	1
20140	1950.0	4
20141	7650.0	12
20143	250.0	1
20144	45933.0	48
20147	57100.0	79
20148	2850.0	9
20151	58500.0	81
20152	16500.0	19
20155	18450.0	26
20158	8465.0	8
20164	17800.0	23
20165	81718.0	120
20166	10750.0	11
20169	15450.0	21
20170	123126.0	141
20171	167984.0	224
20175	74800.0	95
20176	103812.0	137
20180	8900.0	23
20181	7502.0	13
20184	5000.0	11
20186	26118.0	37
20187	10680.0	17
20190	192200.0	196
20191	94565.0	131
20194	122735.0	167
20197	13950.0	20
20198	75068.0	59
201HH	0	0
22003	237580.0	392
22015	253516.0	332
22026	13380.0	34
22027	42550.0	59
22030	175081.0	245
22031	198989.0	267
22032	103278.0	173
22033	95546.0	141
22039	523536.0	688
22041	213411.0	325
22042	119699.0	238
22043	177467.0	297
22044	253450.0	337
22046	202679.0	307
22060	6500.0	7
22066	902638.0	1069
22079	26265.0	49
220HH	0	0
22101	2151766.0	2717
22102	1249640.0	1459
22124	322190.0	496
22125	3000.0	3
22134	450.0	2
22150	61980.0	79
22151	47750.0	73
22152	104809.0	179
22153	59036.0	104
22172	500.0	1
22180	109971.0	181
22181	320300.0	413
22182	498199.0	690
22191	28100.0	53
22192	115878.0	165
22193	12300.0	27
221HH	0	0
22201	484408.0	873
22202	506991.0	718
22203	173743.0	309
22204	118446.0	201
22205	295597.0	537
22206	223125.0	461
22207	1288540.0	1950
22209	281186.0	371
22211	0	0
22213	104150.0	131
22301	491645.0	705
22302	849392.0	1210
22303	54255.0	110
22304	594682.0	868
22305	151229.0	252
22306	109105.0	171
22307	299143.0	439
22308	469859.0	634
22309	314432.0	421
22310	126502.0	203
22311	178486.0	326
22312	109148.0	197
22314	1381083.0	1893
22315	81402.0	144
223HH	0	0
22401	26773.0	48
22405	22250.0	42
22406	2000.0	4
22407	20910.0	36
22408	10850.0	18
22427	2000.0	2
22432	0	0
22433	0	0
22435	0	0
22436	2050.0	5
22437	0	0
22438	0	0
22443	0	0
22448	0.0	2
22454	0	0
22460	0	0
22469	0	0
22473	2000.0	1
22476	0	0
22480	62700.0	105
22482	250.0	1
22485	21000.0	14
22488	0	0
224HH	0	0
224XX	0	0
22503	250.0	1
22504	0	0
22507	0	0
22508	2500.0	7
22509	0	0
22511	0	0
22514	2000.0	1
22520	0	0
22529	0	0
22534	200.0	1
22535	0	0
22538	0	0
22539	0	0
22542	0	0
22546	0	0
22548	0	0
22553	20475.0	31
22554	19968.0	31
22560	1500.0	3
22567	0	0
22572	0	0
22576	0	0
22578	750.0	2
22579	1250.0	2
22580	0	0
225HH	0	0
225XX	0	0
22601	39543.0	59
22602	12851.0	21
22603	6750.0	10
22610	6000.0	8
22611	5250.0	10
22620	9000.0	6
22624	3000.0	2
22625	500.0	1
22626	0	0
22627	4550.0	13
22630	2400.0	7
22637	250.0	1
22639	11500.0	12
22640	0	0
22641	0	0
22642	8899.0	18
22643	1000.0	1
22644	4850.0	10
22645	20455.0	21
22646	700.0	2
22650	0	0
22652	2000.0	4
22654	200.0	1
22655	5500.0	4
22656	0	0
22657	0	0
22660	0	0
22663	400.0	2
22664	15350.0	33
226HH	0	0
22701	5910.0	12
22709	0	0
22711	0	0
22712	2250.0	2
22713	500.0	1
22714	0	0
22715	0	0
22716	0	0
22718	2000.0	2
22719	0	0
22720	0	0
22722	0	0
22723	0	0
22724	500.0	1
22726	0	0
22727	9750.0	8
22728	1430.0	3
22729	0	0
22730	0	0
22731	0	0
22732	0	0
22733	6250.0	6
22734	0	0
22735	450.0	2
22736	0	0
22737	0	0
22738	0	0
22740	500.0	1
22741	0	0
22742	300.0	1
22743	0	0
22746	1000.0	1
22747	3750.0	7
22749	0	0
227XX	0	0
22801	56250.0	40
22802	3653.0	6
22810	0	0
22811	0	0
22812	6100.0	10
22815	1900.0	5
22820	0	0
22821	0	0
22824	4000.0	2
22827	250.0	1
22830	0	0
22831	0	0
22832	2000.0	1
22834	0	0
22835	3380.0	8
22840	2000.0	3
22841	250.0	1
22842	8250.0	7
22843	250.0	1
22844	0	0
22845	0	0
22846	0	0
22847	0	0
22849	0	0
22850	0	0
22851	0	0
22853	0	0
228HH	0	0
228XX	0	0
22901	231763.0	251
22902	127749.0	172
22903	118124.0	221
22911	28994.0	50
22920	9150.0	20
22922	450.0	2
22923	0	0
22924	8900.0	7
22931	0	0
22932	7900.0	15
22935	0	0
22936	5100.0	11
22937	0	0
22938	1400.0	5
22939	2000.0	2
22940	45768.0	52
22942	5250.0	4
22943	8000.0	7
22946	6000.0	5
22947	27000.0	34
22948	0	0
22949	3926.0	10
22952	0	0
22954	0	0
22957	0	0
22958	12800.0	20
22959	17200.0	11
22960	2000.0	6
22963	750.0	2
22964	250.0	1
22967	1700.0	7
22968	250.0	1
22969	0	0
22971	2000.0	4
22972	0	0
22973	750.0	3
22974	3150.0	8
22976	0	0
22980	5550.0	5
22989	0	0
229HH	0	0
229XX	0	0
23001	0	0
23002	0	0
23004	0	0
23005	15200.0	28
23009	1750.0	4
23011	0	0
23015	4500.0	6
23021	0	0
23022	0	0
23023	0	0
23024	2000.0	2
23025	0	0
23027	1000.0	1
23030	0	0
23032	0	0
23035	0	0
23038	250.0	1
23039	18250.0	17
23040	250.0	1
23043	0	0
23045	0	0
23047	1000.0	1
23050	0	0
23055	0	0
23056	0	0
23059	57600.0	87
23060	24350.0	24
23061	7300.0	9
23062	1500.0	2
23063	0	0
23064	0	0
23065	0	0
23066	0	0
23068	1000.0	1
23069	750.0	2
23070	0	0
23071	5000.0	3
23072	1000.0	1
23075	0	0
23076	0	0
23079	0	0
23083	0	0
23084	0	0
23085	0	0
23086	0	0
23089	450.0	2
23091	0	0
23092	0	0
23093	4000.0	6
230HH	0	0
23102	1937.0	3
23103	51671.0	68
23106	0	0
23108	636.0	1
23109	1000.0	2
23110	0	0
23111	8250.0	12
23112	15150.0	33
23113	52750.0	76
23115	0	0
23116	20200.0	31
23117	5500.0	5
23119	200.0	1
23120	1700.0	3
23123	250.0	1
23124	0	0
23125	0	0
23126	0	0
23128	550.0	2
23129	60300.0	65
23130	0	0
23138	750.0	2
23139	11500.0	12
23140	0	0
23141	0	0
23146	200.0	1
23148	0	0
23149	0	0
23150	1250.0	4
23153	1000.0	1
23156	0	0
23161	1000.0	1
23163	0	0
23168	0	0
23169	0	0
23175	2500.0	2
23176	0	0
23177	0	0
23178	0	0
23180	0	0
23181	5100.0	8
23184	0	0
23185	60750.0	99
23186	250.0	1
23188	51250.0	49
23192	7000.0	8
231HH	0	0
23219	101309.0	123
23220	34750.0	59
23221	110570.0	134
23222	7372.0	8
23223	1750.0	5
23224	0	0
23225	35750.0	47
23226	211890.0	255
