zoneID	money	freq
53001	0	0
53002	7000.0	9
53003	0	0
53004	1250.0	2
53005	77710.0	129
53006	73102.0	47
53007	0	0
53010	24700.0	27
53011	0	0
53012	20225.0	40
53013	400.0	2
53014	3500.0	6
53015	0	0
53016	0	0
53017	7170.0	14
53018	77050.0	92
53019	8750.0	9
53020	16000.0	14
53021	1900.0	2
53022	10481.0	20
53023	0	0
53024	22405.0	35
53027	17988.0	35
53029	136664.0	244
53032	0	0
53033	2975.0	7
53034	0	0
53035	0	0
53036	750.0	2
53037	1500.0	2
53038	2350.0	4
53039	0	0
53040	4750.0	7
53042	0	0
53044	44350.0	40
53045	69550.0	120
53046	750.0	2
53047	0	0
53048	23700.0	24
53049	1000.0	1
53050	1500.0	4
53051	28850.0	51
53057	0	0
53058	35432.0	59
53059	0	0
53061	14840.0	28
53063	200.0	1
53065	8750.0	10
53066	171079.0	229
53069	1000.0	3
53070	14500.0	32
53072	69983.0	144
53073	14450.0	21
53074	2950.0	8
53075	300.0	1
53076	9000.0	10
53078	5950.0	7
53079	950.0	4
53080	1500.0	2
53081	17000.0	17
53083	17800.0	32
53085	3330.0	8
53086	13300.0	23
53088	0	0
53089	2250.0	3
53090	6450.0	14
53091	0	0
53092	223495.0	362
53093	300.0	1
53094	4750.0	9
53095	111629.0	211
53097	24800.0	43
53098	750.0	3
530HH	0	0
53103	500.0	1
53104	3550.0	12
53105	17750.0	50
53108	400.0	2
53110	1000.0	1
53114	0	0
53115	6900.0	15
53118	20250.0	21
53119	2550.0	3
53120	8750.0	16
53121	23675.0	37
53122	77600.0	139
53125	1650.0	5
53126	6002.0	14
53128	0	0
53129	7900.0	14
53130	800.0	3
53132	14384.0	28
53137	2000.0	2
53139	0	0
53140	3950.0	6
53142	21650.0	42
53143	17050.0	32
53144	25612.0	38
53146	10820.0	17
53147	25300.0	40
53148	250.0	1
53149	8450.0	17
53150	9150.0	16
53151	30244.0	55
53153	250.0	1
53154	10350.0	29
53156	0	0
53158	9584.0	19
53167	275.0	1
53168	3050.0	9
53170	0	0
53172	0	0
53176	0	0
53177	700.0	2
53178	400.0	2
53179	750.0	2
53181	3850.0	8
53182	2950.0	4
53183	1500.0	3
53184	1000.0	1
53185	8100.0	14
53186	45600.0	46
53188	26615.0	49
53189	23500.0	29
53190	13400.0	29
53191	3850.0	11
53192	0	0
53195	0	0
531HH	0	0
53202	139819.0	194
53203	5450.0	7
53204	1300.0	4
53205	250.0	1
53206	3750.0	5
53207	3250.0	7
53208	3950.0	14
53209	9550.0	20
53210	0	0
53211	87303.0	148
53212	12661.0	23
53213	21750.0	40
53214	6750.0	8
53215	2150.0	8
53216	2550.0	7
53217	263900.0	401
53218	3125.0	7
53219	950.0	3
53220	5450.0	9
53221	7575.0	13
53222	12400.0	33
53223	13500.0	16
53224	20941.0	14
53225	3476.0	9
53226	20420.0	45
53227	3000.0	5
53228	27320.0	31
53233	0	0
53235	3204.0	6
532HH	0	0
53402	82060.0	149
53403	22641.0	47
53404	2150.0	8
53405	3350.0	6
53406	7650.0	19
534HH	0	0
53502	0	0
53503	2500.0	6
53504	0	0
53505	0	0
53506	5000.0	3
53507	1250.0	2
53508	200.0	1
53510	0	0
53511	14483.0	30
53515	0	0
53516	0	0
53517	800.0	2
53518	0	0
53520	400.0	2
53521	0	0
53522	250.0	1
53523	2000.0	1
53525	1225.0	4
53526	1000.0	3
53527	2000.0	4
53528	4250.0	11
53529	500.0	2
53530	0	0
53531	0	0
53532	1700.0	7
53533	24450.0	32
53534	750.0	3
53536	3600.0	9
53537	0	0
53538	8950.0	14
53540	0	0
53541	0	0
53543	0	0
53544	0	0
53545	80580.0	162
53546	15175.0	42
53549	12250.0	11
53550	0	0
53551	1762.0	6
53553	0	0
53554	500.0	1
53555	1400.0	4
53556	6000.0	3
53557	0	0
53558	8235.0	20
53559	250.0	1
53560	450.0	2
53561	2750.0	4
53562	57150.0	105
53563	9950.0	17
53565	0	0
53566	750.0	3
53569	0	0
53570	0	0
53571	0	0
53572	1000.0	1
53573	1000.0	3
53574	0	0
53575	8125.0	15
53576	0	0
53577	25550.0	32
53578	18050.0	27
53579	1400.0	3
53580	0	0
53581	4775.0	15
53582	1000.0	1
53583	1800.0	4
53585	0	0
53586	250.0	1
53587	0	0
53588	5250.0	7
53589	3500.0	6
53590	7501.0	20
53593	22750.0	55
53594	0	0
53597	19285.0	34
53598	1000.0	2
535HH	0	0
53703	30138.0	56
53704	111138.0	146
53705	82333.0	152
53706	250.0	1
53711	50055.0	97
53713	12400.0	20
53714	2475.0	3
53715	3250.0	7
53716	29300.0	49
53717	33538.0	62
53718	3500.0	8
53719	28000.0	39
537HH	0	0
53801	0	0
53803	0	0
53804	0	0
53805	1750.0	4
53806	0	0
53807	500.0	2
53808	0	0
53809	1735.0	4
53810	0	0
53811	1500.0	3
53813	2700.0	9
53816	0	0
53817	0	0
53818	7650.0	13
53820	1000.0	3
53821	8090.0	14
53825	0	0
53826	0	0
53827	0	0
538HH	0	0
53901	10400.0	19
53910	0	0
53911	0	0
53913	18992.0	46
53916	4400.0	8
53919	500.0	1
53920	0	0
53922	0	0
53923	0	0
53924	0	0
53925	500.0	1
53926	0	0
53928	0	0
53929	0	0
53930	750.0	2
53931	0	0
53932	250.0	1
53933	250.0	1
53934	1200.0	4
53935	250.0	1
53936	0	0
53937	0	0
53939	0	0
53940	7250.0	15
53941	6250.0	4
53943	750.0	2
53944	0	0
53946	1500.0	3
53947	0	0
53948	5750.0	11
53949	5750.0	5
53950	1000.0	2
53951	0	0
53952	4950.0	8
53953	0	0
53954	158200.0	7
53955	0	0
53956	5000.0	3
53959	21200.0	30
53960	0	0
53961	0	0
53962	0	0
53963	6950.0	11
53964	4200.0	6
53965	42990.0	103
53968	0	0
53969	0	0
539HH	0	0
54001	950.0	4
54002	0	0
54003	0	0
54004	0	0
54005	0	0
54006	0	0
54007	300.0	1
54009	0	0
54011	250.0	1
54012	0	0
54013	0	0
54014	0	0
54015	0	0
54016	11815.0	21
54017	1850.0	5
54020	0	0
54021	4475.0	4
54022	6900.0	9
54023	300.0	1
54024	0	0
54025	500.0	1
54026	0	0
54027	0	0
54028	0	0
54082	0	0
540HH	0	0
54101	0	0
54102	0	0
54103	0	0
54104	0	0
54106	1250.0	2
54107	2500.0	4
54110	5050.0	7
54111	0	0
54112	0	0
54113	625.0	2
54114	0	0
54115	100755.0	154
54119	0	0
54120	0	0
54121	0	0
54123	0	0
54124	550.0	2
54125	0	0
54126	750.0	2
54127	0	0
54128	0	0
54129	5050.0	8
54130	4400.0	9
54135	0	0
54136	0	0
54137	0	0
54138	0	0
54139	0	0
54140	2000.0	3
54141	0	0
54143	750.0	3
54149	0	0
54150	0	0
54151	2250.0	2
54152	0	0
54153	0	0
54154	500.0	1
54155	26735.0	31
54156	0	0
54157	4000.0	4
54159	0	0
54160	0	0
54161	0	0
54162	500.0	2
54165	0	0
54166	900.0	4
54169	2750.0	4
54170	0	0
54171	0	0
54173	0	0
54174	250.0	1
54175	0	0
54177	0	0
54180	0	0
541HH	0	0
541XX	0	0
54201	0	0
54202	350.0	1
54204	4500.0	5
54205	0	0
54207	0	0
54208	0	0
54209	2650.0	7
54210	300.0	1
54211	650.0	3
54212	0	0
54213	0	0
54214	0	0
54215	0	0
54216	0	0
54217	2000.0	2
54220	11705.0	38
54227	0	0
54228	0	0
54229	11000.0	14
54230	0	0
54232	0	0
54234	1200.0	2
54235	14400.0	19
54240	0	0
54241	4300.0	5
54245	250.0	1
54246	3000.0	3
54247	0	0
542HH	0	0
54301	59749.0	93
54302	10350.0	20
54303	825.0	3
54304	25750.0	42
54311	13307.0	23
54313	52660.0	87
543HH	0	0
54401	8450.0	14
54403	28225.0	54
54405	1000.0	1
54406	0	0
54407	800.0	2
54408	0	0
54409	34000.0	15
54410	0	0
54411	0	0
54412	0	0
54413	0	0
54414	0	0
54416	0	0
54417	0	0
54418	0	0
54420	0	0
54421	0	0
54422	0	0
54423	0	0
54424	500.0	1
54425	0	0
54426	0	0
54427	0	0
54428	0	0
54430	0	0
54433	0	0
54435	0	0
54436	0	0
54437	0	0
54440	0	0
54441	0	0
54442	0	0
54443	0	0
54446	0	0
54447	0	0
54448	7000.0	13
54449	14908.0	29
54451	1550.0	5
54452	1250.0	2
54454	0	0
54455	6800.0	10
54456	250.0	1
54457	0	0
54459	0	0
54460	0	0
54462	0	0
54463	0	0
54465	1000.0	2
54466	250.0	1
54467	2900.0	8
54469	0	0
54470	0	0
54471	0	0
54473	0	0
54474	300.0	1
54475	0	0
54476	5582.0	11
54479	0	0
54480	0	0
54481	4200.0	8
54484	0	0
54485	0	0
54486	0	0
54487	0	0
54488	0	0
54489	0	0
54490	0	0
54491	0	0
54493	0	0
54494	4302.0	11
54495	0	0
54498	0	0
54499	750.0	2
544HH	0	0
544XX	0	0
54501	7550.0	11
54511	0	0
54512	450.0	2
54513	0	0
54514	0	0
54515	0	0
54517	0	0
54519	0	0
54520	7000.0	4
