zoneID	money	freq
71601	3500.0	7
71602	250.0	1
71603	46234.0	62
71630	0	0
71631	1000.0	1
71635	5900.0	15
71638	0	0
71639	0	0
71640	0	0
71642	0	0
71643	0	0
71644	0	0
71646	1250.0	3
71647	0	0
71651	0	0
71652	0	0
71653	700.0	3
71654	0	0
71655	16725.0	27
71656	1000.0	2
71658	0	0
71659	0	0
71660	0	0
71661	0	0
71663	0	0
71665	2350.0	3
71666	0	0
71667	3000.0	7
71670	0	0
71671	13250.0	14
71674	0	0
71675	0	0
71676	0	0
71677	0	0
716HH	0	0
716XX	0	0
71701	0	0
71720	0	0
71722	0	0
71724	0	0
71725	0	0
71726	0	0
71730	13000.0	17
71740	0	0
71742	0	0
71743	0	0
71744	0	0
71745	0	0
71747	0	0
71749	0	0
71751	0	0
71752	0	0
71753	750.0	2
71758	0	0
71759	0	0
71762	3000.0	2
71763	0	0
71764	0	0
71765	0	0
71766	0	0
71770	0	0
717HH	0	0
717XX	0	0
71801	2000.0	2
71820	0	0
71822	0	0
71823	0	0
71825	0	0
71826	0	0
71827	0	0
71832	0	0
71833	0	0
71834	0	0
71835	0	0
71836	0	0
71837	0	0
71838	0	0
71839	0	0
71841	0	0
71842	0	0
71845	0	0
71846	0	0
71847	0	0
71851	0	0
71852	0	0
71853	0	0
71854	0	0
71855	0	0
71857	0	0
71858	0	0
71859	0	0
71860	0	0
71861	0	0
71862	0	0
71865	0	0
71866	0	0
718HH	0	0
71901	2000.0	6
71909	200.0	1
71913	8900.0	10
71921	0	0
71922	0	0
71923	200.0	1
71929	0	0
71933	0	0
71935	400.0	2
71937	0	0
71940	0	0
71941	0	0
71943	0	0
71944	0	0
71945	0	0
71949	0	0
71950	0	0
71952	0	0
71953	250.0	1
71956	0	0
71957	0	0
71958	0	0
71959	0	0
71960	0	0
71961	0	0
71962	0	0
71964	0	0
71965	0	0
71968	0	0
71969	0	0
71970	0	0
71971	0	0
71972	0	0
71973	0	0
719HH	0	0
72001	0	0
72002	400.0	1
72003	0	0
72004	0	0
72005	0	0
72006	250.0	1
72007	500.0	1
72010	0	0
72011	0	0
72012	0	0
72013	0	0
72014	0	0
72015	2225.0	6
72016	0	0
72017	0	0
72020	0	0
72021	0	0
72022	700.0	2
72023	11104.0	22
72024	0	0
72025	0	0
72026	0	0
72027	0	0
72029	0	0
72030	0	0
72031	500.0	1
72032	1500.0	3
72036	0	0
72038	0	0
72039	0	0
72040	250.0	1
72041	500.0	1
72042	4400.0	3
72043	0	0
72044	0	0
72045	0	0
72046	1000.0	1
72047	0	0
72048	0	0
72051	0	0
72053	0	0
72055	200.0	1
72057	0	0
72058	1500.0	1
72060	0	0
72061	0	0
72063	0	0
72064	0	0
72065	1650.0	5
72067	0	0
72068	0	0
72069	0	0
72070	0	0
72072	500.0	1
72073	0	0
72074	0	0
72075	0	0
72076	1000.0	1
72079	0	0
72080	0	0
72081	0	0
72082	0	0
72083	1000.0	1
72084	0	0
72085	0	0
72086	0	0
72087	0	0
72088	0	0
72099	0	0
720HH	0	0
720XX	0	0
72101	200.0	1
72102	250.0	1
72103	250.0	1
72104	0	0
72105	0	0
72106	3000.0	3
72107	0	0
72108	0	0
72110	1700.0	3
72111	0	0
72112	2000.0	4
72113	400.0	2
72114	0	0
72116	2550.0	6
72117	0	0
72118	250.0	1
72120	2790.0	4
72121	0	0
72122	500.0	1
72123	0	0
72125	0	0
72126	0	0
72127	0	0
72128	0	0
72129	0	0
72130	280.0	1
72131	0	0
72132	0	0
72133	0	0
72134	0	0
72135	0	0
72136	0	0
72137	3300.0	3
72139	0	0
72140	0	0
72141	0	0
72142	0	0
72143	2850.0	5
72150	5200.0	5
72152	0	0
72153	0	0
72156	0	0
72157	0	0
72160	8400.0	11
72165	0	0
72166	0	0
72167	0	0
72168	0	0
72169	0	0
72170	0	0
72173	1500.0	3
72175	0	0
72176	2000.0	3
72179	0	0
72180	0	0
72181	0	0
72183	0	0
721HH	0	0
721XX	0	0
72201	92000.0	53
72202	2300.0	4
72204	0	0
72205	8750.0	11
72206	500.0	1
72207	43847.0	40
72209	0	0
72210	0	0
72211	4600.0	6
