zoneID	money	freq
90001	750.0	2
90002	2250.0	2
90003	1350.0	2
90004	210133.0	280
90005	73250.0	58
90006	4700.0	5
90007	26050.0	27
90008	25435.0	42
90010	75003.0	90
90011	5700.0	4
90012	35981.0	44
90013	8900.0	9
90014	15600.0	26
90015	34200.0	54
90016	7650.0	13
90017	364944.0	296
90018	3200.0	8
90019	42150.0	43
90020	84300.0	93
90021	12500.0	13
90022	28116.0	37
90023	4350.0	6
90024	933561.0	948
90025	685268.0	655
90026	34025.0	56
90027	118825.0	174
90028	24775.0	26
90029	5450.0	5
90031	2900.0	8
90032	2200.0	4
90033	8400.0	14
90034	77774.0	102
90035	122528.0	151
90036	228492.0	269
90037	5000.0	8
90038	23555.0	38
90039	36070.0	68
90040	22100.0	22
90041	34051.0	57
90042	35260.0	58
90043	18325.0	36
90044	5750.0	5
90045	65600.0	100
90046	173365.0	257
90047	3170.0	6
90048	416188.0	467
90049	1474202.0	1745
90056	31840.0	47
90057	9250.0	20
90058	61425.0	39
90059	7800.0	6
90061	3000.0	2
90062	0	0
90063	750.0	2
90064	495868.0	519
90065	50877.0	68
90066	58429.0	112
90067	957295.0	807
90068	238506.0	306
90069	495632.0	580
90071	239030.0	257
90077	680708.0	645
900HH	0	0
90201	3850.0	6
90210	2296180.0	2291
90211	222888.0	269
90212	764672.0	790
90220	9200.0	15
90221	3750.0	5
90222	1000.0	3
90230	38400.0	56
90232	107854.0	107
90240	18825.0	25
90241	18700.0	21
90242	22250.0	33
90245	87171.0	90
90247	17860.0	28
90248	2400.0	3
90249	12750.0	12
90250	10550.0	14
90254	59390.0	78
90255	12445.0	11
90260	4000.0	4
90261	1430.0	2
90262	1430.0	4
90263	1250.0	2
90265	388242.0	504
90266	336475.0	415
90270	4250.0	5
90272	715000.0	803
90274	326060.0	387
90275	140040.0	187
90277	74074.0	103
90278	43789.0	51
90280	18100.0	19
90290	21335.0	43
90291	106510.0	163
90292	110259.0	171
90293	19682.0	37
902HH	0	0
90301	14510.0	16
90302	25181.0	27
90303	3101.0	4
90304	0	0
90305	9900.0	10
90401	216806.0	271
90402	536260.0	671
90403	185060.0	269
90404	184314.0	212
90405	235089.0	287
904HH	0	0
90501	34580.0	39
90502	500.0	1
90503	32550.0	41
90504	6650.0	13
90505	48825.0	62
90601	21760.0	27
90602	24600.0	29
90603	23850.0	22
90604	5300.0	8
90605	23250.0	43
90606	4800.0	9
90620	6400.0	18
90621	18075.0	19
90623	5950.0	16
90630	19250.0	34
90631	139170.0	149
90638	8566.0	14
90640	16650.0	21
90650	16600.0	11
90660	3001.0	4
90670	26300.0	47
90680	17672.0	17
906HH	0	0
90701	2250.0	3
90703	68460.0	85
90704	1500.0	4
90706	12974.0	19
90710	4980.0	8
90712	3700.0	8
90713	200.0	1
90715	0	0
90716	6500.0	5
90717	4029.0	13
90720	41100.0	77
90723	21350.0	28
90731	12086.0	23
90732	10300.0	16
90740	39896.0	73
90742	11300.0	12
90743	0	0
90744	1075.0	5
90745	22301.0	25
90746	6350.0	6
907HH	0	0
907XX	0	0
90802	74319.0	88
90803	92925.0	157
90804	10400.0	18
90805	26800.0	44
90806	17911.0	18
90807	41700.0	61
90808	6900.0	14
90810	2750.0	4
90813	4500.0	4
90814	12150.0	24
90815	39500.0	55
90822	0	0
908HH	0	0
91001	50500.0	73
91006	72154.0	98
91007	33450.0	50
91010	30350.0	33
91011	209225.0	245
91016	24752.0	31
91020	250.0	1
91024	21080.0	51
91030	108760.0	113
91040	2800.0	8
91042	10650.0	12
910HH	0	0
910XX	0	0
91101	84397.0	102
91103	69300.0	86
91104	50203.0	73
91105	146250.0	183
91106	152625.0	184
91107	83353.0	109
91108	171216.0	221
91201	14050.0	18
91202	27069.0	43
91203	41550.0	39
91204	11000.0	12
91205	5100.0	9
91206	26950.0	38
91207	37775.0	53
91208	30076.0	34
91214	22850.0	25
91301	74495.0	100
91302	284550.0	272
91303	3250.0	5
91304	9110.0	23
91306	1500.0	2
91307	14400.0	19
91311	37155.0	52
91316	225006.0	261
91320	94070.0	103
91321	43350.0	48
91324	55025.0	63
91325	23001.0	47
91326	34851.0	63
91331	5850.0	7
91335	23100.0	27
91340	9650.0	11
91342	33425.0	26
91343	19751.0	26
91344	19776.0	39
91345	5000.0	11
91350	21800.0	24
91351	17550.0	24
91352	5700.0	5
91354	19583.0	26
91355	69700.0	90
91356	130525.0	187
91360	22995.0	35
91361	157692.0	160
91362	256212.0	286
91364	76392.0	99
91367	211479.0	185
91377	16378.0	36
91381	16600.0	31
91384	4200.0	11
913HH	0	0
913XX	0	0
91401	47614.0	69
91402	5075.0	8
91403	199729.0	210
91405	11850.0	30
91406	11850.0	20
91411	32485.0	39
91423	101458.0	181
91436	462604.0	462
91501	15200.0	24
91502	32599.0	38
91504	9150.0	17
91505	91625.0	109
91506	17700.0	32
91601	5250.0	8
91602	122900.0	125
91604	266117.0	278
91605	3550.0	4
91606	3875.0	8
91607	64150.0	75
91608	80835.0	60
91701	23475.0	28
91702	2250.0	6
91706	7000.0	10
91709	19851.0	40
91710	27015.0	36
91711	73450.0	113
91719	0	0
91722	1000.0	3
91723	4050.0	11
91724	30280.0	53
91730	57401.0	46
91731	8465.0	15
91732	1275.0	4
91733	6350.0	7
91737	197251.0	52
91739	41700.0	36
91740	16350.0	23
91741	62700.0	82
91743	0	0
91744	16550.0	22
91745	28025.0	48
91746	31800.0	24
91748	72775.0	80
91750	80748.0	82
91752	9200.0	15
91754	22000.0	36
91755	6653.0	12
91759	1250.0	1
91761	30300.0	29
91762	10410.0	13
91763	1500.0	3
91764	12243.0	10
91765	57451.0	69
91766	2300.0	10
91767	6600.0	10
91768	6000.0	8
91770	16950.0	18
91773	47574.0	57
91775	20700.0	23
91776	6050.0	11
91780	10900.0	13
91784	84295.0	84
91786	35950.0	42
91789	33490.0	42
91790	3800.0	9
91791	25750.0	36
91792	250.0	1
917HH	0	0
917XX	0	0
91801	55200.0	53
91803	11875.0	14
91901	219325.0	130
91902	64298.0	100
91905	400.0	2
91906	2050.0	5
91910	49183.0	94
91911	11160.0	26
91913	11300.0	25
91914	4600.0	11
91915	10950.0	30
91916	6600.0	29
91917	0	0
91931	0	0
91932	4800.0	8
91934	0	0
91935	23800.0	38
91941	55239.0	126
91942	20150.0	22
91945	15760.0	23
91948	0	0
91950	27785.0	37
91962	0	0
91963	0	0
91977	21350.0	24
91978	650.0	3
91980	250.0	1
919HH	0	0
919XX	0	0
92003	12600.0	15
92004	0	0
92007	68835.0	111
92008	95846.0	129
92009	139857.0	218
92014	938699.0	654
92019	114350.0	106
92020	39793.0	70
92021	49132.0	63
92024	299860.0	485
92025	40195.0	62
92026	37420.0	74
92027	17700.0	29
92028	45696.0	63
92029	64579.0	90
92036	0	0
92037	1316214.0	1673
92040	59732.0	62
92054	36080.0	66
92056	25425.0	39
92057	15876.0	37
92059	1500.0	4
92060	3000.0	1
92061	5310.0	8
92064	1173189.0	213
92065	16500.0	33
92066	0	0
92067	1960837.0	930
92069	33250.0	68
