zoneID	money	freq
06001	318657.0	358
06002	72700.0	152
06010	59216.0	84
06013	12800.0	25
06016	1750.0	2
06018	7650.0	8
06019	33470.0	68
06020	1000.0	3
06021	750.0	2
06022	3000.0	7
06023	250.0	1
06024	4200.0	5
06026	2200.0	6
06027	450.0	2
06029	17610.0	33
06031	27131.0	41
06032	220862.0	273
06033	183850.0	291
06035	8462.0	13
06037	31428.0	60
06039	64870.0	104
06040	75920.0	145
06043	27534.0	56
06051	1285.0	4
06052	29724.0	65
06053	7175.0	19
06057	29102.0	30
06058	30483.0	49
06059	0	0
06060	5500.0	11
06062	23220.0	35
06063	1250.0	2
06065	0	0
06066	45407.0	70
06067	26205.0	51
06068	103800.0	124
06069	71950.0	83
06070	175523.0	216
06071	11600.0	24
06073	67984.0	111
06074	57005.0	104
06076	3750.0	12
06078	28050.0	51
06081	950.0	4
06082	27141.0	61
06084	32336.0	54
06085	18525.0	25
06088	2750.0	4
06089	40500.0	59
06090	4200.0	13
06091	500.0	1
06092	71950.0	90
06093	4850.0	7
06095	16150.0	40
06096	7600.0	13
06098	600.0	3
060HH	0	0
06103	172678.0	178
06105	164732.0	230
06106	26920.0	48
06107	192380.0	291
06108	18033.0	27
06109	50090.0	98
06110	14537.0	17
06111	12350.0	28
06112	1500.0	3
06114	6850.0	17
06117	327212.0	365
06118	4000.0	13
06119	68400.0	130
06120	1000.0	3
061HH	0	0
06226	20925.0	36
06231	2800.0	8
06232	1750.0	6
06234	1700.0	4
06235	250.0	1
06237	4000.0	8
06238	6600.0	17
06239	2000.0	7
06241	2450.0	6
06242	1250.0	4
06247	19800.0	37
06248	5850.0	17
06249	5050.0	11
06250	11195.0	25
06254	5350.0	11
06255	700.0	2
06256	2250.0	3
06259	8100.0	19
06260	1650.0	5
06262	0	0
06264	0	0
06266	1000.0	1
06268	37310.0	84
06269	10.0	1
06277	2500.0	8
06278	660.0	4
06279	3210.0	13
06280	250.0	1
06281	5550.0	15
06282	0	0
062HH	0	0
06320	49466.0	100
06330	3500.0	9
06331	3050.0	8
06333	32500.0	59
06334	8750.0	12
06335	8800.0	26
06336	0	0
06339	67950.0	80
06340	61625.0	100
06351	2000.0	5
06354	0	0
06355	84551.0	155
06357	28667.0	59
06359	10175.0	16
06360	37475.0	86
06365	9500.0	15
06370	1750.0	8
06371	142655.0	252
06373	0	0
06374	0	0
06375	5125.0	14
06376	0	0
06377	0	0
06378	104821.0	177
06379	29975.0	62
06380	1000.0	1
06382	77534.0	67
06384	3250.0	8
06385	86520.0	94
063HH	0	0
06401	4285.0	7
06403	3500.0	6
06405	167696.0	227
06409	5250.0	11
06410	122749.0	178
06412	71069.0	62
06413	32956.0	76
06415	15150.0	34
06416	20630.0	31
06417	25150.0	46
06418	5250.0	12
06419	16525.0	32
06420	27300.0	87
06422	23200.0	29
06423	28650.0	42
06424	5600.0	16
06426	76575.0	155
06430	112950.0	150
06432	11200.0	18
06437	106464.0	221
06438	9500.0	11
06441	4150.0	14
06442	1100.0	5
06443	179965.0	262
06447	3500.0	11
06450	64863.0	123
06451	7660.0	13
06455	500.0	2
06457	28399.0	64
06460	51933.0	100
06468	101950.0	92
06469	750.0	3
06470	58102.0	86
06471	2400.0	7
06472	18700.0	24
06473	37833.0	61
06475	64875.0	112
06477	25850.0	48
06478	7100.0	6
06479	7300.0	10
06480	12849.0	25
06481	0	0
06482	10250.0	16
06483	5350.0	12
06484	38542.0	65
06488	38824.0	87
06489	41200.0	61
06490	31150.0	41
06492	46544.0	59
06498	38325.0	57
064HH	0	0
06504	0	0
06510	122456.0	189
06511	269543.0	381
06512	38260.0	44
06513	12880.0	19
06514	11800.0	19
06515	24010.0	59
06516	34237.0	63
06517	63800.0	109
06518	24000.0	48
06519	2850.0	4
06524	8100.0	19
06525	136480.0	185
065HH	0	0
06604	86380.0	97
06605	46174.0	65
06606	10200.0	21
06607	0	0
06608	250.0	1
06610	5750.0	9
06611	99090.0	153
06612	85260.0	129
06614	29110.0	41
06615	22000.0	32
066HH	0	0
06702	1750.0	6
06704	5750.0	6
06705	5700.0	10
06706	2720.0	7
06708	10400.0	23
06710	5750.0	12
06712	2000.0	4
06716	9000.0	17
06750	12060.0	25
06751	5050.0	11
06752	54950.0	56
06754	40500.0	48
06755	700.0	3
06756	10500.0	19
06757	49700.0	57
06759	86461.0	119
06762	52250.0	75
06763	5200.0	8
06770	7400.0	22
06776	17424.0	38
06777	19520.0	29
06778	0	0
06779	500.0	1
06782	0	0
06783	62080.0	125
06784	13500.0	33
06785	38790.0	27
06786	750.0	2
06787	950.0	3
06790	26500.0	42
06791	2950.0	9
06793	85195.0	108
06794	35450.0	57
06795	22300.0	35
06796	30385.0	59
06798	34100.0	83
067HH	0	0
06801	9750.0	20
06804	23050.0	36
06807	138823.0	153
06810	25370.0	52
06811	15390.0	32
06812	16350.0	30
06820	906858.0	958
06830	1844980.0	1659
06831	15891667.0	1640
06840	999197.0	1257
06850	42900.0	72
06851	81073.0	146
06853	97735.0	152
06854	32450.0	44
06855	50906.0	66
06870	230189.0	252
06877	204970.0	254
06878	338367.0	370
06880	1584272.0	1689
06883	275656.0	296
06896	72309.0	115
06897	298318.0	374
068HH	0	0
06901	74250.0	78
06902	413743.0	477
06903	490170.0	541
06905	166631.0	196
06906	28970.0	31
06907	7270.0	21
069HH	0	0
