zoneID	money	freq
19701	4000.0	7
19702	700.0	2
19703	750.0	3
19706	0	0
19707	70484.0	37
19709	500.0	1
19710	59195.0	67
19711	21800.0	27
19713	3050.0	4
19720	6500.0	9
19730	200.0	1
19731	0	0
19732	17450.0	34
19733	0	0
19734	2400.0	3
19736	0	0
197HH	0	0
19801	8450.0	14
19802	0	0
19803	46132.0	71
19804	200.0	1
19805	11250.0	17
19806	50550.0	72
19807	388250.0	458
19808	1800.0	6
19809	3900.0	5
19810	11492.0	18
198HH	0	0
19901	12900.0	24
19902	0	0
19904	6350.0	18
19930	12000.0	26
19931	0	0
19933	6100.0	4
19934	4610.0	7
19938	0	0
19939	900.0	3
19940	0	0
19941	0	0
19942	0	0
19943	500.0	2
19944	0	0
19945	0	0
19946	250.0	1
19947	7000.0	11
19950	0	0
19951	0	0
19952	250.0	1
19953	0	0
19954	0	0
19955	0	0
19956	2800.0	3
19958	34398.0	48
19960	250.0	1
19962	0	0
19963	6750.0	10
19964	0	0
19966	7350.0	10
19967	0	0
19968	16950.0	15
19970	7250.0	6
19971	51150.0	70
19973	5055.0	9
19975	0	0
19977	750.0	3
19979	0	0
19980	0	0
199HH	0	0
