zoneID	money	freq
96701	76160.0	119
96703	8370.0	7
96704	5750.0	11
96705	500.0	1
96706	13890.0	16
96707	50000.0	61
96708	6050.0	17
96710	0	0
96712	3700.0	9
96713	750.0	2
96714	2500.0	2
96716	5300.0	10
96717	7700.0	12
96718	0	0
96719	1300.0	2
96720	77694.0	140
96722	16400.0	18
96725	1250.0	2
96727	660.0	3
96728	0	0
96729	0	0
96730	6352.0	10
96731	1200.0	2
96732	27693.0	40
96734	588753.0	402
96737	0	0
96738	6332.0	5
96740	24900.0	41
96741	5250.0	14
96742	0	0
96743	20550.0	25
96744	143162.0	224
96746	14000.0	31
96747	4000.0	3
96748	1500.0	3
96749	5400.0	9
96750	3250.0	6
96751	0	0
96752	4500.0	5
96753	45715.0	55
96754	32950.0	29
96755	3615.0	6
96756	17378.0	28
96757	2000.0	1
96759	1000.0	1
96760	1100.0	2
96761	35500.0	41
96762	700.0	1
96763	0	0
96764	550.0	2
96766	31550.0	49
96768	16500.0	17
96769	3930.0	4
96770	0	0
96771	500.0	1
96772	0	0
96773	0	0
96774	0	0
96776	500.0	1
96777	0	0
96778	2250.0	3
96779	25850.0	27
96780	750.0	2
96781	4520.0	7
96782	27220.0	41
96783	2000.0	1
96785	2500.0	6
96786	7850.0	11
96789	159691.0	88
96790	19809.0	32
96791	22280.0	20
96792	31836.0	26
96793	86875.0	152
96795	14330.0	25
96796	800.0	3
96797	21100.0	27
967HH	0	0
967XX	0	0
96813	586564.0	622
96814	188903.0	187
96815	137920.0	163
96816	350445.0	457
96817	163905.0	222
96818	18700.0	28
96819	84980.0	117
96821	351615.0	432
96822	332663.0	430
96825	141577.0	201
96826	45000.0	73
96862	0	0
96863	0	0
968HH	0	0
