zoneID	money	freq
50001	250.0	1
50002	3550.0	10
50003	4250.0	11
50005	0	0
50006	0	0
50007	0	0
50008	0	0
50009	5650.0	11
50010	30050.0	43
50014	11644.0	32
50020	0	0
50021	119916.0	152
50022	5950.0	8
50025	200.0	1
50026	0	0
50027	0	0
50028	0	0
50029	0	0
50032	0	0
50033	0	0
50034	1500.0	3
50035	7200.0	17
50036	11200.0	20
50038	1250.0	4
50039	0	0
50040	0	0
50041	0	0
50042	0	0
50044	0	0
50046	2150.0	3
50047	250.0	1
50048	0	0
50049	500.0	3
50050	0	0
50051	250.0	1
50052	0	0
50054	300.0	1
50055	0	0
50056	0	0
50057	0	0
50058	0	0
50059	0	0
50060	250.0	1
50061	10050.0	10
50062	0	0
50063	3250.0	11
50064	0	0
50065	0	0
50066	0	0
50067	0	0
50068	0	0
50069	0	0
50070	0	0
50071	250.0	1
50072	0	0
50073	0	0
50074	1000.0	1
50075	250.0	1
50076	0	0
50078	0	0
500HH	0	0
50101	0	0
50102	0	0
50103	0	0
50104	0	0
50105	0	0
50106	0	0
50107	1000.0	2
50108	0	0
50109	3350.0	3
50110	0	0
50111	7300.0	16
50112	13050.0	18
50115	1000.0	2
50116	0	0
50117	0	0
50118	0	0
50119	0	0
50120	0	0
50122	0	0
50123	0	0
50124	250.0	1
50125	64950.0	37
50126	20500.0	19
50128	0	0
50129	2210.0	8
50130	0	0
50131	44750.0	63
50132	0	0
50133	0	0
50134	0	0
50135	0	0
50136	300.0	1
50137	0	0
50138	0	0
50139	0	0
50140	0	0
50141	0	0
50142	0	0
50143	0	0
50144	400.0	1
50145	0	0
50146	0	0
50147	0	0
50148	0	0
50149	0	0
50150	0	0
50151	0	0
50152	0	0
50153	1000.0	1
50154	0	0
50155	0	0
50156	0	0
50157	0	0
50158	8850.0	29
50160	0	0
50161	17050.0	10
50162	0	0
50164	0	0
50165	0	0
50166	0	0
50167	0	0
50168	0	0
50169	3500.0	5
50170	0	0
50171	8300.0	5
50173	0	0
50174	1650.0	3
501HH	0	0
50201	1000.0	4
50206	0	0
50207	0	0
50208	6908.0	20
50210	0	0
50211	4900.0	8
50212	0	0
50213	889.0	4
50214	0	0
50216	2050.0	7
50217	0	0
50218	0	0
50219	11400.0	17
50220	2220.0	7
50222	250.0	1
50223	0	0
50225	0	0
50226	7400.0	12
50227	0	0
50228	0	0
50229	0	0
50230	0	0
50231	0	0
50232	1750.0	3
50233	0	0
50234	0	0
50235	0	0
50236	0	0
50237	3000.0	4
50238	0	0
50239	0	0
50240	0	0
50241	0	0
50242	0	0
50243	0	0
50244	250.0	1
50246	0	0
50247	0	0
50248	1250.0	5
50249	0	0
50250	0	0
50251	0	0
50252	0	0
50254	0	0
50256	0	0
50257	0	0
50258	0	0
50261	0	0
50262	0	0
50263	51150.0	78
50264	0	0
50265	93315.0	151
50266	161800.0	216
50268	500.0	2
50269	0	0
50271	1750.0	5
50272	0	0
50273	0	0
50274	0	0
50275	0	0
50276	500.0	1
50277	0	0
50278	0	0
502HH	0	0
50309	36425.0	54
50310	15400.0	24
50311	5750.0	10
50312	123525.0	198
50313	16050.0	21
50314	100.0	1
50315	3700.0	12
50316	3000.0	3
50317	10725.0	20
50320	1000.0	1
50321	33600.0	50
50322	66700.0	96
50323	20067.0	31
