zoneID	money	freq
20601	2880.0	7
20602	5200.0	3
20603	750.0	2
20606	1000.0	2
20607	2050.0	6
20608	0	0
20609	0	0
20611	0	0
20612	0	0
20613	1500.0	3
20615	5900.0	11
20616	2950.0	7
20617	8950.0	10
20618	0	0
20619	5550.0	12
20620	0	0
20621	0	0
20622	3000.0	3
20623	400.0	1
20624	0	0
20625	0	0
20626	500.0	1
20628	3900.0	4
20629	500.0	1
20630	0	0
20632	0	0
20634	10950.0	10
20636	7250.0	5
20637	5250.0	10
20639	3650.0	6
20640	1750.0	4
20645	1500.0	2
20646	32366.0	57
20650	40200.0	49
20653	29050.0	31
20657	7050.0	12
20658	0	0
20659	12500.0	12
20662	0	0
20664	2500.0	3
20667	0	0
20670	4000.0	4
20674	1200.0	3
20675	3650.0	5
20676	1000.0	1
20677	4750.0	4
20678	1350.0	5
20680	250.0	1
20684	250.0	1
20685	7901.0	11
20687	0	0
20688	4250.0	6
20689	250.0	1
20690	250.0	1
20692	500.0	1
20693	0	0
20695	2000.0	2
206HH	0	0
20701	0	0
20705	32940.0	46
20706	67280.0	55
20707	15750.0	24
20708	10650.0	21
20710	3250.0	7
20711	9362.0	11
20712	6840.0	18
20714	0	0
20715	40601.0	56
20716	22500.0	29
20720	28082.0	43
20721	139550.0	176
20722	1300.0	4
20723	7300.0	17
20724	2750.0	7
20732	12000.0	7
20733	500.0	1
20735	20300.0	43
20736	3312.0	9
20737	10250.0	8
20740	35821.0	67
20743	5275.0	10
20744	84006.0	117
20745	13600.0	28
20746	5625.0	10
20747	1950.0	7
20748	5300.0	9
20751	1250.0	5
20754	7786.0	16
20755	0	0
20758	6750.0	7
20759	14641.0	12
20762	0	0
20763	0	0
20764	6750.0	8
20765	2200.0	5
20769	19800.0	22
20770	28075.0	52
20772	71175.0	107
20774	22250.0	34
20776	6600.0	6
20777	13000.0	21
20778	1500.0	3
20779	250.0	1
20781	5250.0	10
20782	37000.0	68
20783	4000.0	6
20784	1250.0	3
20785	50240.0	58
20794	51055.0	101
207HH	0	0
20812	1250.0	4
20814	636767.0	907
20815	1660256.0	2254
20816	776722.0	1205
20817	1279194.0	1698
20818	47350.0	79
20832	27200.0	52
20833	11400.0	10
20837	8500.0	13
20838	4250.0	7
20839	0	0
20841	5150.0	6
20842	24350.0	21
20850	201813.0	256
20851	6030.0	17
20852	221797.0	345
20853	41770.0	84
20854	6819661.0	1833
20855	32950.0	45
20860	9100.0	13
20861	5200.0	3
20862	200.0	1
20866	12300.0	21
20868	2000.0	2
20871	5861.0	7
20872	2600.0	4
20874	55000.0	76
20876	44000.0	35
20877	19200.0	34
20878	181985.0	241
20879	23300.0	23
20880	1200.0	3
20882	61500.0	59
20886	28600.0	54
20895	222715.0	309
20896	43900.0	73
208HH	0	0
20901	76050.0	119
20902	65157.0	135
20903	31700.0	35
20904	144071.0	203
20905	46202.0	60
20906	44300.0	78
20910	172198.0	341
20912	86580.0	204
209HH	0	0
21001	1150.0	3
21005	0	0
21009	2000.0	4
21010	0	0
21012	54593.0	86
21013	5000.0	9
21014	22156.0	34
21015	36950.0	39
21017	250.0	1
21028	2750.0	7
21029	41600.0	66
21030	176450.0	213
21031	1000.0	1
21032	27095.0	38
21034	1000.0	2
21035	82550.0	74
21036	16300.0	12
21037	55850.0	81
21040	250.0	1
21042	95311.0	173
21043	36565.0	52
21044	121428.0	228
21045	39200.0	84
21046	45950.0	64
21047	20300.0	31
21048	5310.0	11
21050	8000.0	18
21051	3500.0	4
21052	0	0
21053	3250.0	5
21054	6900.0	12
21056	5550.0	9
21057	19515.0	35
21060	3500.0	6
21061	9650.0	25
21071	22150.0	25
21074	750.0	2
21075	12100.0	35
21076	5845.0	6
21077	0	0
21078	250.0	1
21082	3300.0	11
21084	6675.0	12
21085	4900.0	5
21087	8250.0	14
21090	14700.0	14
21093	388217.0	505
210HH	0	0
21102	8200.0	11
21104	2850.0	8
21105	1000.0	2
21108	33999.0	46
21111	59250.0	64
21113	9700.0	20
21114	28595.0	41
21117	499288.0	593
21120	9400.0	15
21122	37700.0	43
21128	2250.0	4
21130	500.0	1
21131	65450.0	82
21132	0	0
21133	12918.0	33
21136	114026.0	122
21140	19150.0	24
21144	6450.0	6
21146	59700.0	90
21152	32890.0	46
21154	10850.0	8
21155	12650.0	14
21156	250.0	1
21157	19180.0	33
21158	10150.0	11
21160	0	0
21161	6950.0	10
21162	250.0	1
21163	4650.0	10
211HH	0	0
21201	187457.0	243
21202	243619.0	259
21204	284734.0	377
21205	2900.0	6
21206	13350.0	15
21207	30050.0	37
21208	708872.0	990
21209	263304.0	419
21210	549211.0	815
21211	18600.0	30
21212	303773.0	434
21213	4800.0	13
21214	10875.0	26
21215	49950.0	90
21216	6650.0	22
