zoneID	money	freq
07001	0	0
07002	9900.0	11
07003	36050.0	47
07004	8400.0	14
07005	34850.0	41
07006	70586.0	104
07008	5250.0	9
07009	13700.0	18
07010	10350.0	14
07011	5750.0	5
07012	13400.0	16
07013	11150.0	17
07014	500.0	1
07016	53850.0	70
07017	200.0	1
07018	500.0	1
07020	4850.0	5
07021	47700.0	43
07022	0	0
07023	750.0	2
07024	76300.0	87
07026	1951.0	5
07027	500.0	2
07028	14400.0	25
07029	1000.0	1
07030	126300.0	100
07031	3800.0	9
07032	6000.0	6
07033	27300.0	16
07034	250.0	1
07035	500.0	1
07036	3250.0	7
07039	205100.0	200
07040	42094.0	44
07041	16950.0	15
07042	23500.0	30
07043	59700.0	58
07044	20350.0	24
07045	46100.0	38
07046	50275.0	68
07047	5600.0	6
07050	350.0	1
07052	57391.0	67
07054	14000.0	26
07055	14674.0	19
07057	2550.0	5
07058	11550.0	18
07059	91328.0	101
07060	18450.0	27
07062	2200.0	7
07063	5100.0	3
07064	0	0
07065	5900.0	9
07066	3300.0	7
07067	17750.0	17
07068	33750.0	44
07070	16775.0	19
07071	4400.0	13
07072	2350.0	5
07073	4890.0	9
07074	0	0
07075	800.0	2
07076	66000.0	74
07077	0	0
07078	228751.0	240
07079	26431.0	33
07080	2995.0	5
07081	29200.0	33
07082	950.0	4
07083	12300.0	22
07087	2050.0	4
07088	0	0
07090	207825.0	259
07092	15250.0	15
07093	9400.0	12
07094	8500.0	18
07095	4400.0	8
070HH	0	0
07102	24950.0	24
07103	3100.0	2
07104	0	0
07105	4100.0	5
07106	0	0
07107	0	0
07108	0	0
07109	2250.0	3
07110	15400.0	19
07111	2000.0	4
07112	0	0
07114	0	0
071HH	0	0
07201	4250.0	9
07202	500.0	1
07203	0	0
07204	750.0	3
07205	7450.0	10
07206	3500.0	4
07208	2300.0	7
072HH	0	0
07302	18250.0	24
07304	1000.0	1
07305	7700.0	10
07306	16600.0	16
07307	1750.0	4
07310	12600.0	14
073HH	0	0
07401	66375.0	80
07403	550.0	2
07405	20100.0	20
07407	3300.0	7
07410	4550.0	10
07416	3353.0	9
07417	109299.0	133
07418	2100.0	1
07419	4600.0	10
07420	0	0
07421	0	0
07422	0	0
07423	35400.0	46
07424	6800.0	10
07428	250.0	1
07430	44800.0	59
07432	1900.0	3
07435	6950.0	9
07436	15850.0	18
07438	6850.0	12
07439	0	0
07440	0	0
07442	1250.0	4
07444	35100.0	27
07446	36780.0	45
07450	104550.0	127
07452	31600.0	37
07456	1250.0	2
07457	0	0
07458	104100.0	116
07460	5605.0	6
07461	3850.0	8
07462	3100.0	5
07463	1450.0	4
07465	500.0	1
07470	60950.0	71
07480	15998.0	19
07481	56028.0	78
074HH	0	0
07501	0	0
07502	0	0
07503	0	0
07504	0	0
07505	250.0	1
07506	10110.0	15
07508	700.0	2
07512	4900.0	4
07513	0	0
07514	344.0	1
07522	0	0
07524	5200.0	5
075HH	0	0
07601	77200.0	78
07603	3250.0	5
07604	6000.0	13
07605	1250.0	4
07606	5680.0	8
07607	750.0	3
07608	2000.0	1
07620	12650.0	19
07621	500.0	2
07624	29046.0	29
07626	19100.0	30
07627	14477.0	8
07628	9600.0	8
07630	29500.0	28
07631	193710.0	310
07632	23470.0	23
07640	3750.0	11
07641	12800.0	16
07642	5500.0	10
07643	1850.0	9
07644	10400.0	15
07645	14400.0	27
07646	2750.0	5
07647	2500.0	4
07648	9050.0	7
07649	6450.0	11
07650	2750.0	4
07652	19518.0	34
07656	15050.0	14
07657	3050.0	6
07660	1750.0	3
07661	3050.0	8
07662	1050.0	3
07663	6800.0	10
07666	74633.0	106
07670	50632.0	67
07675	42825.0	60
076HH	0	0
07701	72750.0	65
07702	6300.0	9
07703	0	0
07704	15150.0	18
07711	1500.0	2
07712	10700.0	16
07716	9500.0	17
07717	12600.0	20
07718	1500.0	3
07719	26454.0	31
07720	0	0
07721	0	0
07722	63380.0	76
07723	8650.0	5
07724	13100.0	12
07726	30350.0	33
07727	13050.0	13
07728	45150.0	48
07730	1500.0	2
07731	7050.0	11
07732	3500.0	5
07733	58879.0	69
07734	650.0	3
07735	2072.0	3
07737	1000.0	1
07738	4900.0	7
07739	12100.0	19
07740	8850.0	18
07746	18100.0	16
07747	12800.0	18
07748	26325.0	30
07750	3050.0	4
07751	18500.0	18
07753	4950.0	12
07755	900.0	2
07756	3100.0	3
07757	9850.0	11
07758	1000.0	1
07760	140600.0	160
07762	32000.0	46
07764	7450.0	6
077HH	0	0
07801	6400.0	6
07803	250.0	1
07821	9650.0	14
07822	0	0
07823	1500.0	3
07825	9300.0	14
07826	12700.0	18
07827	5250.0	7
07828	0	0
07830	39600.0	59
07832	12600.0	12
07833	200.0	1
07834	23400.0	43
07836	4425.0	11
07838	1250.0	2
07840	63925.0	63
07842	0	0
07843	0.0	2
07846	0	0
07847	0	0
07848	10150.0	14
07849	500.0	2
07850	0	0
07851	0	0
07852	0	0
07853	13550.0	24
07856	2450.0	5
07857	0	0
07860	98348.0	128
07863	0	0
07865	4650.0	9
07866	11850.0	21
07869	26950.0	42
07871	60900.0	94
07874	1000.0	1
07876	7700.0	7
07878	0	0
07882	6100.0	13
07885	1000.0	1
078HH	0	0
07901	408050.0	436
07920	96501.0	134
07921	30550.0	39
07922	59050.0	53
07924	268927.0	250
07927	5700.0	5
07928	141400.0	203
07930	30750.0	44
07931	193220.0	189
07932	55402.0	81
07933	5200.0	10
07934	61150.0	51
07935	23500.0	21
07936	12850.0	27
07940	81495.0	119
07945	109550.0	135
07946	12900.0	16
07950	20132.0	32
07960	347671.0	384
07970	0	0
07974	56850.0	54
07976	116150.0	132
07977	8450.0	14
07979	3000.0	6
07980	2250.0	2
07981	4900.0	10
08001	400.0	1
08002	21666.0	24
08003	55540.0	71
08004	0	0
08005	3850.0	6
08006	16030.0	22
08007	0	0
08008	22950.0	38
08009	0	0
08010	1550.0	3
08011	0	0
08012	7725.0	9
08014	0	0
08015	1770.0	4
08016	4800.0	9
08019	3600.0	6
08020	0	0
08021	1750.0	4
08022	10700.0	18
08023	0	0
08026	1000.0	3
08027	0	0
08028	2200.0	3
08029	2000.0	1
08030	2350.0	2
08031	0	0
08032	0	0
08033	76030.0	99
08034	18250.0	26
08035	8650.0	11
08036	12190.0	17
08037	32150.0	45
08038	0	0
08039	0	0
08041	300.0	1
08042	0	0
08043	41450.0	55
08045	0	0
08046	850.0	3
08048	4400.0	9
08049	4700.0	5
08050	5020.0	6
08051	2200.0	3
08052	6400.0	6
08053	62940.0	75
08054	57486.0	79
08055	75215.0	127
08056	0	0
08057	104920.0	135
08059	0	0
08060	32190.0	56
08061	0	0
08062	20316.0	30
08063	0	0
08064	2100.0	1
08065	500.0	1
08066	7100.0	17
08067	0	0
08068	7050.0	11
08069	1700.0	3
08070	1350.0	2
08071	1200.0	3
08072	0	0
08073	1200.0	2
08074	0	0
08075	3550.0	6
08077	26850.0	37
08078	1000.0	1
08079	5300.0	7
08080	27050.0	37
08081	1000.0	3
08083	250.0	1
08084	1200.0	2
08085	2250.0	3
08086	3200.0	5
08087	8100.0	14
08088	35420.0	52
08089	0	0
08090	0	0
08091	930.0	2
08092	1500.0	4
08093	1750.0	3
08094	2150.0	5
08095	0	0
08096	20250.0	28
08097	2600.0	2
08098	11995.0	22
080HH	0	0
080XX	0	0
08102	0	0
08103	725.0	2
08104	1250.0	2
08105	1000.0	1
08106	900.0	3
08107	2700.0	4
08108	7050.0	10
08109	2300.0	3
08110	6250.0	6
081HH	0	0
08201	16500.0	22
08202	8950.0	13
08203	9550.0	16
08204	73700.0	78
08210	13100.0	20
08212	0	0
08215	2250.0	5
08217	0	0
08221	43850.0	52
08223	8950.0	12
08224	4600.0	5
08225	12000.0	15
08226	51750.0	64
08230	59582.0	164
08232	9500.0	7
08234	32100.0	31
08241	1200.0	5
08242	450.0	1
08243	6250.0	9
08244	4000.0	8
08245	750.0	2
08247	4275.0	10
08248	0	0
08251	500.0	1
08252	0	0
08260	20100.0	21
08270	250.0	1
082HH	0	0
08302	11300.0	28
08310	7700.0	10
08311	0	0
08312	3500.0	2
08313	0	0
08314	0	0
08316	0	0
08317	0	0
08318	16150.0	22
08319	2750.0	3
08321	0	0
08322	250.0	1
08323	500.0	1
08324	0	0
08326	0	0
08327	0	0
08328	3000.0	2
08329	1200.0	3
08330	13750.0	14
08332	7150.0	10
08340	0	0
08341	0	0
08343	0	0
08344	0	0
08345	0	0
08346	0	0
08348	0	0
08349	700.0	2
08350	0	0
08352	2100.0	7
08353	0	0
08360	24200.0	31
08361	14000.0	22
083HH	0	0
083XX	0	0
08401	20300.0	18
08402	38650.0	39
08403	8100.0	8
08406	22751.0	26
084HH	0	0
08501	3000.0	4
08502	5250.0	8
08505	4550.0	11
08510	3100.0	4
08511	1500.0	3
08512	15700.0	23
08514	2150.0	5
08515	0	0
08518	620.0	2
08520	4450.0	8
08525	43100.0	43
08527	17550.0	22
08528	0	0
08530	107650.0	74
08533	0	0
08534	14700.0	25
08535	18300.0	10
08536	16520.0	12
08540	325817.0	315
08542	51050.0	36
08550	33500.0	41
08551	5100.0	10
08553	0	0
08554	0	0
08555	0	0
08558	53950.0	56
08559	6800.0	10
08560	3500.0	9
08561	0	0
08562	5250.0	5
085HH	0	0
08608	5100.0	9
08609	0	0
08610	3000.0	2
08611	4850.0	4
08618	1100.0	4
08619	2150.0	4
08620	450.0	2
08625	0	0
08628	1950.0	7
08629	500.0	1
08638	500.0	1
08640	0	0
08641	0	0
08648	30940.0	31
08690	6750.0	13
08691	8350.0	14
086HH	0	0
08701	84650.0	58
08720	3800.0	6
08721	5600.0	6
08722	0	0
08723	8750.0	10
08724	18000.0	26
08730	39600.0	45
08731	4300.0	7
08732	0	0
08733	0	0
08734	320.0	1
08735	0	0
08736	36987.0	45
08738	10950.0	13
08740	0	0
08741	850.0	3
08742	64775.0	64
08750	13475.0	18
08751	3800.0	5
08752	0	0
08753	35220.0	44
08755	17770.0	23
08757	10700.0	14
08758	1250.0	2
08759	1330.0	3
087HH	0	0
087XX	0	0
08801	18250.0	18
08802	1400.0	2
08804	450.0	2
08805	4500.0	5
08807	74882.0	92
08809	1900.0	8
08810	1200.0	5
08812	43850.0	28
08816	17350.0	23
08817	12150.0	17
08820	47750.0	47
08821	0	0
08822	41500.0	68
08823	1200.0	2
08824	0	0
08825	0	0
08826	2250.0	2
08827	6550.0	7
08828	3000.0	3
08829	500.0	1
08830	4100.0	3
08831	10800.0	17
08832	0	0
08833	31250.0	39
08835	250.0	1
08836	25664.0	67
08837	3000.0	3
08840	13700.0	21
08846	450.0	2
08848	8150.0	11
08850	1050.0	3
08852	3000.0	4
08853	20500.0	25
08854	15050.0	14
08857	1500.0	4
08858	32801.0	66
08859	500.0	1
08861	1650.0	5
08863	2800.0	3
08865	6850.0	12
08867	2000.0	3
08869	500.0	2
08872	500.0	1
08873	13850.0	35
08876	26150.0	32
08879	2900.0	4
08880	0	0
08882	1160.0	2
08884	250.0	1
08886	3000.0	7
08887	6300.0	5
08889	23350.0	31
088HH	0	0
08901	1550.0	3
08902	17500.0	16
08904	5500.0	6
089HH	0	0
