zoneID	money	freq
97001	3000.0	2
97002	250.0	1
97004	250.0	1
97005	7000.0	9
97006	16300.0	18
97007	19850.0	21
97008	9700.0	9
97009	0	0
97011	0	0
97013	21750.0	18
97014	500.0	1
97015	7300.0	11
97016	3300.0	5
97017	0	0
97018	500.0	1
97019	4300.0	6
97020	0	0
97021	1750.0	3
97022	0	0
97023	1300.0	4
97024	0	0
97026	0	0
97027	0	0
97028	4000.0	2
97029	0	0
97030	700.0	2
97031	12450.0	25
97032	4906.0	12
97033	0	0
97034	312700.0	138
97035	90750.0	109
97037	700.0	3
97038	0	0
97039	500.0	1
97040	600.0	2
97041	11025.0	10
97042	0	0
97045	10750.0	10
97048	3250.0	6
97049	0	0
97050	0	0
97051	0	0
97053	0	0
97054	500.0	1
97055	3350.0	9
97056	1750.0	4
97058	4050.0	13
97060	2200.0	4
97062	18350.0	26
97063	0	0
97064	0	0
97065	500.0	1
97067	0	0
97068	33250.0	39
97070	7350.0	14
97071	700.0	2
97080	4250.0	8
970HH	0	0
970XX	0	0
97101	1000.0	1
97102	0	0
97103	6600.0	11
97106	1000.0	1
97107	600.0	3
97108	0	0
97109	500.0	2
97110	850.0	3
97111	500.0	1
97112	0	0
97113	1250.0	2
97114	6150.0	5
97115	9600.0	7
97116	7200.0	10
97117	0	0
97118	0	0
97119	0	0
97121	0	0
97122	0	0
97123	18150.0	16
97124	9300.0	10
97125	0	0
97127	0	0
97128	12850.0	20
97130	0	0
97131	250.0	1
97132	33800.0	32
97133	2100.0	4
97134	0	0
97135	0	0
97136	0	0
97137	0	0
97138	3050.0	6
97140	5650.0	10
97141	0	0
97143	0	0
97144	0	0
97145	0	0
97146	1000.0	4
97147	0	0
97148	250.0	1
97149	0	0
971HH	0	0
971XX	0	0
97201	141025.0	154
97202	11200.0	21
97203	250.0	1
97204	79700.0	75
97205	27703.0	35
97206	700.0	2
97209	20480.0	25
97210	31020.0	33
97211	2600.0	2
97212	13650.0	22
97213	5800.0	8
97214	10600.0	16
97215	10850.0	12
97216	2350.0	3
97217	12600.0	16
97218	500.0	1
97219	70300.0	80
97220	4550.0	7
97221	57889.0	69
97222	7150.0	16
97223	16826.0	23
97224	30750.0	35
97225	63402.0	72
97227	200.0	1
97229	57225.0	68
97230	5350.0	8
97231	1000.0	1
97232	3950.0	11
97233	200.0	1
97236	9750.0	7
97266	8600.0	10
97267	10060.0	14
972HH	0	0
97301	9150.0	12
97302	25850.0	46
97303	10116.0	14
97304	6250.0	13
97305	1000.0	1
97306	3400.0	7
97321	5750.0	8
97324	0	0
97325	0	0
97326	0	0
97327	250.0	1
97329	0	0
97330	9700.0	17
97331	0	0
97333	35850.0	70
97338	2965.0	5
97341	0	0
97342	0	0
97343	0	0
97344	0	0
97345	0	0
97346	0	0
97347	7700.0	5
97348	0	0
97350	0	0
97351	300.0	1
97352	0	0
97355	4450.0	3
97357	0	0
97358	13650.0	11
97360	2250.0	2
97361	0	0
97362	0	0
97364	0	0
97365	5934.0	12
97366	8650.0	5
97367	1450.0	3
97368	200.0	1
97370	1650.0	6
97371	0	0
97374	0	0
97375	0	0
97376	0	0
97377	500.0	1
97378	200.0	1
97380	4000.0	4
97381	2750.0	3
97383	3450.0	10
97385	0	0
97386	250.0	1
97389	250.0	1
97390	0	0
97391	500.0	2
97392	8144.0	8
97394	1000.0	1
97396	0	0
973HH	0	0
973XX	0	0
97401	50163.0	146
97402	19100.0	27
97403	2850.0	7
97404	2600.0	3
97405	31688.0	45
97406	0	0
97408	8350.0	11
97410	0	0
97411	250.0	1
97412	0	0
97413	0	0
97414	0	0
97415	1925.0	5
97416	0	0
97417	0	0
97419	0	0
97420	16450.0	19
97423	0	0
97424	10900.0	8
97425	0	0
97426	3750.0	3
97427	0	0
97428	0	0
97429	0	0
97430	0	0
97431	810.0	1
97434	0	0
97435	8716.0	13
