zoneID	money	freq
02804	3000.0	4
02806	251726.0	384
02807	7600.0	12
02808	1000.0	2
02809	89200.0	123
02812	0	0
02813	16750.0	28
02814	6700.0	7
02815	0	0
02816	25400.0	50
02817	15850.0	16
02818	391469.0	516
02822	23310.0	39
02825	1350.0	5
02827	5750.0	13
02828	29350.0	56
02830	2950.0	6
02831	15550.0	21
02832	4920.0	8
02833	300.0	1
02835	83540.0	147
02836	0	0
02837	43955.0	72
02838	2000.0	3
02839	0	0
02840	226186.0	360
02842	88500.0	105
02852	110091.0	194
02857	23275.0	31
02858	0	0
02859	250.0	1
02860	26830.0	61
02861	9800.0	24
02863	1750.0	6
02864	27975.0	72
02865	46600.0	85
02871	62650.0	101
02874	59300.0	90
02875	0	0
02878	32650.0	58
02879	104195.0	165
02881	8650.0	17
02882	73575.0	158
02885	12910.0	23
02886	157745.0	256
02888	56445.0	97
02889	41250.0	80
02891	99820.0	180
02892	10250.0	14
02893	21800.0	37
02894	0	0
02895	14300.0	21
02896	8850.0	11
02898	1200.0	3
028HH	0	0
02903	314150.0	440
02904	53130.0	84
02905	59993.0	294
02906	847976.0	1086
02907	27845.0	36
02908	35050.0	65
02909	14795.0	33
02910	80753.0	74
02911	12050.0	24
02914	6850.0	18
02915	8875.0	20
02916	21945.0	57
02917	13110.0	32
02919	41445.0	54
02920	130320.0	184
02921	120253.0	162
029HH	0	0
