zoneID	money	freq
37010	3400.0	4
37012	600.0	1
37013	10150.0	20
37014	1000.0	1
37015	24800.0	30
37016	0	0
37018	0	0
37019	0	0
37020	0	0
37022	0	0
37023	0	0
37025	300.0	1
37026	0	0
37027	151450.0	231
37028	0	0
37029	2200.0	5
37030	4550.0	8
37031	4500.0	5
37032	0	0
37033	1550.0	5
37034	250.0	1
37035	1000.0	1
37036	1000.0	2
37037	1000.0	1
37040	10600.0	19
37042	2050.0	6
37043	42900.0	55
37046	500.0	1
37047	3000.0	2
37048	0	0
37049	0	0
37050	0	0
37051	750.0	2
37052	500.0	1
37055	4350.0	7
37057	200.0	1
37058	2550.0	7
37059	0	0
37060	500.0	1
37061	0	0
37062	250.0	1
37064	31130.0	41
37066	46450.0	53
37067	15700.0	21
37069	48600.0	76
37072	3900.0	9
37073	2250.0	7
37074	8850.0	14
37075	28950.0	37
37076	12350.0	32
37078	0	0
37079	0	0
37080	500.0	1
37082	19650.0	22
37083	750.0	2
37085	300.0	1
37086	1250.0	2
37087	46300.0	60
37090	1000.0	1
37091	2250.0	6
37095	0	0
37096	300.0	1
37097	0	0
37098	0	0
370HH	0	0
370XX	0	0
37101	0	0
37110	5600.0	13
37115	6150.0	14
37118	500.0	1
37122	10550.0	20
37127	2250.0	4
37128	4150.0	12
37129	33550.0	68
37130	22501.0	50
37134	0	0
37135	2700.0	4
37137	0	0
37138	11950.0	20
37140	0	0
37141	0	0
37142	250.0	1
37143	1700.0	5
37144	300.0	1
37145	2500.0	3
37146	5450.0	4
37147	0	0
37148	19500.0	21
37149	1000.0	3
37150	500.0	1
37151	1000.0	1
37152	1000.0	1
37153	700.0	2
37160	9700.0	11
37166	8300.0	12
37167	4300.0	9
37171	0	0
37172	6500.0	9
37174	300.0	1
37175	0	0
37178	0	0
37179	0	0
37180	0	0
37181	0	0
37183	0	0
37184	0	0
37185	2700.0	5
37186	400.0	2
37187	700.0	2
37188	500.0	2
37189	3800.0	6
37190	0	0
37191	0	0
371HH	0	0
371XX	0	0
37201	48347.0	65
37203	83000.0	117
37204	51564.0	73
37205	471050.0	540
37206	14250.0	31
37207	4322.0	11
37208	26450.0	22
37209	15425.0	35
37210	6400.0	15
37211	17725.0	36
37212	87179.0	148
37213	0	0
37214	12850.0	27
37215	334951.0	488
37216	2500.0	8
37217	7100.0	14
37218	12325.0	19
37219	46850.0	61
37220	53050.0	67
37221	48200.0	80
37228	18475.0	22
372HH	0	0
37301	0	0
37302	0	0
37303	2000.0	2
37305	0	0
37306	0	0
37307	300.0	1
37308	0	0
37309	0	0
37310	4700.0	3
37311	16000.0	16
37312	16500.0	17
37313	0	0
37316	0	0
37317	0	0
37318	0	0
37321	4450.0	4
37322	1750.0	3
37323	300.0	1
37324	0	0
37325	0	0
37326	0	0
37327	6300.0	14
37328	0	0
37329	0	0
37330	2550.0	4
37331	0	0
37332	0	0
37333	0	0
37334	3700.0	9
37335	0	0
37336	0	0
37337	0	0
37338	0	0
37339	0	0
37340	0	0
37341	1500.0	2
37342	0	0
37343	13695.0	26
37345	0	0
37347	2300.0	5
37348	0	0
37350	42125.0	56
37351	0	0
37352	0	0
37353	0	0
37354	3000.0	6
37355	9500.0	21
37356	1250.0	3
37357	750.0	3
37359	0	0
37360	0	0
37361	0	0
37362	0	0
37363	19160.0	32
37365	0	0
37366	0	0
37367	3550.0	7
37369	0	0
37370	1000.0	1
37373	0	0
37374	200.0	1
37375	5700.0	9
37376	0	0
37377	73950.0	102
37379	1250.0	3
37380	4500.0	8
37381	1500.0	5
37385	0	0
37387	0	0
37388	9519.0	19
37391	0	0
37394	0	0
37396	0	0
37397	300.0	1
37398	2000.0	3
373HH	0	0
373XX	0	0
37402	32850.0	29
37403	8800.0	13
37404	31800.0	34
37405	65050.0	58
37406	19585.0	22
37407	0	0
37408	2500.0	3
37409	3250.0	5
37410	0	0
37411	4750.0	12
37412	3400.0	11
37415	19365.0	36
37416	10100.0	13
37419	20800.0	18
37421	30010.0	42
374HH	0	0
37601	13930.0	15
37604	21150.0	32
37614	0	0
37615	8850.0	9
37616	200.0	1
37617	1750.0	3
37618	0	0
37620	5950.0	13
37640	450.0	2
37641	0	0
37642	500.0	1
37643	3050.0	6
37645	0	0
37650	2000.0	4
37656	0	0
37657	0	0
37658	0	0
37659	2550.0	5
37660	3750.0	7
37663	3450.0	7
37664	5550.0	10
37665	0	0
37680	0	0
37681	0	0
37683	3500.0	4
37684	0	0
37686	3850.0	7
37687	0	0
37688	0	0
37690	0	0
37691	0	0
37692	0	0
37694	0	0
376HH	0	0
37701	2800.0	6
37705	1000.0	2
37708	0	0
37709	0	0
37710	0	0
37711	0	0
37713	0	0
37714	800.0	2
37715	1000.0	1
37716	8210.0	18
37719	0	0
37721	0	0
37722	4200.0	2
