zoneID	money	freq
84001	0	0
84002	0	0
84003	30098.0	40
84004	80150.0	67
84006	0	0
84007	0	0
84010	87196.0	102
84013	0	0
84014	14400.0	15
84015	8500.0	17
84017	2100.0	1
84018	0	0
84020	632275.0	142
84021	0	0
84022	2100.0	1
84023	0	0
84024	0	0
84025	26425.0	31
84026	4700.0	3
84027	0	0
84028	0	0
84029	0	0
84031	0	0
84032	6150.0	7
84033	0	0
84034	0	0
84035	0	0
84036	500.0	1
84037	30220.0	40
84038	0	0
84039	0	0
84040	9500.0	7
84041	6550.0	13
84042	7700.0	11
84043	26800.0	28
84044	1000.0	2
84046	0	0
84047	12750.0	12
84049	500.0	1
84050	3500.0	3
84051	0	0
84052	500.0	2
84053	0	0
84054	18950.0	18
84055	13000.0	7
84056	0	0
84057	20650.0	15
84058	22400.0	21
84060	81346.0	109
84061	0	0
84062	22125.0	24
84063	0	0
84064	0	0
84065	20400.0	24
84066	1800.0	3
84067	10300.0	10
84069	0	0
84070	11400.0	11
84071	1000.0	1
84072	0	0
84073	0	0
84074	25361.0	37
84075	5000.0	4
84076	0	0
84078	2200.0	4
84080	0	0
84082	0	0
84083	0	0
84084	10060.0	11
84085	0	0
84086	0	0
84087	2500.0	3
84088	2500.0	4
84092	78600.0	89
84093	47400.0	48
84094	11750.0	18
84095	22125.0	33
84097	83875.0	60
84098	59600.0	51
840HH	0	0
840XX	0	0
84101	31851.0	39
84102	56259.0	57
84103	187061.0	236
84104	22550.0	45
84105	19550.0	45
84106	16947.0	29
84107	28275.0	36
84108	129976.0	176
84109	56696.0	71
84111	85640.0	98
84112	0	0
84113	4500.0	6
84115	11004.0	16
84116	12925.0	16
84117	75408.0	85
84118	5850.0	11
84119	1250.0	3
84120	1000.0	2
84121	110790.0	130
84123	9500.0	12
84124	92287.0	102
84128	705.0	3
84180	200.0	1
841HH	0	0
841XX	0	0
84301	0	0
84302	7500.0	14
84304	0	0
84305	0	0
84306	0	0
84307	1500.0	2
84309	0	0
84310	2000.0	2
84311	1600.0	3
84312	1100.0	4
84313	0	0
84314	0	0
84315	0	0
84316	0	0
84317	6630.0	8
84318	3100.0	6
84319	0	0
84320	1500.0	2
84321	15076.0	26
84324	0	0
84325	0	0
84326	250.0	1
84327	550.0	2
84328	0	0
84329	0	0
84330	0	0
84331	0	0
84332	2250.0	3
84333	250.0	1
84334	300.0	1
84335	1000.0	2
84336	0	0
84337	600.0	2
84338	0	0
84339	2200.0	4
84340	850.0	3
84341	8491.0	15
843HH	0	0
843XX	0	0
84401	1850.0	6
84403	51365.0	74
84404	8950.0	12
84405	5979.0	13
84414	13250.0	24
844HH	0	0
84501	250.0	3
84510	0	0
84511	0	0
84512	0	0
84513	1500.0	2
84516	0	0
84518	300.0	1
84520	0	0
84521	0	0
84522	0	0
84523	3500.0	5
84525	0	0
84526	550.0	2
84528	200.0	1
84529	0	0
84530	0	0
84531	0	0
84532	12250.0	25
84533	0	0
84534	0	0
84535	0	0
84536	0	0
84537	0	0
84539	0	0
84540	0	0
84542	0	0
845HH	0	0
84601	13850.0	10
84604	95700.0	87
84606	8600.0	16
84620	0	0
84621	0	0
84622	0	0
84623	0	0
84624	0	0
84626	0	0
84627	0	0
84628	0	0
84629	7335.0	9
84630	0	0
84631	500.0	1
84632	0	0
84633	0	0
84634	0	0
84635	0	0
84636	0	0
84637	200.0	1
84638	0	0
84639	0	0
84640	0	0
84642	250.0	1
84643	0	0
84645	0	0
84646	300.0	1
84647	2500.0	3
84648	3050.0	4
84649	0	0
84650	0	0
84651	20350.0	18
84652	0	0
84653	14000.0	9
84654	300.0	1
84655	0	0
84656	0	0
84657	0	0
84660	12400.0	12
84662	0	0
84663	32478.0	25
84664	8080.0	8
84667	0	0
846HH	0	0
846XX	0	0
84701	700.0	3
84710	0	0
84711	0	0
84712	0	0
84713	4600.0	5
84714	0	0
84715	0	0
84716	0	0
84717	0	0
84718	0	0
84719	0	0
84720	10233.0	16
84722	0	0
84723	0	0
84724	0	0
84725	0	0
84726	0	0
84728	0	0
84729	0	0
84730	0	0
84731	0	0
84732	0	0
84733	2000.0	4
84734	0	0
84735	0	0
84736	0	0
84737	1850.0	3
84738	3200.0	6
84739	0	0
84740	0	0
84741	2200.0	5
84743	0	0
84744	0	0
84745	6000.0	3
84747	0	0
84749	0	0
84750	0	0
84751	0	0
84752	0	0
84753	0	0
84754	0	0
84755	0	0
84757	0	0
84758	0	0
84759	0	0
84760	0	0
84761	0	0
84762	0	0
84764	0	0
84765	5250.0	8
84766	0	0
84770	39350.0	35
84772	0	0
84773	2000.0	2
84774	13000.0	7
84775	0	0
84776	0	0
84779	1000.0	2
84780	13450.0	9
84781	0	0
84782	0	0
84783	1500.0	2
84790	22000.0	28
847HH	0	0
847XX	0	0
