zoneID	money	freq
20105	38938.0	53
20106	3300.0	8
20109	6550.0	13
20110	79591.0	97
20111	14200.0	27
20112	31150.0	38
20115	21750.0	33
20117	11850.0	22
20118	49950.0	63
20119	6900.0	7
20120	67300.0	94
20121	17600.0	31
20124	129795.0	161
20129	4050.0	6
20130	0	0
20132	14400.0	23
20135	5600.0	12
20136	26950.0	30
20137	9400.0	8
20138	5950.0	10
20139	1000.0	1
20140	1000.0	3
20141	4500.0	7
20143	4450.0	6
20144	13450.0	19
20147	79190.0	99
20148	24350.0	36
20151	61909.0	87
20152	11000.0	20
20155	31200.0	43
20158	2750.0	4
20164	32850.0	59
20165	65799.0	110
20166	6142.0	11
20169	28871.0	49
20170	55225.0	79
20171	147820.0	185
20175	60700.0	78
20176	139829.0	197
20180	10250.0	17
20181	8850.0	14
20184	16150.0	12
20186	53253.0	60
20187	10070.0	23
20190	51350.0	63
20191	88550.0	106
20194	89332.0	104
20197	26487.0	31
20198	23950.0	27
201HH	0	0
22003	176498.0	293
22015	260678.0	292
22026	13900.0	27
22027	20370.0	35
22030	173736.0	242
22031	113783.0	154
22032	84671.0	152
22033	144140.0	167
22039	402675.0	514
22041	140672.0	183
22042	98180.0	167
22043	134250.0	206
22044	220622.0	261
22046	130761.0	186
22060	4150.0	11
22066	795805.0	874
22079	26300.0	40
220HH	0	0
22101	1614683.0	1951
22102	775121.0	920
22124	323688.0	442
22125	7450.0	19
22134	0	0
22150	34550.0	54
22151	89907.0	112
22152	55669.0	93
22153	82944.0	153
22172	500.0	1
22180	83370.0	122
22181	246646.0	326
22182	364136.0	489
22191	15501.0	30
22192	69755.0	87
22193	26750.0	47
221HH	0	0
22201	323425.0	512
22202	301861.0	458
22203	148279.0	244
22204	92308.0	147
22205	230303.0	362
22206	131949.0	224
22207	941901.0	1269
22209	172940.0	219
22211	1000.0	2
22213	85900.0	111
22301	283035.0	412
22302	637745.0	880
22303	36100.0	52
22304	422677.0	621
22305	104406.0	182
22306	107776.0	159
22307	337383.0	419
22308	481124.0	593
22309	352524.0	412
22310	95490.0	148
22311	82643.0	135
22312	93200.0	143
22314	938561.0	1311
22315	94975.0	160
223HH	0	0
22401	55367.0	103
22405	104325.0	137
22406	17100.0	20
22407	43880.0	66
22408	16505.0	26
22427	900.0	4
22432	0	0
22433	0	0
22435	0	0
22436	0	0
22437	250.0	1
22438	0	0
22443	2125.0	4
22448	250.0	1
22454	0	0
22460	0	0
22469	0	0
22473	1000.0	1
22476	0	0
22480	50650.0	75
