zoneID	money	freq
53001	0	0
53002	0	0
53003	0	0
53004	0	0
53005	14700.0	30
53006	0	0
53007	0	0
53010	1000.0	1
53011	0	0
53012	11550.0	29
53013	0	0
53014	250.0	1
53015	0	0
53016	0	0
53017	4200.0	3
53018	3950.0	9
53019	0	0
53020	5200.0	10
53021	1750.0	5
53022	3500.0	6
53023	0	0
53024	5500.0	17
53027	7850.0	21
53029	11600.0	27
53032	0	0
53033	200.0	1
53034	0	0
53035	0	0
53036	0	0
53037	0	0
53038	0	0
53039	0	0
53040	0	0
53042	0	0
53044	1750.0	6
53045	12800.0	33
53046	0	0
53047	0	0
53048	0	0
53049	0	0
53050	0	0
53051	6111.0	11
53057	0	0
53058	2550.0	6
53059	500.0	2
53061	0	0
53063	0	0
53065	0	0
53066	7100.0	13
53069	0	0
53070	200.0	1
53072	15500.0	33
53073	500.0	1
53074	2750.0	9
53075	0	0
53076	2000.0	4
53078	0	0
53079	0	0
53080	1250.0	5
53081	1750.0	5
53083	1250.0	3
53085	0	0
53086	250.0	1
53088	0	0
53089	2250.0	4
53090	1250.0	3
53091	0	0
53092	59650.0	138
53093	0	0
53094	200.0	1
53095	2550.0	11
53097	9950.0	20
53098	0	0
530HH	0	0
53103	0	0
53104	0	0
53105	3700.0	10
53108	0	0
53110	250.0	1
53114	0	0
53115	750.0	2
53118	500.0	1
53119	750.0	4
53120	0	0
53121	1250.0	2
53122	13900.0	32
53125	2700.0	3
53126	2750.0	5
53128	0	0
53129	20720.0	78
53130	3150.0	10
53132	3500.0	12
53137	1000.0	2
53139	0	0
53140	950.0	3
53142	11574.0	10
53143	12950.0	19
53144	17200.0	18
53146	250.0	1
53147	3000.0	3
53148	0	0
53149	4650.0	8
53150	5700.0	23
53151	9750.0	26
53153	250.0	1
53154	3062.0	9
53156	500.0	1
53158	1750.0	4
53167	0	0
53168	5250.0	5
53170	0	0
53172	750.0	3
53176	0	0
53177	1000.0	1
53178	0	0
53179	0	0
53181	2100.0	2
53182	240.0	1
53183	2450.0	6
53184	0	0
53185	0	0
53186	13930.0	18
53188	6620.0	21
53189	9050.0	26
53190	20050.0	30
53191	1000.0	1
53192	0	0
53195	0	0
531HH	0	0
53202	209785.0	279
53203	5950.0	10
53204	2000.0	5
53205	950.0	4
53206	0	0
53207	23150.0	28
53208	6825.0	19
53209	29454.0	53
53210	2400.0	8
53211	127556.0	335
53212	9065.0	25
53213	16300.0	33
53214	1200.0	3
53215	3825.0	7
53216	7650.0	16
53217	158594.0	331
53218	0	0
53219	2175.0	5
53220	8950.0	16
53221	3750.0	12
53222	1200.0	5
53223	11270.0	27
53224	1250.0	4
53225	-750.0	5
53226	28600.0	31
53227	2950.0	9
53228	2000.0	5
53233	750.0	2
53235	950.0	3
532HH	0	0
53402	4550.0	12
53403	5300.0	8
53404	0	0
53405	9850.0	20
53406	1200.0	5
534HH	0	0
53502	200.0	1
53503	2000.0	6
53504	0	0
53505	0	0
53506	300.0	1
53507	1650.0	5
53508	710.0	2
53510	0	0
53511	2800.0	9
53515	250.0	1
53516	0	0
53517	2000.0	2
53518	750.0	3
53520	0	0
53521	500.0	1
53522	0	0
53523	6817.0	10
53525	0	0
53526	0	0
53527	550.0	2
53528	7150.0	25
53529	250.0	1
53530	250.0	1
53531	2000.0	7
53532	1750.0	6
53533	500.0	2
53534	4125.0	12
53536	3750.0	12
53537	0	0
53538	1740.0	6
53540	0	0
53541	0	0
53543	0	0
53544	0	0
53545	3970.0	9
53546	2100.0	7
53549	0	0
53550	200.0	1
53551	1000.0	3
53553	0	0
53554	0	0
53555	6700.0	14
53556	0	0
53557	0	0
53558	3000.0	10
53559	0	0
53560	2900.0	10
53561	1000.0	1
53562	65485.0	194
53563	2250.0	4
53565	0	0
53566	11300.0	16
53569	0	0
53570	0	0
53571	0	0
53572	3980.0	12
53573	0	0
53574	1950.0	5
53575	8845.0	23
53576	750.0	2
53577	1000.0	3
53578	1000.0	3
53579	0	0
53580	0	0
53581	2250.0	3
53582	714.0	3
53583	0	0
53585	0	0
53586	0	0
53587	0	0
53588	2241.0	8
53589	3600.0	11
53590	7650.0	17
53593	23620.0	64
53594	5000.0	10
53597	2400.0	8
53598	750.0	2
535HH	0	0
53703	75900.0	180
53704	90457.0	245
53705	195514.0	559
53706	0	0
53711	121160.0	338
53713	75317.0	63
53714	2000.0	6
53715	13133.0	27
53716	16375.0	48
53717	43640.0	100
53718	15175.0	25
53719	36250.0	82
537HH	0	0
53801	0	0
53803	0	0
53804	0	0
53805	0	0
53806	0	0
53807	0	0
53808	0	0
53809	0	0
53810	0	0
53811	700.0	2
53813	0	0
53816	0	0
53817	0	0
53818	1000.0	4
53820	1000.0	2
53821	4275.0	6
53825	0	0
53826	0	0
53827	0	0
538HH	0	0
53901	2500.0	11
53910	0	0
53911	0	0
53913	8300.0	16
53916	5200.0	3
53919	0	0
53920	0	0
53922	0	0
53923	0	0
53924	750.0	3
53925	6935.0	21
53926	250.0	1
53928	0	0
53929	250.0	1
53930	0	0
53931	0	0
53932	225.0	1
53933	0	0
53934	250.0	1
53935	0	0
53936	0	0
53937	38000.0	35
53939	0	0
53940	0	0
53941	0	0
53943	0	0
53944	0	0
53946	0	0
53947	0	0
53948	0	0
53949	0	0
53950	0	0
53951	1250.0	2
53952	0	0
53953	0	0
53954	725.0	3
53955	250.0	1
53956	0	0
53959	250.0	1
53960	250.0	1
53961	0	0
53962	0	0
53963	1427.0	7
53964	0	0
53965	7330.0	17
53968	0	0
53969	0	0
539HH	0	0
54001	600.0	2
54002	0	0
54003	0	0
54004	0	0
54005	0	0
54006	0	0
54007	0	0
54009	0	0
54011	0	0
54012	0	0
54013	300.0	1
54014	0	0
54015	0	0
54016	9630.0	25
54017	3550.0	8
54020	5550.0	7
54021	1200.0	4
54022	10457.0	36
54023	0	0
54024	500.0	1
54025	0	0
54026	0	0
54027	250.0	1
54028	0	0
54082	0	0
540HH	0	0
54101	0	0
54102	0	0
54103	0	0
54104	0	0
54106	200.0	1
54107	0	0
54110	500.0	1
54111	0	0
54112	0	0
54113	0	0
54114	975.0	4
54115	36599.0	81
54119	0	0
54120	0	0
54121	0	0
54123	0	0
54124	0	0
54125	0	0
54126	7300.0	8
54127	0	0
54128	4200.0	3
54129	1500.0	2
54130	4950.0	9
54135	1000.0	1
54136	0	0
54137	0	0
54138	0	0
54139	1100.0	5
54140	0	0
54141	500.0	1
54143	2200.0	5
54149	0	0
54150	0	0
54151	2000.0	1
54152	0	0
54153	0	0
54154	0	0
54155	29350.0	26
54156	0	0
54157	0	0
54159	500.0	2
54160	0	0
54161	0	0
54162	750.0	2
54165	500.0	1
54166	1200.0	4
54169	0	0
54170	500.0	1
54171	500.0	2
54173	500.0	1
54174	0	0
54175	0	0
54177	0	0
54180	0	0
541HH	0	0
541XX	0	0
54201	1250.0	4
54202	4763.0	14
54204	0	0
54205	0	0
54207	0	0
54208	300.0	1
54209	1650.0	4
54210	3300.0	10
54211	5150.0	16
54212	1500.0	6
54213	0	0
54214	0	0
54215	0	0
54216	0	0
54217	700.0	2
54220	7750.0	17
54227	200.0	1
54228	0	0
54229	250.0	1
54230	300.0	1
54232	500.0	1
54234	2950.0	10
54235	2735.0	8
54240	0	0
54241	250.0	1
54245	0	0
54246	200.0	1
54247	0	0
542HH	0	0
54301	52364.0	109
54302	4000.0	11
54303	12135.0	17
54304	9600.0	15
54311	6240.0	20
54313	20735.0	47
543HH	0	0
54401	5350.0	25
54403	4000.0	13
54405	250.0	1
54406	250.0	1
54407	2500.0	5
54408	0	0
54409	2100.0	2
54410	250.0	1
54411	0	0
54412	250.0	1
54413	0	0
54414	0	0
54416	2000.0	3
54417	0	0
54418	200.0	1
54420	0	0
54421	0	0
54422	0	0
54423	0	0
54424	0	0
54425	0	0
54426	0	0
54427	250.0	1
54428	0	0
54430	0	0
54433	0	0
54435	0	0
54436	0	0
54437	0	0
54440	250.0	1
54441	0	0
54442	0	0
54443	0	0
54446	0	0
54447	0	0
54448	300.0	1
54449	14900.0	44
54451	1250.0	3
54452	3500.0	5
54454	0	0
54455	1650.0	5
54456	0	0
54457	2000.0	1
54459	250.0	1
54460	0	0
54462	0	0
54463	0	0
54465	0	0
54466	0	0
54467	2550.0	4
54469	0	0
54470	0	0
54471	0	0
54473	0	0
54474	0	0
54475	0	0
54476	250.0	1
54479	0	0
54480	0	0
54481	2775.0	11
54484	0	0
54485	0	0
54486	0	0
54487	0	0
54488	0	0
54489	0	0
54490	0	0
54491	0	0
54493	0	0
54494	0	0
54495	0	0
54498	0	0
54499	250.0	1
544HH	0	0
544XX	0	0
54501	3750.0	9
54511	0	0
54512	1750.0	4
54513	0	0
54514	0	0
54515	950.0	4
54517	0	0
54519	0	0
