zoneID	money	freq
82001	13760.0	26
82007	0	0
82009	13650.0	33
82050	0	0
82051	0	0
82052	0	0
82053	0	0
82054	0	0
82055	0	0
82058	0	0
82059	0	0
82060	0	0
82061	0	0
82063	0	0
82070	11900.0	24
82072	4700.0	13
82081	0	0
82082	0	0
82083	0	0
82084	0	0
82190	0	0
82201	250.0	1
82210	0	0
82212	0	0
82213	0	0
82214	0	0
82215	0	0
82217	0	0
82218	0	0
82219	0	0
82221	0	0
82222	0	0
82223	0	0
82224	0	0
82225	1000.0	2
82227	0	0
82240	1000.0	3
82242	0	0
82243	0	0
82244	0	0
822HH	0	0
82301	700.0	2
82310	0	0
82321	0	0
82322	0	0
82323	0	0
82324	0	0
82325	0	0
82327	0	0
82329	200.0	1
82331	1500.0	1
82332	0	0
82335	0	0
82336	0	0
823HH	0	0
82401	480.0	2
82410	0	0
82411	0	0
82412	0	0
82414	13800.0	39
82420	0	0
82421	0	0
82422	0	0
82423	0	0
82426	295.0	1
82428	0	0
82430	0	0
82431	0	0
82432	0	0
82433	2100.0	1
82434	0	0
82435	0	0
82440	0	0
82441	0	0
82442	2750.0	6
82443	500.0	2
824HH	0	0
824XX	0	0
82501	1638.0	3
82510	0	0
82512	0	0
82513	0	0
82514	0	0
82515	0	0
82516	0	0
82520	4460.0	11
82523	0	0
825HH	0	0
82601	6600.0	18
82604	3500.0	4
82609	2150.0	5
82620	1400.0	5
82633	13200.0	8
82635	0	0
82636	0	0
82637	0	0
82639	0	0
82640	0	0
82642	0	0
82643	0	0
82644	0	0
82649	0	0
826HH	0	0
82701	0	0
82710	0	0
82711	0	0
82712	0	0
82714	0	0
82716	0	0
82717	1000.0	3
82718	1000.0	1
82720	250.0	1
82721	0	0
82723	0	0
82725	8400.0	4
82727	0	0
82729	500.0	1
82730	0	0
82731	0	0
82732	0	0
82801	11300.0	30
82831	0	0
82832	750.0	2
82833	1250.0	3
82834	2750.0	5
82835	0	0
82836	1000.0	1
82837	750.0	2
82838	1000.0	1
82839	0	0
82842	500.0	1
82844	0	0
82845	0	0
828HH	0	0
82901	11450.0	13
82922	1000.0	1
82923	0	0
82925	975.0	2
82929	0	0
82930	500.0	1
82932	0	0
82933	0	0
82934	0	0
82935	2900.0	6
82936	0	0
82937	0	0
82938	0	0
82939	0	0
82941	500.0	1
82942	0	0
82943	0	0
82944	0	0
82945	0	0
829HH	0	0
829XX	0	0
83001	180500.0	198
83011	8300.0	7
83012	7900.0	16
83013	2750.0	4
83014	215689.0	245
830HH	0	0
830XX	0	0
83101	750.0	1
83110	0	0
83111	0	0
83112	0	0
83113	0	0
83114	0	0
83115	1000.0	1
83116	0	0
83118	2000.0	2
83119	0	0
83120	500.0	1
83121	0	0
83122	0	0
83123	200.0	1
83124	0	0
83126	0	0
83127	0	0
83128	0	0
831HH	0	0
831XX	0	0
