zoneID	money	freq
90001	8550.0	14
90002	4500.0	9
90003	3300.0	3
90004	302123.0	455
90005	126050.0	110
90006	7590.0	16
90007	22901.0	22
90008	25425.0	39
90010	107700.0	118
90011	4500.0	8
90012	47055.0	68
90013	18687.0	31
90014	21750.0	33
90015	50475.0	60
90016	10950.0	23
90017	231575.0	231
90018	6300.0	12
90019	62615.0	135
90020	133929.0	153
90021	14600.0	16
90022	32950.0	41
90023	11800.0	13
90024	1031539.0	1055
90025	653468.0	724
90026	176700.0	180
90027	202867.0	354
90028	75071.0	103
90029	6250.0	11
90031	5037.0	18
90032	9860.0	11
90033	5750.0	8
90034	117403.0	158
90035	135819.0	216
90036	299029.0	443
90037	1750.0	4
90038	47110.0	80
90039	66292.0	154
90040	21800.0	26
90041	39822.0	79
90042	22835.0	54
90043	25275.0	45
90044	250.0	1
90045	82494.0	153
90046	430645.0	649
90047	6150.0	12
90048	356416.0	449
90049	1883027.0	2167
90056	38600.0	56
90057	9200.0	18
90058	12200.0	12
90059	0	0
90061	500.0	2
90062	250.0	1
90063	3925.0	10
90064	611417.0	633
90065	38615.0	66
90066	137925.0	231
90067	1145006.0	1059
90068	280882.0	425
90069	739389.0	1074
90071	267100.0	281
90077	601545.0	669
900HH	0	0
90201	5250.0	7
90210	2095911.0	2334
90211	288895.0	366
90212	836524.0	879
90220	4375.0	12
90221	8650.0	8
90222	750.0	2
90230	78725.0	104
90232	151703.0	182
90240	25325.0	32
90241	22775.0	39
90242	12930.0	23
90245	72837.0	76
90247	17050.0	24
90248	5000.0	9
90249	12100.0	14
90250	16190.0	24
90254	73472.0	110
90255	4850.0	3
90260	2950.0	7
90261	0	0
90262	4100.0	5
90263	1000.0	1
90265	370877.0	467
90266	342534.0	417
90270	5500.0	6
90272	906029.0	1063
90274	272714.0	338
90275	178936.0	247
90277	59703.0	110
90278	36283.0	70
90280	20735.0	34
90290	47940.0	77
90291	170976.0	324
90292	166214.0	260
90293	39350.0	78
902HH	0	0
90301	23050.0	25
90302	13933.0	20
90303	0	0
90304	800.0	3
90305	5750.0	11
90401	286684.0	240
90402	727852.0	966
90403	285745.0	450
90404	241492.0	247
