zoneID	money	freq
80002	12700.0	26
80003	8150.0	10
80004	15774.0	29
80005	25471.0	70
80007	18200.0	31
80010	4300.0	9
80011	6250.0	11
80012	2800.0	8
80013	4550.0	17
80014	39375.0	64
80015	22705.0	53
80016	93500.0	91
80017	1700.0	5
80018	3050.0	3
80019	0	0
80020	34207.0	57
80021	24325.0	34
80022	3750.0	5
80024	0	0
80025	19900.0	13
80026	60935.0	103
80027	92162.0	156
80030	4140.0	10
80031	31338.0	69
80033	43025.0	82
800HH	0	0
800XX	0	0
80101	400.0	2
80102	0	0
80103	2400.0	2
80104	8658.0	13
80105	0	0
80106	2950.0	5
80107	20900.0	18
80110	64600.0	64
80111	470314.0	603
80112	86585.0	115
80116	6600.0	12
80117	0	0
80118	5800.0	14
80120	42646.0	80
80121	272532.0	354
80122	46459.0	88
80123	77350.0	101
80124	32550.0	40
80125	7800.0	21
80126	43650.0	70
80127	114936.0	126
80128	16600.0	24
80132	14450.0	29
80133	700.0	2
80134	51100.0	75
80135	6000.0	8
80136	0	0
80137	0	0
80138	32350.0	43
801XX	0	0
80202	515247.0	655
80203	142568.0	199
80204	54920.0	88
80205	52012.0	99
80206	726529.0	943
80207	105492.0	208
80209	417651.0	559
80210	215666.0	394
80211	64009.0	112
80212	41410.0	64
80214	5550.0	12
80215	103200.0	114
80216	12190.0	10
80218	395640.0	535
80219	5450.0	7
80220	564095.0	820
80221	27785.0	45
80222	29100.0	44
80223	13550.0	33
80224	37771.0	87
80226	44000.0	66
80227	28475.0	43
80228	46012.0	94
80229	1550.0	5
80230	86733.0	144
80231	69150.0	115
80232	7000.0	12
80233	8200.0	16
80234	47475.0	61
80235	22896.0	46
80236	1850.0	7
80237	98410.0	105
80239	7100.0	6
80241	8100.0	19
80246	154415.0	217
80249	22150.0	17
80260	4475.0	17
80264	10100.0	12
80290	3825.0	4
80293	3200.0	9
80294	0	0
80301	153946.0	267
80302	768868.0	1025
80303	312681.0	478
80304	581548.0	782
80401	226161.0	374
80403	103799.0	89
80420	0	0
80421	1125.0	5
80422	471.0	2
80423	0	0
80424	50150.0	50
80425	250.0	1
80426	0	0
80427	3500.0	9
80428	600.0	2
80430	0	0
80432	0	0
80433	21750.0	41
80434	0	0
80435	8050.0	18
80436	0	0
80438	0	0
80439	114172.0	208
80440	2500.0	5
80442	1000.0	3
80443	14325.0	24
80444	3200.0	5
80446	950.0	1
80447	0	0
80448	0	0
80449	0	0
80451	0	0
80452	4000.0	13
80454	7600.0	15
80455	200.0	1
80456	0	0
80457	750.0	3
80459	400.0	2
80461	250.0	1
80463	0	0
80465	28500.0	54
80466	32050.0	33
80467	0	0
80468	0	0
80469	0	0
80470	6400.0	17
80473	0	0
80474	1000.0	1
80476	0	0
80478	23400.0	14
80479	0	0
80480	0	0
80481	15000.0	12
80482	1875.0	7
80483	0	0
80487	8860.0	17
80498	14000.0	25
804HH	0	0
804XX	0	0
80501	15838.0	52
80503	99880.0	165
80504	33502.0	42
80510	3000.0	5
80512	21300.0	50
80513	10500.0	13
80514	800.0	1
80515	0	0
80516	8550.0	22
80517	28550.0	92
80520	0	0
80521	71490.0	141
80524	146942.0	204
80525	96403.0	203
80526	46460.0	103
80528	17550.0	31
80530	250.0	1
80532	0	0
80534	750.0	3
80535	2400.0	7
80536	1250.0	4
80537	36600.0	68
80538	30250.0	90
80540	1450.0	5
80542	0	0
80543	0	0
80545	0	0
80547	500.0	1
80549	6550.0	8
80550	1800.0	5
80601	6600.0	12
80610	1250.0	3
80611	0	0
80612	0	0
80615	500.0	2
80620	3100.0	2
80621	2000.0	4
80623	0	0
80624	0	0
80631	18813.0	36
80634	13425.0	27
80640	300.0	1
80642	0	0
80643	0	0
80644	0	0
80645	0	0
80648	0	0
80649	500.0	1
80650	0	0
80651	9850.0	17
80652	-20.0	1
80653	0	0
80654	0	0
806HH	0	0
80701	4400.0	5
80705	0	0
80720	250.0	1
80721	0	0
80722	0	0
80723	0	0
80726	0	0
80727	0	0
80728	0	0
80729	0	0
80731	1500.0	2
80733	0	0
80734	0	0
80735	0	0
80736	0	0
80737	0	0
80740	0	0
80741	0	0
80742	0	0
80743	750.0	3
80744	0	0
80745	0	0
80747	0	0
80749	0	0
80750	0	0
80751	0	0
80754	0	0
80755	0	0
80757	0	0
80758	474.0	1
80759	500.0	1
807HH	0	0
80801	239.0	1
80802	0	0
80804	0	0
80805	0	0
80807	0	0
80808	0	0
80809	1000.0	1
80810	0	0
80812	0	0
80813	0	0
80814	250.0	1
80815	0	0
80816	200.0	1
80817	0	0
80818	0	0
80819	0	0
80820	0	0
80821	0	0
80822	0	0
80823	0	0
80824	0	0
80825	0	0
80827	0	0
80828	250.0	1
80829	7150.0	22
80830	0	0
80831	5003.0	14
80832	0	0
80833	2300.0	2
80834	0	0
80835	0	0
80836	250.0	1
80840	0	0
80860	0	0
80861	0	0
80862	0	0
80863	3600.0	11
80864	0	0
80866	500.0	1
80903	13650.0	35
80904	34496.0	59
80905	950.0	3
80906	73475.0	152
80907	39538.0	43
80908	6750.0	16
80909	3700.0	9
80910	250.0	1
80911	400.0	1
80913	0	0
80915	5825.0	14
80916	0	0
80917	6600.0	8
80918	5608.0	20
80919	15792.0	32
80920	5500.0	12
80921	7285.0	12
80922	4800.0	15
80925	500.0	2
80926	250.0	1
80928	0	0
80929	500.0	1
80930	0	0
81001	36688.0	72
81003	68600.0	81
81004	13800.0	27
81005	22300.0	39
81006	2250.0	6
81007	7690.0	20
81008	4800.0	14
81020	0	0
81021	0	0
81022	9500.0	5
