zoneID	money	freq
83201	11901.0	16
83202	3450.0	5
83203	0	0
83204	5500.0	6
83210	0	0
83211	200.0	1
83212	250.0	1
83213	1000.0	3
83214	0	0
83215	0	0
83217	0	0
83218	0	0
83220	0	0
83221	5000.0	17
83223	0	0
83226	5050.0	9
83227	400.0	2
83228	0	0
83232	0	0
83234	0	0
83235	0	0
83236	0	0
83237	0	0
83238	0	0
83239	500.0	1
83241	500.0	1
83243	0	0
83244	0	0
83245	0	0
83246	0	0
83250	0	0
83251	500.0	2
83252	0	0
83253	0	0
83254	250.0	1
83255	750.0	2
83261	0	0
83262	700.0	2
83263	0	0
83271	0	0
83272	0	0
83274	0	0
83276	3800.0	4
83277	0	0
83278	500.0	1
83281	0	0
83283	0	0
83285	0	0
83286	200.0	1
83287	0	0
832HH	0	0
832XX	0	0
83301	16801.0	34
83302	1000.0	4
83311	0	0
83312	0	0
83313	4300.0	14
83314	250.0	1
83316	2600.0	6
83318	4750.0	12
83320	0	0
83321	500.0	1
83322	0	0
83323	0	0
83324	0	0
83325	250.0	1
83327	0	0
83328	1000.0	3
83330	3700.0	6
83332	300.0	1
83333	7000.0	7
83334	0	0
83335	2100.0	2
83336	200.0	1
83337	0	0
83338	11400.0	17
83340	46150.0	48
83341	0	0
83342	0	0
83344	0	0
83346	500.0	1
83347	500.0	2
83348	2000.0	3
83349	0	0
83350	1200.0	3
83352	0	0
83353	24151.0	29
83354	0	0
83355	6100.0	5
833HH	0	0
833XX	0	0
83401	10346.0	17
83402	7450.0	11
83404	30312.0	57
83406	17300.0	19
83420	1800.0	5
83421	0	0
83422	0	0
83423	0	0
83424	0	0
83425	2300.0	1
83427	500.0	2
83428	0	0
83429	700.0	2
83431	0	0
83433	0	0
83434	0	0
83435	0	0
83436	0	0
83440	18756.0	26
83442	14050.0	10
83443	250.0	1
83444	200.0	1
83445	750.0	2
83446	0	0
83448	0	0
83449	0	0
83450	2500.0	5
83451	0	0
83452	0	0
83455	400.0	1
83462	0	0
83463	0	0
83464	250.0	1
83465	0	0
83466	0	0
83467	1050.0	4
83468	0	0
83469	300.0	1
834HH	0	0
834XX	0	0
83501	17001.0	38
83520	0	0
83522	500.0	1
83523	0	0
83524	5000.0	3
83525	0	0
83526	0	0
83530	10050.0	11
83533	0	0
83535	400.0	2
83536	7180.0	17
83537	0	0
83539	0	0
83540	0	0
83541	1000.0	3
83542	0	0
83543	0	0
83544	1500.0	5
83545	0	0
83546	0	0
83547	0	0
83548	0	0
83549	200.0	1
83552	0	0
83553	0	0
83554	0	0
83555	0	0
835HH	0	0
835XX	0	0
83601	0	0
83602	0	0
83604	6000.0	8
83605	2000.0	5
83607	12125.0	21
83610	0	0
83611	2100.0	6
83612	500.0	1
83615	500.0	1
83616	54260.0	88
83617	18301.0	14
83619	3900.0	10
83620	0	0
83622	500.0	1
83623	250.0	1
83624	3250.0	4
83626	500.0	1
83627	1050.0	5
83628	2290.0	7
83629	2201.0	3
83631	0	0
83632	250.0	1
83633	0	0
83634	5000.0	10
83637	0	0
83638	4500.0	9
83639	500.0	1
83641	1600.0	5
83642	28255.0	37
83643	0	0
83644	6050.0	11
83645	250.0	1
83647	3400.0	6
83648	339.0	4
83650	0	0
83651	5650.0	13
83654	300.0	1
83655	6180.0	7
83656	0	0
83657	0	0
83660	5550.0	10
83661	2500.0	3
83666	0	0
83669	4250.0	5
83670	0	0
83671	0	0
83672	2850.0	7
83676	4400.0	6
83677	0	0
83686	47061.0	91
83687	42338.0	20
836HH	0	0
836XX	0	0
83702	61242.0	96
83703	12864.0	27
83704	26225.0	51
83705	10300.0	26
83706	36641.0	73
83709	15215.0	31
83712	51405.0	67
83713	7630.0	18
83714	20979.0	27
83716	14405.0	29
83788	0	0
837HH	0	0
837XX	0	0
83801	1000.0	2
83802	0	0
83803	0	0
83804	0	0
83805	2900.0	6
83806	0	0
83808	0	0
83809	0	0
83810	2250.0	5
83811	2550.0	3
83812	0	0
83813	0	0
83814	30365.0	47
83815	15833.0	39
83821	0	0
83822	0	0
83823	0	0
83824	1000.0	2
83826	0	0
83827	0	0
83830	0	0
83832	200.0	1
83833	1450.0	5
83834	0	0
83835	74960.0	155
83836	4850.0	3
83837	0	0
83839	0	0
83841	0	0
83842	0	0
83843	16264.0	19
83845	3757.0	10
83846	0	0
83847	0	0
83848	0	0
83849	595.0	2
83850	1200.0	2
83851	6600.0	4
83852	0	0
83853	0	0
83854	44484.0	59
83855	0	0
83856	1824.0	6
83857	2000.0	3
83858	2000.0	6
83860	2100.0	5
83861	814.0	3
83864	32000.0	25
83866	0	0
83867	1300.0	3
83868	0	0
83869	0	0
83870	0	0
83871	1700.0	4
83872	300.0	1
83873	4250.0	7
83874	0	0
83876	470.0	2
838HH	0	0
838XX	0	0
