zoneID	money	freq
03901	0	0
03902	7450.0	12
03903	14645.0	16
03904	9000.0	13
03905	770.0	1
03906	1317.0	2
03907	11450.0	14
03908	2500.0	3
03909	41600.0	41
039HH	0	0
04001	950.0	3
04002	750.0	3
04003	0	0
04005	2700.0	5
04008	1500.0	3
04009	3950.0	8
04010	0	0
04011	37650.0	70
04015	4000.0	5
04017	400.0	2
04019	0	0
04020	0	0
04021	18100.0	21
04022	0	0
04024	0	0
04027	0	0
04029	1400.0	3
04030	0	0
04032	15450.0	21
04037	650.0	3
04038	17500.0	28
04039	6850.0	11
04040	500.0	2
04041	250.0	1
04042	750.0	3
04043	56850.0	76
04046	102390.0	102
04047	0	0
04048	250.0	1
04049	250.0	1
04050	200.0	1
04051	0	0
04055	250.0	1
04061	2475.0	8
04062	17950.0	24
04064	24650.0	29
04066	500.0	2
04068	750.0	2
04069	3300.0	4
04071	16150.0	20
04072	19682.0	41
04073	24350.0	37
04074	51250.0	83
04076	0	0
04079	15100.0	31
04083	2450.0	6
04084	6600.0	13
04085	0	0
04086	2900.0	7
04087	0	0
04088	1000.0	1
04090	13476.0	25
04091	250.0	1
04092	6250.0	16
04093	500.0	2
04095	0	0
04096	100375.0	125
04097	5550.0	12
040HH	0	0
04101	41450.0	53
04102	43400.0	55
04103	16625.0	26
04105	122051.0	178
04106	32850.0	40
04107	137800.0	161
04108	0	0
04110	82759.0	99
041HH	0	0
04210	16400.0	45
04216	0	0
04217	11700.0	12
04219	200.0	1
04220	0	0
04221	0	0
04222	4500.0	16
04224	0	0
04226	0	0
04228	0	0
04231	0	0
04236	5850.0	6
04237	200.0	1
04238	0	0
04239	300.0	1
04240	18400.0	45
04250	8000.0	10
04252	1000.0	2
04253	1000.0	1
04254	1250.0	2
04255	0	0
04256	250.0	1
04257	0	0
04258	750.0	3
04259	0	0
04260	4000.0	4
04261	0	0
04263	0	0
04265	0	0
04268	4300.0	10
04270	18481.0	21
04274	2500.0	7
04275	0	0
04276	900.0	2
04280	750.0	3
04281	1200.0	4
04282	450.0	2
04284	600.0	2
04285	1000.0	1
04287	950.0	3
04289	0	0
04290	725.0	2
04292	0	0
04294	2000.0	3
042HH	0	0
042XX	0	0
04330	124360.0	173
04342	3250.0	5
04344	200.0	1
04345	6000.0	10
04346	0	0
04347	7750.0	22
04348	500.0	2
04349	250.0	1
04350	2500.0	3
04351	24650.0	39
04352	1500.0	4
04353	200.0	1
04354	200.0	1
04355	3150.0	10
04357	1467.0	5
04358	2150.0	8
04360	200.0	1
04363	0	0
04364	17200.0	25
043HH	0	0
04401	66635.0	139
04406	0	0
04408	0	0
04410	0	0
04411	0	0
04412	13570.0	25
04413	250.0	1
04414	0	0
04416	300.0	1
04417	0	0
04418	0	0
04419	400.0	2
04421	2500.0	10
04422	0	0
04423	0	0
04424	0	0
04426	750.0	2
04427	0	0
04428	0	0
04429	8300.0	16
04430	2000.0	2
04431	0	0
04434	0	0
04435	0	0
04438	500.0	1
04441	0	0
04442	0	0
04443	201.0	1
04444	15450.0	30
04448	0	0
04449	250.0	1
04450	0	0
04451	0	0
04453	0	0
04455	0	0
04456	0	0
04457	3171.0	7
04459	0	0
04460	0	0
04461	650.0	3
04462	0	0
04463	0	0
04464	200.0	1
04468	27450.0	31
04471	0	0
04472	220.0	1
04473	5950.0	20
04474	5550.0	8
04475	0	0
04476	0	0
04478	0	0
04479	0	0
04487	250.0	1
04488	0	0
04490	0	0
04493	0	0
04495	500.0	2
04496	1500.0	4
04497	0	0
044HH	0	0
044XX	0	0
04530	26650.0	58
04535	2300.0	6
04537	650.0	3
04538	1000.0	3
04539	250.0	1
04541	0	0
04543	4150.0	9
04544	4150.0	9
04547	7750.0	12
04548	800.0	2
04551	1250.0	2
04553	5901.0	13
04554	3000.0	4
04555	0	0
04556	3350.0	7
04558	5850.0	8
04562	3700.0	7
04563	3000.0	2
04564	700.0	3
04568	2150.0	7
04572	3300.0	4
04573	2500.0	4
04574	0	0
04576	12400.0	13
04578	7900.0	13
04579	3850.0	10
045HH	0	0
04605	5301.0	16
04606	300.0	1
04607	1000.0	3
04609	5700.0	14
04611	0	0
04612	0	0
04613	0	0
04614	5950.0	14
04615	0	0
04616	5500.0	10
04617	4500.0	2
04619	1000.0	3
04622	0	0
04623	0	0
04624	1750.0	4
04625	0	0
04626	0	0
04627	400.0	2
04628	250.0	1
04629	1000.0	1
04630	0	0
04631	0	0
04634	0	0
04635	0	0
04640	700.0	3
04642	0	0
04643	0	0
04645	1000.0	2
04646	0	0
04648	0	0
04649	1250.0	2
04650	0	0
04652	750.0	3
04653	0	0
04654	3400.0	5
04655	0	0
04657	250.0	1
04658	700.0	3
04660	5500.0	12
04662	18600.0	36
04664	0	0
04666	0	0
04667	500.0	2
04668	0	0
04669	250.0	1
04671	0	0
04672	0	0
04673	1000.0	1
04674	0	0
04675	17650.0	22
04676	200.0	1
04677	0	0
04679	1900.0	4
04680	0	0
04681	2300.0	1
04683	0	0
04684	3450.0	6
04685	0	0
04691	0	0
04693	3000.0	9
04694	0	0
046HH	0	0
046XX	0	0
04730	1700.0	5
04732	0	0
04733	0	0
04735	0	0
04736	18600.0	36
04739	0	0
04740	0	0
04742	2500.0	7
04743	4000.0	9
04745	0	0
04746	0	0
04747	0	0
04750	3250.0	4
04756	300.0	1
04757	500.0	2
04758	250.0	1
04759	0	0
04760	0	0
04762	0	0
04763	0	0
04764	0	0
04765	250.0	1
04766	0	0
04768	0	0
04769	17750.0	33
04772	0	0
04773	0	0
04774	0	0
04776	0	0
04777	0	0
04779	500.0	1
04780	0	0
04781	0	0
04783	0	0
04785	0	0
04786	0	0
04787	0	0
047HH	0	0
047XX	0	0
04841	5200.0	8
04843	51950.0	67
04847	2900.0	3
04848	4700.0	13
04849	4500.0	6
04851	0	0
04852	0	0
04853	200.0	1
04854	450.0	2
04856	37701.0	72
04857	0	0
04858	1000.0	1
04859	4300.0	5
04860	7600.0	6
04861	0	0
04862	6500.0	10
04863	13800.0	6
04864	500.0	1
048HH	0	0
04901	19501.0	44
04910	0	0
04911	0	0
04912	0	0
04915	2750.0	6
04917	2500.0	7
04920	0	0
04921	0	0
04922	0	0
04923	0	0
04924	500.0	1
04925	250.0	1
04927	0	0
04928	0	0
04929	0	0
04930	0	0
04932	0	0
04936	0	0
04937	750.0	2
04938	234000.0	19
04939	0	0
04941	0	0
04942	0	0
04943	1000.0	1
04945	2450.0	5
04947	750.0	3
04949	0	0
04950	1000.0	1
04951	0	0
04952	13048.0	17
04953	1750.0	4
04954	1451.0	4
04955	1100.0	4
04956	0	0
04957	0	0
04958	0	0
04961	0	0
04962	0	0
04963	1150.0	4
04964	4300.0	4
04965	500.0	1
04966	750.0	2
