zoneID	money	freq
27006	57550.0	109
27007	0	0
27009	4000.0	4
27011	1600.0	5
27012	53400.0	96
27013	2200.0	6
27014	3651.0	13
27016	500.0	2
27017	6250.0	5
27018	900.0	2
27019	2750.0	9
27020	4950.0	3
27021	2750.0	10
27022	250.0	1
27023	90755.0	124
27024	0	0
27025	2500.0	9
27027	0	0
27028	17336.0	34
27030	75954.0	155
27040	8970.0	16
27041	12438.0	18
27042	0	0
27043	1400.0	4
27045	0	0
27046	700.0	2
27047	950.0	3
27048	3000.0	10
27050	2700.0	4
27051	2650.0	7
27052	1850.0	7
27053	0	0
27054	914.0	3
27055	4066.0	15
270HH	0	0
27101	95288.0	120
27103	51565.0	90
27104	357983.0	634
27105	2700.0	7
27106	250013.0	390
27107	3180.0	8
27109	4600.0	3
27127	11085.0	26
271HH	0	0
27202	0	0
27203	3410.0	11
27207	2850.0	4
27208	0	0
27209	31432.0	46
27212	1000.0	3
27214	8300.0	13
27215	120451.0	140
27217	5700.0	9
27229	6600.0	6
27231	1250.0	5
27233	2000.0	3
27235	6410.0	15
27239	2750.0	4
27242	1250.0	2
27243	11400.0	18
27244	6851.0	16
27248	0	0
27249	11850.0	13
27252	0	0
27253	2200.0	5
27256	0	0
27258	2000.0	8
27260	8440.0	11
27262	69901.0	110
27263	0	0
27265	28525.0	47
27278	79210.0	141
27281	0	0
27282	22900.0	34
27283	7500.0	12
27284	38750.0	68
27288	22090.0	25
27291	0	0
27292	24145.0	60
27295	15100.0	27
27298	1800.0	7
27299	1000.0	2
272HH	0	0
27301	2950.0	6
27302	6200.0	22
27305	750.0	1
27306	17950.0	28
27310	23600.0	29
27311	0	0
27312	43700.0	115
27313	250.0	1
27314	0	0
27315	500.0	2
27316	0	0
27317	4887.0	11
27320	11400.0	28
27325	500.0	1
27326	0	0
27330	27510.0	50
27341	1000.0	3
27342	0	0
27343	1250.0	2
27344	16400.0	26
27349	1000.0	1
27350	0	0
27355	0	0
27356	2700.0	5
27357	700.0	3
27358	58350.0	58
27360	6200.0	11
27370	3950.0	8
27371	22700.0	39
27376	2760.0	9
27377	6501.0	17
27379	4500.0	8
273HH	0	0
27401	73804.0	134
27403	79963.0	144
27405	18200.0	39
27406	50692.0	74
27407	63286.0	104
27408	727765.0	946
27409	26700.0	37
27410	383446.0	556
27455	138745.0	236
274HH	0	0
27501	10700.0	17
27502	18153.0	45
27503	1000.0	3
27504	12725.0	16
27505	5500.0	8
27506	500.0	2
27507	0	0
27508	0	0
27509	250.0	1
27510	12641.0	40
27511	81994.0	154
27513	104263.0	105
27514	396919.0	618
27516	157664.0	269
27520	9660.0	13
27521	8900.0	7
27522	850.0	4
27524	6000.0	9
27525	17600.0	16
27526	27625.0	45
27529	26375.0	45
27530	13170.0	19
27534	20005.0	37
27536	35635.0	73
27540	18550.0	30
