zoneID	money	freq
87001	12650.0	16
87002	20800.0	40
87004	37600.0	37
87005	0	0
87006	0	0
87007	2300.0	1
87008	7450.0	13
87010	2250.0	6
87011	0	0
87012	0	0
87013	0	0
87014	0	0
87015	500.0	1
87016	700.0	2
87017	200.0	1
87018	0	0
87020	4550.0	12
87022	29600.0	18
87023	0	0
87024	16100.0	6
87025	1000.0	2
87026	1000.0	1
87027	0	0
87028	0	0
87029	0	0
87031	19750.0	31
87032	950.0	3
87034	7800.0	6
87035	91408.0	52
87036	450.0	2
87037	750.0	2
87038	200.0	1
87040	0	0
87041	1000.0	2
87042	1200.0	2
87043	66159.0	132
87044	222.0	1
87045	0	0
87047	24000.0	35
87048	145592.0	235
87049	6000.0	9
87052	1000.0	1
87053	8900.0	5
87056	8375.0	13
87059	3000.0	12
87060	250.0	1
87061	0	0
87062	2500.0	4
87063	0	0
87064	0	0
87068	1650.0	5
87070	0	0
87072	600.0	2
87083	2250.0	6
870HH	0	0
870XX	0	0
87102	154568.0	239
87104	210519.0	334
87105	57203.0	115
87106	230867.0	456
87107	336505.0	523
87108	146525.0	255
87109	83237.0	115
87110	241250.0	400
87111	331228.0	514
87112	44834.0	89
87113	28476.0	45
87114	135333.0	194
87116	0	0
87118	0	0
87120	147232.0	229
87121	17500.0	35
87122	272105.0	420
87123	57275.0	105
87124	34625.0	64
871XX	0	0
87301	23603.0	43
87305	7900.0	12
87310	0	0
87311	0	0
87312	0	0
87313	250.0	1
87315	0	0
87316	0	0
87317	500.0	2
87319	0	0
87320	0	0
87321	1000.0	1
87322	0	0
87323	0	0
87325	500.0	1
87326	0	0
87327	0	0
87328	250.0	1
87347	0	0
87357	0	0
87364	0	0
87375	0	0
873XX	0	0
87401	51750.0	49
87402	47050.0	43
87410	2800.0	3
87412	11450.0	7
87413	4050.0	5
87415	500.0	1
87416	900.0	3
87417	2300.0	1
87418	0	0
87419	0	0
87420	1000.0	1
87421	0	0
87455	0	0
87461	0	0
874HH	0	0
874XX	0	0
87501	1054878.0	1401
87505	754017.0	1035
87510	6598.0	19
87511	3000.0	5
87512	0	0
87513	500.0	2
87514	7150.0	16
87515	0	0
87516	0	0
87517	0	0
87518	450.0	2
87519	0	0
87520	0	0
87521	200.0	1
87522	1800.0	6
87524	0	0
87525	750.0	2
87527	12150.0	12
87528	55900.0	42
87529	12100.0	16
87530	0	0
87531	4800.0	7
87532	19300.0	44
87533	8500.0	11
87535	200.0	1
87537	0	0
87539	600.0	3
87540	5750.0	15
87543	0	0
87544	78625.0	163
87548	0	0
87549	1750.0	4
87551	0	0
87552	2750.0	7
87553	0	0
87556	200.0	1
87557	6700.0	14
87558	0	0
87560	250.0	1
87562	2750.0	4
87564	1200.0	3
87565	1500.0	3
87566	17550.0	14
87567	18200.0	22
87569	450.0	2
87571	47050.0	74
87573	750.0	2
87575	500.0	1
87577	0	0
87578	500.0	1
87579	200.0	1
87580	8300.0	10
87581	0	0
87582	250.0	1
87583	0	0
875HH	0	0
875XX	0	0
87701	39699.0	83
87710	5350.0	8
87711	1000.0	2
87712	500.0	1
87713	0	0
87714	2300.0	1
87715	0	0
87718	0	0
87722	5700.0	8
87723	0	0
87724	0	0
87728	0	0
87729	0	0
87730	0	0
87731	250.0	1
87732	1500.0	2
87733	0	0
87734	0	0
87735	0	0
87736	0	0
87740	17950.0	18
87742	0	0
87743	200.0	1
87745	5000.0	5
87747	0	0
87750	0	0
87752	0	0
87753	0	0
877XX	0	0
87801	30650.0	85
87820	0	0
87821	0	0
87823	0	0
87824	0	0
87825	0	0
87827	0	0
87828	0	0
87829	0	0
87830	550.0	2
87831	1500.0	2
87832	0	0
87901	11600.0	21
87930	0	0
87931	0	0
87933	0	0
87935	2300.0	1
87936	0	0
87937	11500.0	8
87939	1750.0	4
87940	0	0
87941	0	0
87942	2607.0	6
87943	0	0
879HH	0	0
879XX	0	0
88001	30750.0	49
88002	0	0
88003	6000.0	18
88004	9050.0	14
88005	73193.0	156
88008	6694.0	14
88009	0	0
88011	85587.0	163
88012	32101.0	34
88020	22500.0	11
88021	6250.0	10
88022	0	0
88023	550.0	2
88024	0	0
88025	0	0
88026	200.0	1
88027	8850.0	8
88029	850.0	4
88030	18400.0	20
88033	23100.0	20
88036	0	0
88038	8100.0	10
88039	200.0	1
88040	0	0
88041	3000.0	6
88042	750.0	3
88043	0	0
88044	2850.0	7
88045	6300.0	10
88047	13600.0	25
88048	1000.0	1
88049	0	0
88051	0	0
88052	1000.0	1
88053	4100.0	12
88055	0	0
88056	0	0
88061	23825.0	53
88063	4250.0	8
88065	0	0
88072	0	0
880XX	0	0
88101	22550.0	30
88112	0	0
88113	0	0
88114	0	0
88115	250.0	1
88116	0	0
88118	0	0
88119	0	0
88120	250.0	1
88121	0	0
88124	2200.0	2
88125	0	0
88126	0	0
88130	9583.0	27
88132	0	0
88134	0	0
88135	500.0	1
88136	0	0
88201	54300.0	77
88210	1750.0	4
88213	0	0
88220	59945.0	87
88230	1200.0	2
88231	27050.0	17
88232	0	0
88240	452802.0	315
88242	105950.0	67
88250	0	0
88252	5200.0	4
88253	1000.0	1
88254	0	0
88255	0	0
88256	1000.0	2
88260	41000.0	54
88262	0	0
88263	0	0
88264	0	0
88265	0	0
88267	10450.0	7
88268	0	0
88301	0	0
88310	28950.0	55
88312	14012.0	20
88314	0	0
88316	2050.0	6
88317	1900.0	7
88318	0	0
88321	0	0
88323	0	0
88324	0	0
88325	0	0
88330	0	0
88336	0	0
88337	250.0	1
88338	500.0	2
88339	0	0
88340	1000.0	2
88341	0	0
88343	0	0
88344	0	0
88345	12800.0	10
88346	0	0
88347	0	0
88348	0	0
88350	0	0
88351	0	0
88352	2000.0	1
88353	0	0
88354	0	0
883XX	0	0
88401	2500.0	3
88410	0	0
88411	0	0
88414	0	0
88415	750.0	2
88416	0	0
88417	0	0
88418	0	0
88419	0	0
88421	0	0
88422	0	0
88424	1000.0	1
88426	500.0	1
88427	0	0
88430	0	0
88431	0	0
88434	3000.0	5
88435	2500.0	3
88436	0	0
88437	0	0
884HH	0	0
884XX	0	0
