zoneID	money	freq
87001	500.0	1
87002	18700.0	37
87004	7500.0	12
87005	0	0
87006	500.0	1
87007	0	0
87008	24320.0	36
87010	250.0	1
87011	0	0
87012	0	0
87013	0	0
87014	0	0
87015	15650.0	25
87016	-900.0	5
87017	0	0
87018	0	0
87020	8200.0	15
87022	9200.0	5
87023	750.0	3
87024	0	0
87025	0	0
87026	2200.0	3
87027	0	0
87028	0	0
87029	1000.0	2
87031	22161.0	50
87032	1950.0	5
87034	2000.0	1
87035	11909.0	7
87036	1700.0	3
87037	0	0
87038	0	0
87040	0	0
87041	500.0	2
87042	3200.0	9
87043	85345.0	114
87044	0	0
87045	0	0
87047	14100.0	32
87048	94124.0	128
87049	0	0
87052	0	0
87053	0	0
87056	2500.0	3
87059	17900.0	35
87060	0	0
87061	200.0	1
87062	0	0
87063	0	0
87064	0	0
87068	2600.0	7
87070	0	0
87072	0	0
87083	0	0
870HH	0	0
870XX	0	0
87102	68297.0	84
87104	92575.0	105
87105	37127.0	71
87106	67761.0	104
87107	209872.0	265
87108	30101.0	58
87109	94670.0	173
87110	113849.0	221
87111	437344.0	747
87112	86870.0	150
87113	42861.0	66
87114	125125.0	198
87116	0	0
87118	0	0
87120	52488.0	97
87121	3900.0	6
87122	256468.0	397
87123	157520.0	260
87124	44916.0	70
871XX	0	0
87301	5580.0	16
87305	14900.0	17
87310	0	0
87311	0	0
87312	0	0
87313	0	0
87315	0	0
87316	0	0
87317	0	0
87319	400.0	2
87320	0	0
87321	0	0
87322	0	0
87323	0	0
87325	0	0
87326	0	0
87327	0	0
87328	0	0
87347	0	0
87357	0	0
87364	0	0
87375	0	0
873XX	0	0
87401	109567.0	160
87402	31750.0	60
87410	14200.0	22
87412	972.0	4
87413	7850.0	8
87415	700.0	2
87416	0	0
87417	1000.0	3
87418	1500.0	3
87419	0	0
87420	0	0
87421	250.0	1
87455	0	0
87461	0	0
874HH	0	0
874XX	0	0
87501	78160.0	131
87505	82899.0	104
87510	0	0
87511	0	0
87512	0	0
87513	0	0
87514	0	0
87515	2000.0	2
87516	0	0
87517	0	0
87518	0	0
87519	0	0
87520	200.0	1
