zoneID	money	freq
00601	0	0
00602	3500.0	7
00603	0	0
00604	0	0
00606	0	0
00610	3700.0	8
00612	4562.0	8
00616	0	0
00617	2500.0	4
00622	250.0	1
00623	550.0	2
00624	1600.0	3
00627	5000.0	5
00631	0	0
00637	0	0
00638	6750.0	6
00641	2250.0	3
00646	143629.0	113
00647	0	0
00650	0	0
00652	0	0
00653	0	0
00656	0	0
00659	6800.0	7
00660	2800.0	3
00662	3200.0	5
00664	0	0
00667	500.0	1
00669	8150.0	7
00670	0	0
00674	17500.0	20
00676	4550.0	7
00677	1400.0	2
00678	2000.0	2
00680	3850.0	7
00682	600.0	2
00683	0	0
00685	500.0	1
00687	500.0	1
00688	0	0
00690	500.0	1
00692	3500.0	3
00693	5750.0	6
00698	0	0
006HH	0	0
006XX	0	0
00703	5525.0	10
00704	0	0
00705	3250.0	6
00707	750.0	2
00714	0	0
00715	7600.0	5
00716	15100.0	14
00717	4800.0	4
00718	1800.0	3
00719	750.0	2
00720	2800.0	4
00723	1000.0	2
00725	10150.0	15
00728	375.0	1
00729	1450.0	4
00730	500.0	2
00731	6850.0	6
00735	1000.0	2
00736	2000.0	2
00738	6600.0	5
00739	4300.0	5
00740	0	0
00741	0	0
00745	6000.0	7
00751	0	0
00754	250.0	1
00757	1200.0	2
00765	6300.0	7
00766	500.0	1
00767	0	0
00769	2300.0	1
00771	5100.0	7
00772	0	0
00773	585.0	1
00775	1000.0	3
00777	1800.0	3
00778	8300.0	13
00780	6400.0	6
00782	0	0
00783	1400.0	3
00784	1750.0	3
00791	23200.0	22
00794	3550.0	13
00795	1000.0	1
007HH	0	0
007XX	0	0
00901	59900.0	56
00906	12010.0	16
00907	252228.0	258
00909	10850.0	11
00911	63045.0	67
00912	6400.0	6
00913	15700.0	18
00915	9100.0	14
00917	44558.0	52
00918	100101.0	134
00920	18357.0	26
00921	42850.0	45
00923	10095.0	12
00924	5500.0	5
00925	6300.0	5
00926	191293.0	258
00927	67650.0	75
00934	1400.0	2
00949	10650.0	11
00952	3000.0	4
00953	7450.0	13
00956	7900.0	6
00957	2800.0	2
00959	22200.0	19
00961	20500.0	19
00962	1000.0	2
00965	900.0	2
00966	232185.0	306
00968	48853.0	64
00969	138000.0	181
00971	3000.0	4
00976	16700.0	22
00979	44850.0	51
00982	2000.0	2
00983	11150.0	14
00985	6100.0	6
00987	4700.0	5
009HH	0	0
