zoneID	money	freq
57001	8100.0	14
57002	0	0
57003	0	0
57004	3485.0	9
57005	20845.0	24
57006	126316.0	205
57010	1750.0	3
57012	1150.0	4
57013	24950.0	40
57014	0	0
57015	0	0
57016	7220.0	16
57017	1500.0	2
57018	0	0
57020	0	0
57021	0	0
57022	72740.0	72
57024	0	0
57025	2700.0	9
57026	750.0	2
57027	3500.0	4
57028	6550.0	8
57029	1500.0	3
57030	12400.0	15
57031	0	0
57032	10300.0	24
57033	8900.0	9
57034	3500.0	8
57035	2000.0	1
57036	0	0
57037	0	0
57038	21336.0	22
57039	2475.0	5
57040	0	0
57041	0	0
57042	10300.0	26
57043	1200.0	4
57044	0	0
57045	0	0
57046	0	0
57047	0	0
57048	200.0	1
57049	170585.0	183
57050	0	0
57051	250.0	1
57052	0	0
57053	1250.0	2
57054	0	0
57055	500.0	2
57057	0	0
57058	500.0	1
57059	250.0	1
57061	0	0
57062	0	0
57063	400.0	2
57064	2914.0	9
57065	0	0
57066	250.0	1
57067	0	0
57068	200.0	1
57069	20246.0	52
57070	0	0
57071	4000.0	5
57072	0	0
57073	600.0	3
57074	0	0
57075	3750.0	8
57076	0	0
57077	2500.0	5
57078	19074.0	36
570HH	0	0
57103	170377.0	278
57104	57430.0	81
57105	287505.0	456
57106	57761.0	100
57107	2750.0	5
57108	251387.0	350
57110	65550.0	103
57201	25213.0	55
57212	985.0	3
57213	0	0
57214	0	0
57216	250.0	1
57217	0	0
57218	0	0
57219	0	0
57220	2750.0	8
57221	0	0
57223	1000.0	3
57224	0	0
57225	0	0
57226	500.0	2
57227	0	0
57231	3385.0	11
57232	0	0
57233	0	0
57234	250.0	1
57235	0	0
57236	0	0
57237	3450.0	5
57238	0	0
57239	0	0
57241	500.0	2
57242	0	0
57243	0	0
57244	0	0
57245	0	0
57246	0	0
57247	0	0
57248	250.0	1
57249	250.0	1
57251	0	0
57252	28762.0	36
57255	0	0
57256	0	0
57257	0	0
57258	0	0
57259	550.0	2
57260	0	0
57261	0	0
57262	5600.0	16
57263	0	0
57264	0	0
57265	0	0
57266	500.0	1
57268	0	0
57269	0	0
57270	0	0
57271	0	0
57272	0	0
57273	650.0	2
57274	1200.0	3
57276	0	0
57278	0	0
57279	0	0
572HH	0	0
57301	24500.0	54
57311	400.0	2
57312	0	0
57313	300.0	1
57314	0	0
57315	0	0
57317	2000.0	2
57319	0	0
57321	0	0
57322	0	0
57323	0	0
57324	0	0
57325	6627.0	8
57328	0	0
57329	0	0
57330	1000.0	1
57331	0	0
57332	0	0
57334	0	0
57335	0	0
57337	0	0
57339	0	0
57340	0	0
57341	0	0
57342	250.0	1
57344	0	0
57345	450.0	2
57346	0	0
57348	0	0
57349	700.0	3
57350	35750.0	63
57353	0	0
57355	5500.0	6
57356	250.0	1
57358	0	0
57359	0	0
57361	0	0
57362	300.0	1
57363	1000.0	1
57364	0	0
57365	250.0	1
57366	2450.0	4
57367	0	0
57368	2900.0	8
57369	1250.0	5
57370	15300.0	11
57371	500.0	1
57373	0	0
57374	0	0
57375	0	0
57376	400.0	2
57379	0	0
57380	2450.0	5
57381	0	0
57382	1750.0	7
57383	300.0	1
57384	2500.0	10
57385	700.0	2
57386	1200.0	6
573HH	0	0
57401	90339.0	184
57420	0	0
57421	0	0
57422	500.0	2
57424	0	0
57426	0	0
57427	2400.0	6
57428	0	0
57430	9500.0	10
57432	0	0
57433	9400.0	5
57434	1250.0	4
57435	0	0
57436	949.0	3
57437	250.0	1
57438	4300.0	5
57440	300.0	1
57441	1600.0	2
57442	15000.0	14
57445	5450.0	15
57446	250.0	1
57448	0	0
57449	6150.0	18
57450	1000.0	1
57451	500.0	1
57452	0	0
57454	800.0	2
57455	250.0	1
57456	4500.0	7
57457	0	0
57460	950.0	3
57461	250.0	1
57462	0	0
57465	0	0
57466	0	0
57467	0	0
57468	200.0	1
57469	740.0	3
57470	0	0
