zoneID	money	freq
37010	0	0
37012	200.0	1
37013	6256.0	21
37014	1000.0	1
37015	7750.0	13
37016	0	0
37018	450.0	2
37019	0	0
37020	4750.0	5
37022	900.0	3
37023	0	0
37025	11000.0	9
37026	0	0
37027	582730.0	670
37028	800.0	2
37029	23750.0	34
37030	26750.0	16
37031	4750.0	6
37032	500.0	1
37033	3401.0	10
37034	207.0	1
37035	1250.0	2
37036	2800.0	4
37037	222.0	1
37040	21200.0	29
37042	8938.0	15
37043	26850.0	41
37046	17945.0	24
37047	1000.0	1
37048	500.0	1
37049	0	0
37050	0	0
37051	0	0
37052	0	0
37055	8250.0	12
37057	0	0
37058	0	0
37059	-10.0	1
37060	1000.0	1
37061	0	0
37062	2300.0	2
37064	189794.0	222
37066	37020.0	46
37067	145292.0	127
37069	229919.0	265
37072	8550.0	16
37073	0	0
37074	5000.0	7
37075	37351.0	50
37076	17600.0	29
37078	0	0
37079	0	0
37080	1250.0	2
37082	15301.0	19
37083	875.0	2
37085	1950.0	3
37086	3500.0	3
37087	27157.0	30
37090	13400.0	9
37091	13200.0	15
37095	0	0
37096	400.0	1
37097	0	0
37098	0	0
370HH	0	0
370XX	0	0
37101	0	0
37110	10550.0	18
37115	7350.0	13
37118	250.0	1
37122	27903.0	46
37127	19901.0	17
37128	12560.0	17
37129	74500.0	88
37130	75432.0	75
37134	0	0
37135	3400.0	8
37137	0	0
37138	19050.0	31
37140	0	0
37141	0	0
37142	0	0
37143	500.0	2
37144	1778.0	3
37145	0	0
37146	4799.0	6
37147	0	0
37148	10450.0	6
37149	2000.0	1
37150	0	0
37151	0	0
37152	0	0
37153	750.0	2
37160	20700.0	32
37166	8250.0	11
37167	10600.0	18
37171	0	0
37172	4143.0	10
37174	6412.0	9
37175	0	0
37178	0	0
37179	12350.0	11
37180	0	0
37181	250.0	1
37183	0	0
37184	0	0
37185	1700.0	4
37186	250.0	1
37187	3100.0	7
37188	-25.0	1
37189	0	0
37190	2250.0	6
37191	0	0
371HH	0	0
371XX	0	0
37201	74740.0	81
37203	143097.0	156
37204	108990.0	134
37205	1070270.0	1147
37206	26652.0	60
37207	8061.0	16
37208	20650.0	31
37209	40380.0	81
37210	6341.0	13
37211	36482.0	50
37212	128450.0	182
37213	0	0
37214	19250.0	34
37215	1009422.0	1129
37216	3050.0	9
37217	11810.0	26
37218	11296.0	17
37219	54751.0	72
37220	107299.0	133
37221	101950.0	127
37228	57150.0	41
372HH	0	0
37301	0	0
37302	2750.0	3
37303	10625.0	21
37305	700.0	3
37306	0	0
37307	4000.0	11
37308	0	0
37309	0	0
37310	9200.0	9
37311	67925.0	69
37312	106006.0	91
37313	0	0
37316	0	0
37317	0	0
37318	0	0
37321	21550.0	18
37322	3100.0	5
37323	1401.0	3
37324	550.0	2
37325	400.0	2
37326	0	0
37327	5301.0	9
37328	0	0
37329	0	0
37330	1500.0	2
37331	1850.0	2
37332	0	0
37333	0	0
37334	13210.0	21
37335	400.0	1
37336	250.0	1
37337	0	0
37338	2300.0	2
37339	500.0	1
37340	0	0
37341	6607.0	14
37342	0	0
37343	81967.0	108
37345	0	0
37347	7450.0	13
37348	0	0
37350	233714.0	267
37351	0	0
37352	500.0	2
37353	13560.0	15
37354	7200.0	12
37355	11900.0	27
37356	14650.0	15
37357	2500.0	2
37359	0	0
37360	0	0
37361	10000.0	6
37362	0	0
37363	99276.0	89
37365	0	0
37366	1000.0	1
