zoneID	money	freq
75001	37321.0	44
75002	3800.0	7
75006	7150.0	21
75007	12000.0	24
75009	0	0
75010	2750.0	10
75013	14400.0	25
75019	25750.0	46
75020	7150.0	15
75021	200.0	1
75022	30791.0	31
75023	13100.0	33
75024	23198.0	44
75025	30311.0	58
75028	40200.0	35
75032	16558.0	33
75034	104692.0	99
75035	11200.0	15
75038	51560.0	62
75039	8850.0	11
75040	5907.0	11
75041	1000.0	1
75042	750.0	2
75043	18244.0	44
75044	12900.0	28
75048	1700.0	3
75050	1295.0	7
75051	750.0	2
75052	4831.0	15
75056	7635.0	15
75057	2400.0	9
75058	1500.0	3
75060	6150.0	6
75061	12620.0	17
75062	39348.0	46
75063	24495.0	50
75065	750.0	2
75067	9850.0	19
75068	5050.0	9
75069	10700.0	18
75070	29964.0	51
75074	6275.0	9
75075	12850.0	34
75076	1250.0	5
75077	8650.0	16
75078	1300.0	4
75080	18500.0	36
75081	42750.0	70
75082	20800.0	40
75087	13850.0	17
75088	3514.0	6
75089	2550.0	2
75090	23450.0	21
75092	19866.0	44
75093	88626.0	125
75094	11400.0	20
75098	5435.0	16
750HH	0	0
75101	0	0
75102	0	0
75103	2550.0	4
75104	13800.0	23
75105	5000.0	1
75110	1750.0	5
75114	400.0	1
75115	11363.0	22
75116	9424.0	23
75117	300.0	1
75119	1500.0	4
75121	0	0
75124	0	0
75125	0	0
75126	2800.0	3
75127	0	0
75132	0	0
75134	0	0
75135	0	0
75137	2450.0	8
75140	1000.0	1
75141	305.0	1
75142	0	0
75143	200.0	1
75144	1000.0	1
75146	400.0	1
75147	0	0
75148	0	0
75149	2521.0	5
75150	7216.0	10
75152	0	0
75153	0	0
75154	5000.0	6
75155	0	0
75158	0	0
75159	0	0
75160	3800.0	6
75161	0	0
75163	350.0	1
75164	0	0
75165	5050.0	10
75166	0	0
75167	500.0	2
75169	1500.0	3
75172	0	0
75173	0	0
75180	0	0
75181	3550.0	8
75182	8000.0	8
75189	250.0	1
751HH	0	0
75201	269324.0	250
75202	14600.0	19
75203	2469.0	4
75204	151199.0	172
75205	557856.0	563
75206	91937.0	126
75207	11700.0	9
75208	116497.0	114
75209	284431.0	285
75210	4000.0	3
75211	1200.0	5
75212	500.0	2
75214	194386.0	231
75215	950.0	3
75216	0	0
75217	250.0	1
75218	38703.0	70
75219	262364.0	354
75220	147100.0	168
75223	7200.0	18
75224	3000.0	8
75225	392901.0	393
75226	4450.0	9
75227	2250.0	7
75228	15699.0	28
75229	233288.0	278
75230	380054.0	361
75231	26830.0	47
75232	14525.0	21
75233	6950.0	15
75234	82550.0	134
75235	17250.0	25
75236	500.0	2
75237	1500.0	2
75238	14750.0	26
75240	55462.0	88
75241	0	0
75243	24480.0	30
75244	53000.0	56
75246	200.0	1
75247	19000.0	11
75248	79775.0	133
75249	1343.0	14
75251	3700.0	4
75252	34405.0	33
75253	0	0
75270	9050.0	9
75287	47851.0	42
752HH	0	0
75401	1150.0	4
75402	1800.0	6
75407	0	0
75409	0	0
75410	0	0
75411	0	0
75412	0	0
75413	0	0
75414	0	0
75415	0	0
75416	0	0
75417	0	0
75418	850.0	4
75420	1000.0	1
75421	0	0
75422	9275.0	16
75423	0	0
75424	0	0
75426	0	0
75428	1525.0	5
75431	0	0
75432	0	0
75433	456.0	2
75434	0	0
75435	0	0
75436	0	0
75437	0	0
75438	0	0
75439	0	0
75440	0	0
75441	0	0
75442	250.0	1
75444	0	0
75446	0	0
75447	0	0
75448	200.0	1
75449	0	0
75450	0	0
75451	0	0
75452	0	0
75453	0	0
75454	0	0
75455	15550.0	12
75457	500.0	2
75459	250.0	1
75460	1500.0	3
75462	1500.0	2
75468	300.0	1
75469	0	0
75470	0	0
75471	0	0
75472	0	0
75473	0	0
75474	0	0
75475	0	0
75476	250.0	1
75477	0	0
75478	0	0
75479	0	0
75480	7400.0	4
75481	0	0
75482	4900.0	11
75485	0	0
75486	0	0
75487	0	0
75488	3300.0	3
75489	0	0
75490	400.0	2
75491	250.0	1
75492	0	0
75493	500.0	1
75494	300.0	1
75495	205.0	1
75496	0	0
75497	0	0
754HH	0	0
75501	1000.0	1
75503	128500.0	100
75550	0	0
75551	450.0	2
75554	0	0
75555	0	0
75556	0	0
75558	0	0
75559	0	0
75560	0	0
75561	0	0
75562	0	0
75563	250.0	1
75564	0	0
75565	0	0
75566	500.0	1
75567	0	0
75568	2300.0	1
75569	500.0	1
75570	8400.0	7
75571	0	0
75572	0	0
75573	0	0
75574	0	0
755HH	0	0
755XX	0	0
75601	18020.0	17
75602	1500.0	1
75603	3300.0	3
75604	8700.0	13
75605	31950.0	26
75630	0	0
75631	0	0
75633	1200.0	3
75636	0	0
75638	48650.0	24
75639	0	0
75640	0	0
75641	0	0
75643	0	0
75644	1000.0	10
75647	400.0	2
75650	0	0
75651	3000.0	8
75652	250.0	1
75654	250.0	1
75656	0	0
75657	500.0	4
75661	0	0
75662	0	0
75667	0	0
75668	0	0
75669	0	0
75670	32400.0	31
75672	16300.0	24
75680	0	0
75681	0	0
75683	200.0	1
75684	0	0
75686	500.0	2
75691	0	0
75692	10200.0	5
75693	0	0
756HH	0	0
75701	15500.0	32
75702	5200.0	10
75703	9460.0	27
75704	2300.0	1
75705	0	0
75706	0	0
75707	500.0	1
75708	0	0
75709	0	0
