zoneID	money	freq
75001	124650.0	105
75002	42487.0	48
75006	29634.0	43
75007	12670.0	25
75009	13048.0	46
75010	23900.0	25
75013	16650.0	21
75019	64050.0	80
75020	37075.0	62
75021	5369.0	13
75022	49116.0	87
75023	29952.0	38
75024	74950.0	62
75025	30300.0	53
75028	25921.0	34
75032	35690.0	42
75034	177977.0	223
75035	37808.0	44
75038	44765.0	46
75039	64100.0	48
75040	2251.0	9
75041	5500.0	4
75042	933.0	1
75043	9158.0	24
75044	8323.0	16
75048	3406.0	13
75050	1450.0	5
75051	4100.0	8
75052	5600.0	10
75056	11630.0	23
75057	250.0	1
75058	8500.0	16
75060	600.0	1
75061	14053.0	24
75062	113600.0	103
75063	29852.0	45
75065	2900.0	2
75067	24550.0	33
75068	200.0	1
75069	72286.0	87
75070	310096.0	322
75074	23953.0	32
75075	29755.0	70
75076	10730.0	16
75077	33076.0	50
75078	10050.0	18
75080	24001.0	56
75081	4529.0	19
75082	43950.0	52
75087	47050.0	65
75088	12600.0	20
75089	750.0	1
75090	5666.0	6
75092	14000.0	20
75093	307628.0	325
75094	17950.0	17
75098	4258.0	12
750HH	0	0
75101	0	0
75102	0	0
75103	3787.0	11
75104	15715.0	37
75105	0.0	2
75110	11535.0	17
75114	0	0
75115	15350.0	16
75116	2051.0	7
75117	500.0	2
75119	5500.0	13
75121	200.0	1
75124	1550.0	3
75125	250.0	1
75126	2500.0	7
75127	0	0
75132	0	0
75134	1000.0	1
75135	0	0
75137	5450.0	7
75140	250.0	1
75141	500.0	1
75142	3650.0	5
75143	970.0	3
75144	1500.0	2
75146	0	0
75147	500.0	1
75148	1000.0	2
75149	22200.0	17
75150	25750.0	56
75152	0	0
75153	0	0
75154	9900.0	15
75155	1000.0	1
75158	0	0
75159	2000.0	3
75160	15100.0	24
75161	200.0	1
75163	250.0	1
75164	0	0
75165	5675.0	8
75166	1000.0	1
75167	0	0
75169	0	0
75172	0	0
75173	0	0
75180	0	0
75181	500.0	1
75182	3050.0	15
75189	8800.0	14
751HH	0	0
75201	539701.0	521
75202	32500.0	37
75203	500.0	1
75204	134244.0	143
75205	1164814.0	1199
75206	92453.0	105
75207	15541.0	17
75208	19045.0	33
75209	205600.0	192
75210	0	0
75211	0	0
75212	250.0	1
75214	142910.0	128
75215	0	0
75216	250.0	1
75217	0	0
75218	21300.0	32
75219	265191.0	292
75220	210252.0	175
75223	500.0	1
75224	1000.0	3
75225	713374.0	841
75226	500.0	1
75227	0	0
75228	5950.0	16
75229	216006.0	237
75230	459601.0	493
75231	87676.0	106
75232	18553.0	31
75233	0	0
75234	21420.0	27
75235	104176.0	97
75236	0	0
75237	500.0	1
75238	32600.0	54
75240	184441.0	174
75241	0	0
75243	23424.0	49
75244	111950.0	105
75246	9850.0	10
75247	9700.0	16
75248	133356.0	184
75249	0	0
75251	11200.0	14
75252	58247.0	80
75253	200.0	1
75270	41400.0	72
75287	110651.0	114
752HH	0	0
75401	0	0
75402	7050.0	10
75407	1000.0	1
75409	4100.0	9
75410	0	0
75411	0	0
75412	0	0
75413	0	0
75414	0	0
75415	0	0
75416	0	0
75417	0	0
75418	1450.0	4
75420	0	0
75421	0	0
75422	451.0	2
75423	0	0
75424	2375.0	2
75426	220.0	1
75428	201.0	1
75431	0	0
75432	0	0
75433	0	0
75434	0	0
75435	0	0
75436	0	0
75437	700.0	2
75438	0	0
75439	0	0
75440	0	0
75441	0	0
75442	550.0	2
75444	0	0
75446	0	0
75447	0	0
75448	0	0
75449	0	0
75450	0	0
75451	200.0	1
75452	0	0
75453	0	0
75454	3537.0	6
75455	28350.0	49
75457	1000.0	1
75459	4500.0	4
75460	4250.0	9
75462	2800.0	3
75468	500.0	1
75469	0	0
75470	2600.0	4
75471	0	0
75472	500.0	2
75473	500.0	1
75474	2450.0	3
75475	0	0
75476	0	0
75477	0	0
75478	0	0
75479	0	0
75480	240.0	1
75481	0	0
75482	750.0	3
75485	0	0
75486	0	0
75487	-86.0	1
75488	1250.0	2
75489	0	0
75490	0	0
75491	0	0
75492	0	0
75493	0	0
75494	700.0	2
75495	2500.0	5
75496	0	0
75497	0	0
754HH	0	0
75501	6525.0	11
75503	88135.0	151
75550	0	0
75551	0	0
75554	0	0
75555	0	0
75556	0	0
75558	0	0
75559	2750.0	8
75560	0	0
75561	1250.0	2
75562	0	0
75563	250.0	1
75564	0	0
75565	0	0
75566	0	0
75567	0	0
75568	250.0	1
75569	1250.0	3
75570	6200.0	13
75571	0	0
75572	0	0
75573	0	0
75574	0	0
755HH	0	0
755XX	0	0
75601	34100.0	46
75602	7650.0	12
75603	1250.0	2
75604	18412.0	32
75605	40928.0	70
75630	4738.0	9
75631	1250.0	3
75633	59500.0	71
75636	0	0
75638	4500.0	4
75639	5600.0	4
75640	0	0
75641	0	0
75643	750.0	2
75644	3300.0	2
75647	14100.0	22
75650	1250.0	4
75651	0	0
75652	12050.0	16
75654	24396.0	31
75656	0	0
75657	2550.0	2
75661	250.0	1
75662	23200.0	44
75667	2050.0	8
75668	0	0
75669	0	0
75670	10300.0	15
75672	29030.0	37
75680	0	0
75681	2250.0	3
75683	0	0
75684	1500.0	3
75686	72450.0	59
75691	0	0
75692	0	0
75693	3800.0	5
756HH	0	0
75701	167270.0	208
75702	28440.0	45
