zoneID	money	freq
98001	15799.0	21
98002	772.0	3
98003	13450.0	14
98004	252414.0	359
98005	144457.0	135
98006	88466.0	131
98007	14801.0	30
98008	30100.0	36
98010	2050.0	5
98011	11701.0	17
98012	19062.0	27
98014	10850.0	14
98019	10895.0	22
98020	26130.0	66
98021	11300.0	27
98022	7100.0	16
98023	11650.0	20
98024	8600.0	15
98025	0	0
98026	15580.0	32
98027	43088.0	53
98028	3850.0	8
98029	10250.0	13
98031	12902.0	22
98032	11950.0	20
98033	79069.0	113
98034	23118.0	30
98036	3450.0	6
98037	5250.0	8
98038	13201.0	21
98039	162350.0	145
98040	211008.0	269
98042	33190.0	42
98043	1826.0	6
98045	14450.0	23
98047	0	0
98051	900.0	2
98052	81265.0	124
98053	34500.0	44
98055	4850.0	7
98056	5446.0	14
98058	13406.0	18
98059	13600.0	23
98065	7510.0	10
98068	250.0	1
98070	3100.0	6
98072	18900.0	36
98092	29704.0	43
980HH	0	0
980XX	0	0
98101	76910.0	94
98102	38703.0	45
98103	6182.0	20
98104	57425.0	61
98105	137797.0	109
98106	1250.0	3
98107	27818.0	51
98108	25050.0	26
98109	25370.0	39
98110	70048.0	86
98112	80896.0	132
98115	17300.0	34
98116	13460.0	26
98117	24650.0	32
98118	12375.0	25
98119	27500.0	47
98121	47459.0	67
98122	23546.0	44
98125	8790.0	23
98126	2900.0	7
98133	7265.0	20
98134	3500.0	3
98136	9709.0	17
98144	38201.0	35
98146	4950.0	7
98148	0	0
98154	1000.0	2
98155	11175.0	28
98164	0	0
98166	9050.0	16
98168	12496.0	13
98174	0	0
98177	207600.0	86
98178	500.0	1
98188	19150.0	17
98198	18450.0	25
98199	25450.0	37
981HH	0	0
98201	4450.0	10
98203	5450.0	8
98204	1000.0	4
98205	3250.0	8
98208	3150.0	6
98220	0	0
98221	24464.0	35
98222	0	0
98223	7995.0	78
98224	0	0
98225	5550.0	9
98226	2950.0	12
98230	19886.0	19
98232	300.0	1
98233	3150.0	6
98235	0	0
98236	10770.0	16
98237	0	0
98238	500.0	1
98239	2250.0	4
98240	2300.0	5
98241	250.0	1
98243	11850.0	10
98244	0	0
98245	2500.0	6
98247	1700.0	3
98248	2230.0	5
98249	1000.0	2
98250	7350.0	7
98251	0	0
98252	500.0	1
98253	4900.0	3
98256	0	0
98257	500.0	1
98258	2900.0	7
98260	500.0	1
98261	0	0
98262	500.0	1
98264	52400.0	48
98267	0	0
98270	5950.0	11
98271	6275.0	18
98272	13300.0	19
98273	2500.0	6
98274	200.0	1
98275	14492.0	23
98277	4671.0	11
98279	0	0
98280	250.0	1
98281	0	0
98283	2200.0	2
98284	4900.0	4
98286	0	0
98288	0	0
98290	12850.0	21
98292	5700.0	11
98294	0	0
98295	0	0
98296	8494.0	15
98297	0	0
982HH	0	0
982XX	0	0
98303	250.0	1
98304	0	0
98305	0	0
98310	6900.0	3
98311	901.0	3
98312	5450.0	14
98315	0	0
98320	2250.0	3
98321	2500.0	8
98323	0	0
98325	0	0
98326	0	0
98327	0	0
98328	9400.0	6
98329	800.0	2
98330	0	0
98331	0	0
98332	16001.0	21
98333	5000.0	8
98335	18875.0	32
98336	0	0
98337	200.0	1
98338	0	0
98339	200.0	1
98340	1875.0	3
98342	1300.0	5
98345	0	0
98346	6651.0	20
98349	0	0
98350	0	0
98351	0	0
98353	0	0
98354	2500.0	3
98355	600.0	3
98356	0	0
98357	0	0
98358	300.0	1
98359	1900.0	5
98360	1250.0	3
98361	0	0
98362	6015.0	8
98363	2160.0	3
98364	0	0
98365	7462.0	9
98366	4260.0	12
98367	3200.0	6
98368	4178.0	6
98370	12600.0	20
98371	2500.0	5
98372	4000.0	7
98373	3200.0	8
98374	8251.0	13
98375	1800.0	3
98376	500.0	1
98377	0	0
98380	1001.0	3
98381	0	0
98382	8857.0	13
98383	2800.0	10
98385	0	0
98387	801.0	4
98388	450.0	2
98390	3200.0	3
98392	500.0	1
98394	0	0
98396	0	0
983HH	0	0
983XX	0	0
98402	13600.0	12
98403	4999.0	7
98404	1250.0	2
98405	26690.0	26
98406	750.0	3
98407	31542.0	20
98408	1500.0	7
98409	803.0	4
98421	0	0
98422	9450.0	15
98424	0	0
98433	1300.0	3
98439	0	0
98443	0	0
98444	2000.0	2
98445	1200.0	3
98446	0	0
98465	1750.0	4
98466	3582.0	8
98467	0	0
98498	4801.0	13
98499	38030.0	35
984HH	0	0
98501	12750.0	25
98502	24701.0	25
98503	3700.0	8
98506	1950.0	4
98512	3500.0	5
98513	3100.0	3
98516	4900.0	8
98520	0	0
98524	0	0
98526	0	0
98527	0	0
98528	3200.0	6
98530	0	0
98531	6900.0	10
98532	8143.0	16
98533	0	0
98535	0	0
98536	0	0
98537	0	0
98538	0	0
98539	0	0
98541	0	0
98542	0	0
98546	0	0
98547	0	0
98548	0	0
98550	0	0
98552	0	0
98555	250.0	1
98557	300.0	1
98559	0	0
98560	0	0
98562	0	0
98563	250.0	1
98564	0	0
98565	0	0
98568	0	0
98569	0	0
98570	0	0
98571	0	0
98572	400.0	2
98575	0	0
98576	0	0
98577	750.0	4
98579	500.0	1
98580	0	0
98581	0	0
98582	0	0
98584	1201.0	4
98585	0	0
98586	250.0	1
98587	0	0
98588	0	0
98589	0	0
98590	0	0
98591	500.0	1
98592	2300.0	1
98593	0	0
98595	2000.0	1
98596	2171.0	3
98597	5800.0	14
985HH	0	0
985XX	0	0
98601	0	0
98602	0	0
98603	0	0
98604	1015.0	3
98605	0	0
98606	21100.0	29
98607	50029.0	47
98610	1500.0	2
98611	200.0	1
98612	1000.0	5
98613	200.0	1
98614	0	0
98616	0	0
98617	0	0
98619	0	0
