zoneID	money	freq
53001	0	0
53002	0	0
53003	0	0
53004	0	0
53005	55410.0	92
53006	8000.0	6
53007	406.0	2
53010	0	0
53011	250.0	1
53012	24539.0	32
53013	900.0	3
53014	1270.0	6
53015	451.0	2
53016	0	0
53017	4600.0	16
53018	14833.0	29
53019	0	0
53020	4850.0	9
53021	950.0	3
53022	5950.0	13
53023	0	0
53024	7523.0	15
53027	9368.0	22
53029	46129.0	76
53032	1750.0	3
53033	700.0	3
53034	0	0
53035	0	0
53036	0	0
53037	2287.0	9
53038	0	0
53039	200.0	1
53040	0	0
53042	1450.0	6
53044	9241.0	17
53045	75632.0	141
53046	0	0
53047	0	0
53048	0	0
53049	750.0	2
53050	250.0	1
53051	10770.0	24
53057	0	0
53058	9900.0	18
53059	250.0	1
53061	10835.0	13
53063	0	0
53065	1000.0	1
53066	32430.0	54
53069	950.0	4
53070	2600.0	11
53072	30000.0	74
53073	7476.0	11
53074	5950.0	12
53075	1000.0	1
53076	0	0
53078	400.0	2
53079	500.0	2
53080	0	0
53081	20090.0	24
53083	10400.0	15
53085	1750.0	3
53086	5100.0	3
53088	0	0
53089	2670.0	4
53090	250.0	1
53091	450.0	2
53092	159721.0	310
53093	400.0	2
53094	4400.0	8
53095	16850.0	40
53097	19400.0	48
53098	1150.0	4
530HH	0	0
53103	2300.0	1
53104	1700.0	5
53105	26675.0	55
53108	500.0	2
53110	4300.0	6
53114	0	0
53115	15050.0	28
53118	2700.0	7
53119	3450.0	5
53120	2000.0	3
53121	12305.0	25
53122	40200.0	78
53125	3100.0	9
53126	9300.0	15
53128	200.0	1
53129	19926.0	55
53130	3800.0	14
53132	20651.0	45
53137	1750.0	4
53139	1000.0	1
53140	14413.0	187
53142	16655.0	33
53143	1017.0	34
53144	8739.0	33
53146	0	0
53147	35049.0	75
53148	0	0
53149	5235.0	16
53150	6375.0	17
53151	24200.0	67
53153	0	0
53154	13050.0	24
53156	6000.0	14
53158	14788.0	154
53167	0	0
53168	4887.0	9
53170	0	0
53172	176.0	2
53176	0	0
53177	850.0	4
53178	450.0	2
53179	3500.0	6
53181	0	0
53182	1000.0	4
53183	2900.0	5
53184	3400.0	6
53185	935.0	4
53186	14731.0	49
53188	14400.0	23
53189	8050.0	30
53190	26650.0	72
53191	6650.0	21
53192	0	0
53195	0	0
531HH	0	0
53202	415341.0	373
53203	29950.0	37
53204	1250.0	2
53205	700.0	3
53206	500.0	1
53207	20633.0	43
53208	11926.0	26
53209	18177.0	44
53210	1250.0	5
53211	149892.0	363
53212	6250.0	16
53213	22329.0	48
53214	12101.0	9
53215	10950.0	16
53216	3800.0	9
53217	278517.0	467
53218	1750.0	6
53219	1930.0	7
53220	6796.0	16
53221	8775.0	14
53222	700.0	3
53223	17550.0	33
53224	20250.0	22
53225	200.0	1
53226	37803.0	59
53227	8550.0	7
53228	7550.0	16
53233	10800.0	13
53235	2950.0	9
532HH	0	0
53402	41434.0	82
53403	40250.0	55
53404	0	0
53405	10950.0	25
53406	19500.0	40
534HH	0	0
53502	0	0
53503	1000.0	3
53504	0	0
53505	0	0
53506	0	0
53507	1250.0	4
53508	1950.0	6
53510	0	0
53511	15100.0	32
53515	0	0
53516	1000.0	1
53517	2000.0	7
53518	1000.0	4
53520	250.0	1
53521	1275.0	5
53522	0	0
53523	7400.0	11
53525	750.0	2
53526	0	0
53527	885.0	3
53528	10100.0	24
53529	0	0
53530	0	0
53531	366.0	3
53532	8828.0	27
53533	7100.0	27
53534	4375.0	15
53536	4051.0	13
53537	0	0
53538	2200.0	5
53540	0	0
53541	0	0
53543	0	0
53544	0	0
53545	71910.0	133
53546	14450.0	46
53549	500.0	2
53550	0	0
53551	3550.0	11
53553	0	0
53554	0	0
53555	8100.0	30
53556	0	0
53557	0	0
53558	4165.0	11
53559	500.0	2
53560	1250.0	5
53561	1500.0	4
53562	101158.0	268
53563	6100.0	13
53565	1600.0	6
53566	6750.0	19
53569	0	0
53570	0	0
53571	0	0
53572	5566.0	14
53573	900.0	2
53574	1908.0	6
53575	6000.0	17
53576	0	0
53577	2000.0	8
53578	2850.0	9
53579	0	0
53580	0	0
53581	4890.0	12
53582	400.0	2
53583	950.0	4
53585	0	0
53586	500.0	1
53587	0	0
53588	6950.0	23
53589	13300.0	33
53590	15850.0	38
53593	54880.0	109
53594	3701.0	13
53597	13786.0	22
53598	2400.0	6
535HH	0	0
53703	160882.0	240
53704	150115.0	342
53705	235682.0	621
53706	3400.0	6
53711	130764.0	356
53713	162555.0	160
53714	1926.0	6
53715	6500.0	15
53716	22120.0	59
53717	56867.0	133
53718	10100.0	21
53719	36299.0	95
537HH	0	0
53801	0	0
53803	250.0	1
53804	0	0
53805	200.0	1
53806	250.0	1
53807	0	0
53808	0	0
53809	0	0
53810	0	0
53811	0	0
53813	1750.0	4
53816	0	0
53817	0	0
53818	2050.0	8
53820	500.0	1
53821	8525.0	10
53825	0	0
53826	0	0
53827	0	0
538HH	0	0
53901	3650.0	13
53910	0	0
53911	0	0
53913	4750.0	17
53916	8550.0	9
53919	200.0	1
53920	0	0
53922	0	0
53923	500.0	2
53924	0	0
53925	3750.0	12
53926	600.0	3
53928	0	0
53929	0	0
53930	0	0
53931	0	0
53932	0	0
53933	0	0
53934	0	0
53935	0	0
53936	0	0
53937	34802.0	21
53939	0	0
53940	250.0	1
53941	1000.0	1
53943	0	0
53944	0	0
53946	400.0	2
53947	0	0
53948	750.0	2
53949	3000.0	7
53950	800.0	2
53951	0	0
53952	1200.0	4
53953	0	0
53954	750.0	3
53955	1550.0	6
53956	200.0	1
53959	987.0	1
53960	0	0
53961	0	0
53962	0	0
53963	250.0	1
53964	0	0
53965	6450.0	15
53968	1000.0	1
53969	0	0
539HH	0	0
54001	2382.0	4
54002	0	0
54003	0	0
54004	0	0
54005	200.0	1
54006	0	0
54007	0	0
54009	1064.0	3
54011	360.0	1
54012	0	0
54013	0	0
54014	0	0
54015	1300.0	4
54016	40550.0	68
54017	3550.0	12
54020	10950.0	7
54021	150.0	2
54022	14701.0	39
54023	250.0	1
54024	200.0	1
54025	0	0
54026	250.0	1
54027	200.0	1
54028	0	0
54082	1900.0	7
540HH	0	0
54101	550.0	2
54102	0	0
54103	208.0	1
54104	0	0
54106	3206.0	6
54107	700.0	2
54110	3300.0	8
54111	1200.0	2
54112	0	0
54113	2850.0	5
54114	1100.0	5
54115	183082.0	248
54119	0	0
54120	0	0
54121	0	0
54123	0	0
54124	1000.0	2
54125	0	0
54126	1100.0	4
54127	0	0
54128	5100.0	5
54129	1950.0	4
54130	10850.0	18
54135	1400.0	3
54136	450.0	2
54137	0	0
54138	0	0
54139	450.0	2
54140	0	0
54141	1250.0	2
54143	7316.0	22
54149	600.0	2
54150	0	0
54151	6600.0	4
54152	0	0
54153	650.0	3
54154	750.0	2
54155	70698.0	67
54156	0	0
54157	15900.0	19
54159	250.0	1
54160	0	0
54161	0	0
54162	2447.0	3
54165	200.0	1
54166	4300.0	17
54169	1700.0	5
54170	0	0
54171	0	0
54173	5400.0	10
54174	0	0
54175	0	0
54177	0	0
54180	0	0
541HH	0	0
541XX	0	0
54201	4850.0	4
54202	3225.0	12
54204	5250.0	5
54205	0	0
54207	0	0
54208	200.0	1
54209	2500.0	7
54210	4150.0	14
54211	4250.0	8
54212	2700.0	11
54213	0	0
54214	0	0
54215	0	0
54216	2200.0	8
54217	8800.0	11
54220	30404.0	80
54227	250.0	1
54228	950.0	3
54229	1000.0	2
54230	0	0
54232	0	0
54234	3400.0	11
54235	15366.0	38
54240	0	0
54241	3500.0	7
54245	0	0
54246	2500.0	5
54247	0	0
542HH	0	0
54301	99461.0	165
54302	13400.0	28
54303	1800.0	6
54304	26550.0	44
54311	18650.0	49
54313	98399.0	148
543HH	0	0
54401	15600.0	41
54403	17950.0	53
54405	0	0
54406	0	0
54407	1900.0	11
54408	200.0	1
54409	4300.0	6
54410	500.0	1
54411	0	0
54412	0	0
54413	0	0
54414	0	0
54416	5100.0	5
54417	0	0
54418	450.0	4
54420	500.0	1
54421	0	0
54422	0	0
54423	1150.0	3
54424	0	0
54425	0	0
54426	250.0	1
54427	0	0
54428	0	0
54430	0	0
54433	0	0
54435	0	0
54436	0	0
54437	0	0
54440	0	0
54441	0	0
54442	0	0
54443	0	0
54446	0	0
54447	0	0
54448	1200.0	2
54449	25350.0	71
54451	2550.0	8
54452	3200.0	4
54454	0	0
54455	3350.0	9
54456	1500.0	3
54457	750.0	3
54459	0	0
54460	0	0
54462	0	0
54463	0	0
54465	0	0
54466	0	0
54467	10075.0	14
54469	4160.0	3
54470	0	0
54471	750.0	3
54473	0	0
54474	250.0	1
54475	34733.0	11
54476	4150.0	7
54479	0	0
54480	0	0
54481	19800.0	32
