zoneID	money	freq
24701	12950.0	20
24712	0	0
24714	0	0
24715	2000.0	3
24716	0	0
24719	0	0
24724	0	0
24726	0	0
24731	0	0
24733	0	0
24736	0	0
24737	0	0
24739	0	0
24740	31000.0	35
24747	0	0
24801	1000.0	4
24808	0	0
24811	0	0
24813	0	0
24815	0	0
24816	0	0
24817	0	0
24818	0	0
24821	0	0
24822	0	0
24823	0	0
24824	0	0
24825	0	0
24827	0	0
24828	0	0
24829	0	0
24830	0	0
24831	0	0
24836	0	0
24839	0	0
24842	0	0
24843	0	0
24844	0	0
24845	0	0
24846	0	0
24848	0	0
24849	0	0
24850	0	0
24851	0	0
24852	0	0
24853	0	0
24854	0	0
24855	0	0
24856	0	0
24857	0	0
24860	0	0
24861	0	0
24862	0	0
24866	0	0
24867	0	0
24868	0	0
24869	0	0
24870	0	0
24871	0	0
24872	0	0
24873	0	0
24874	3001.0	3
24879	0	0
24880	0	0
24881	0	0
24882	0	0
24884	0	0
24887	0	0
24888	0	0
24892	0	0
24894	0	0
24895	0	0
24897	0	0
24898	0	0
248HH	0	0
24901	52095.0	95
24910	0	0
24915	0	0
24916	0	0
24918	0	0
24919	0	0
24920	0	0
24924	0	0
24925	0	0
24927	500.0	1
24931	0	0
24934	1000.0	2
24935	0	0
24936	0	0
24938	0	0
24941	500.0	1
24943	0	0
24944	800.0	2
24945	0	0
24946	0	0
24950	0	0
24951	0	0
24954	1000.0	2
24957	0	0
24962	0	0
24963	-225.0	1
24966	500.0	1
24970	950.0	3
24974	0	0
24976	0	0
24977	0	0
24981	0	0
24983	2800.0	7
24984	0	0
24985	0	0
24986	18531.0	27
24991	0	0
249HH	0	0
249XX	0	0
25002	0	0
25003	1700.0	3
25005	3500.0	7
25007	0	0
25008	0	0
25009	0	0
25010	0	0
25011	0	0
25015	0	0
25019	0	0
25021	0	0
25022	0	0
25024	0	0
25025	0	0
25028	0	0
25030	0	0
25031	0	0
25033	0	0
25035	0	0
25036	0	0
25039	0	0
25040	9300.0	13
25043	7500.0	9
25044	0	0
25045	0	0
25047	0	0
25048	0	0
25049	0	0
25051	0	0
25053	2000.0	2
25054	0	0
25057	0	0
25059	0	0
25060	0	0
25063	250.0	1
25064	2900.0	10
25067	0	0
25070	0	0
25071	11933.0	18
25075	0	0
25076	0	0
25081	0	0
25082	1250.0	3
25083	200.0	1
25085	0	0
25086	0	0
25088	0	0
25090	0	0
250HH	0	0
250XX	0	0
25102	0	0
25103	0	0
25106	200.0	1
25107	0	0
25108	0	0
25109	0	0
25110	0	0
25111	0	0
25113	3000.0	3
25114	0	0
25115	0	0
25118	0	0
25119	0	0
25121	0	0
25123	2500.0	2
25124	0	0
25125	0	0
25126	0	0
25130	4300.0	8
25132	0	0
25133	0	0
25134	0	0
25136	41300.0	27
25139	8850.0	8
25140	0	0
25141	0	0
25143	12230.0	15
25148	0	0
25149	0	0
25150	0	0
25152	0	0
25154	0	0
25159	6200.0	7
25160	0	0
25161	0	0
25162	0	0
25164	3500.0	3
25165	200.0	1
25168	500.0	1
25169	0	0
25173	0	0
25174	0	0
25177	15981.0	19
25181	0	0
25183	0	0
25186	2300.0	1
25187	0	0
25193	0	0
251HH	0	0
25202	250.0	1
25204	0	0
25205	1700.0	5
25206	0	0
25208	0	0
25209	0	0
25211	0	0
25213	14450.0	17
25214	0	0
25231	0	0
25234	600.0	2
25235	0	0
25239	5000.0	7
25241	0	0
25243	0	0
25244	0	0
25245	4350.0	7
25247	0	0
25248	1750.0	4
25251	0	0
25252	0	0
25253	0	0
25259	5000.0	3
25260	1000.0	3
25261	0	0
25262	0	0
25264	0	0
