zoneID	money	freq
82001	109367.0	82
82007	19250.0	22
82009	93888.0	152
82050	0	0
82051	0	0
82052	500.0	1
82053	2500.0	6
82054	0	0
82055	0	0
82058	0	0
82059	0	0
82060	0	0
82061	2000.0	2
82063	0	0
82070	9450.0	25
82072	28450.0	40
82081	600.0	2
82082	0	0
82083	200.0	1
82084	200.0	1
82190	0	0
82201	31768.0	41
82210	750.0	2
82212	0	0
82213	0	0
82214	0	0
82215	0	0
82217	0	0
82218	0	0
82219	0	0
82221	2500.0	4
82222	0	0
82223	700.0	3
82224	0	0
82225	750.0	2
82227	0	0
82240	4045.0	10
82242	0	0
82243	0	0
82244	0	0
822HH	0	0
82301	4550.0	8
82310	0	0
82321	0	0
82322	0	0
82323	0	0
82324	2000.0	2
82325	500.0	1
82327	0	0
82329	0	0
82331	16100.0	20
82332	0	0
82335	0	0
82336	0	0
823HH	0	0
82401	11250.0	13
82410	1000.0	2
82411	0	0
82412	0	0
82414	125884.0	122
82420	0	0
82421	0	0
82422	0	0
82423	0	0
82426	0	0
82428	0	0
82430	0	0
82431	500.0	2
82432	0	0
82433	2351.0	6
82434	0	0
82435	7300.0	8
82440	500.0	1
82441	600.0	2
82442	450.0	2
82443	6001.0	15
824HH	0	0
824XX	0	0
82501	15250.0	25
82510	0	0
82512	0	0
82513	6000.0	11
82514	0	0
82515	0	0
82516	1000.0	2
82520	28507.0	32
82523	550.0	2
825HH	0	0
82601	102913.0	179
82604	56990.0	102
82609	67929.0	95
82620	1000.0	1
82633	28500.0	47
82635	0	0
82636	2000.0	3
82637	13550.0	19
82639	10450.0	6
82640	0	0
82642	2000.0	2
82643	250.0	1
82644	5500.0	7
82649	450.0	2
826HH	0	0
82701	11350.0	22
82710	1000.0	2
82711	0	0
82712	1300.0	1
82714	1250.0	2
82716	10333.0	21
82717	44005.0	65
82718	29350.0	47
82720	8750.0	10
82721	200.0	1
82723	0	0
82725	0	0
82727	0	0
82729	1750.0	3
82730	0	0
82731	0	0
82732	1000.0	4
82801	51731.0	91
82831	0	0
82832	1250.0	3
82833	15085.0	22
82834	1225612.0	109
82835	2250.0	3
82836	9350.0	9
82837	500.0	1
82838	3550.0	4
82839	0	0
82842	3000.0	6
82844	1000.0	1
82845	0	0
828HH	0	0
82901	21350.0	43
82922	6107.0	5
82923	0	0
82925	250.0	1
82929	0	0
82930	3955.0	8
82932	0	0
82933	1000.0	1
82934	0	0
82935	1250.0	3
82936	0	0
82937	1750.0	3
82938	0	0
82939	0	0
82941	700.0	2
82942	0	0
82943	0	0
82944	600.0	3
82945	0	0
829HH	0	0
829XX	0	0
83001	162687.0	152
83011	700.0	2
83012	1000.0	1
83013	0	0
83014	104700.0	109
830HH	0	0
830XX	0	0
83101	1686.0	6
83110	0	0
83111	0	0
83112	0	0
83113	1700.0	3
83114	0	0
83115	0	0
83116	0	0
83118	5300.0	3
83119	0	0
83120	200.0	1
83121	0	0
83122	0	0
83123	0	0
83124	0	0
83126	0	0
83127	4750.0	6
83128	4450.0	7
831HH	0	0
831XX	0	0
