zoneID	money	freq
82001	158217.0	146
82007	19250.0	22
82009	118596.0	190
82050	4600.0	8
82051	0	0
82052	500.0	1
82053	2500.0	6
82054	250.0	1
82055	0	0
82058	0	0
82059	0	0
82060	0	0
82061	2000.0	2
82063	1000.0	2
82070	27200.0	68
82072	40850.0	74
82081	600.0	2
82082	0	0
82083	200.0	1
82084	200.0	1
82190	0	0
82201	31768.0	41
82210	750.0	2
82212	0	0
82213	0	0
82214	0	0
82215	0	0
82217	0	0
82218	0	0
82219	0	0
82221	2500.0	4
82222	0	0
82223	700.0	3
82224	0	0
82225	1468.0	4
82227	0	0
82240	4295.0	11
82242	0	0
82243	0	0
82244	0	0
822HH	0	0
82301	8100.0	17
82310	0	0
82321	0	0
82322	0	0
82323	0	0
82324	2000.0	2
82325	500.0	1
82327	0	0
82329	0	0
82331	23000.0	26
82332	0	0
82335	0	0
82336	0	0
823HH	0	0
82401	12500.0	16
82410	1000.0	2
82411	0	0
82412	0	0
82414	139009.0	139
82420	0	0
82421	0	0
82422	0	0
82423	0	0
82426	1000.0	1
82428	0	0
82430	0	0
82431	500.0	2
82432	0	0
82433	5351.0	9
82434	0	0
82435	9840.0	12
82440	500.0	1
82441	600.0	2
82442	2750.0	3
82443	7001.0	18
824HH	0	0
824XX	0	0
82501	16440.0	29
82510	0	0
82512	0	0
82513	6750.0	14
82514	0	0
82515	0	0
82516	1000.0	2
82520	42218.0	65
82523	550.0	2
825HH	0	0
82601	121013.0	219
82604	65440.0	115
82609	74033.0	115
82620	1000.0	1
82633	52250.0	60
82635	0	0
82636	2000.0	3
82637	14550.0	20
82639	12750.0	8
82640	0	0
82642	2000.0	2
82643	250.0	1
82644	5500.0	7
82649	450.0	2
826HH	0	0
82701	11350.0	22
82710	1000.0	2
82711	0	0
82712	1300.0	1
82714	1250.0	2
82716	22734.0	35
82717	74455.0	90
82718	39850.0	59
82720	11250.0	14
82721	200.0	1
82723	0	0
82725	0	0
82727	250.0	1
82729	1950.0	4
82730	0	0
82731	0	0
82732	1000.0	4
82801	75581.0	138
82831	0	0
82832	2750.0	6
82833	23585.0	34
82834	1230612.0	115
82835	2750.0	4
82836	14122.0	13
82837	1200.0	4
82838	3550.0	4
82839	0	0
82842	3250.0	7
82844	1000.0	1
82845	0	0
828HH	0	0
82901	32700.0	62
82922	6607.0	7
82923	0	0
82925	550.0	2
82929	0	0
82930	2055.0	10
82932	0	0
82933	1000.0	1
82934	0	0
82935	3200.0	10
82936	0	0
82937	1750.0	3
82938	0	0
82939	0	0
82941	1360.0	8
82942	0	0
82943	0	0
82944	600.0	3
82945	0	0
829HH	0	0
829XX	0	0
83001	402614.0	426
83011	9900.0	5
83012	19600.0	33
83013	7550.0	9
83014	362805.0	381
830HH	0	0
830XX	0	0
83101	3386.0	9
83110	0	0
83111	0	0
83112	0	0
83113	1700.0	3
83114	0	0
83115	1000.0	1
83116	0	0
83118	5300.0	3
83119	0	0
83120	700.0	3
83121	0	0
83122	0	0
83123	0	0
83124	0	0
83126	0	0
83127	7750.0	9
83128	4450.0	7
831HH	0	0
831XX	0	0
