zoneID,money,freq
99501,30300.0,68
99502,22566.0,38
99503,8431.0,30
99504,14750.0,36
99505,0,0
99506,1250.0,3
99507,27550.0,59
99508,40887.0,86
99513,0,0
99515,29675.0,54
99516,55277.0,101
99517,33810.0,102
99518,3549.0,11
99540,0,0
99546,0,0
99547,0,0
99548,0,0
99549,0,0
99550,0,0
99551,0,0
99552,0,0
99553,0,0
99554,0,0
99555,0,0
99556,0,0
99557,0,0
99558,0,0
99559,1600.0,3
99561,0,0
99563,0,0
99564,0,0
99565,0,0
99566,0,0
99567,3903.0,11
99568,1000.0,2
99569,0,0
99571,0,0
99572,0,0
99573,300.0,1
99574,4400.0,5
99575,0,0
99576,0,0
99577,24390.0,64
99578,0,0
99579,0,0
99580,0,0
99581,0,0
99583,0,0
99585,0,0
99586,0,0
99587,1750.0,3
99588,0,0
99589,0,0
99590,0,0
99591,250.0,1
995HH,0,0
995XX,0,0
99602,0,0
99603,9650.0,10
99604,0,0
99605,0,0
99606,0,0
99607,0,0
99608,0,0
99609,0,0
99610,1750.0,5
99611,4800.0,9
99612,0,0
99613,250.0,1
99614,0,0
99615,4110.0,15
99620,0,0
99621,0,0
99622,0,0
99624,0,0
99625,0,0
99626,0,0
99627,0,0
99628,0,0
99630,0,0
99631,0,0
99632,0,0
99633,0,0
99634,0,0
99635,750.0,2
99636,0,0
99637,0,0
99638,0,0
99639,300.0,1
99640,0,0
99641,0,0
99643,500.0,1
99644,0,0
99645,19950.0,33
99647,0,0
99648,0,0
99649,0,0
99650,0,0
99651,0,0
99652,3450.0,7
99653,0,0
99654,15634.0,44
99655,0,0
99656,0,0
99657,0,0
99658,0,0
99659,0,0
99660,0,0
99661,1500.0,2
99662,0,0
99663,0,0
99664,4800.0,10
99665,0,0
99666,0,0
99667,0,0
99668,0,0
99669,6800.0,20
99670,0,0
99671,0,0
99672,3500.0,5
99674,0,0
99675,0,0
99676,450.0,2
99677,0,0
99678,0,0
99679,0,0
99680,0,0
99681,0,0
99682,0,0
99683,0,0
99684,0,0
99685,0,0
99686,1250.0,5
99687,13150.0,24
99688,1550.0,5
99689,250.0,1
99690,0,0
99691,0,0
99692,0,0
99693,0,0
99694,0,0
99695,0,0
99697,0,0
996HH,0,0
996XX,0,0
99701,33400.0,39
99702,0,0
99703,500.0,1
99704,0,0
99705,13009.0,14
99709,23350.0,51
99712,33650.0,32
99714,1000.0,2
99720,0,0
99721,0,0
99722,0,0
99723,1050.0,3
99724,0,0
99725,0,0
99726,0,0
99727,0,0
99729,0,0
99730,0,0
99732,0,0
99733,0,0
99736,0,0
99737,250.0,1
99738,0,0
99739,0,0
99740,0,0
99741,0,0
99742,0,0
99743,1450.0,4
99744,0,0
99745,0,0
99746,0,0
99747,0,0
99748,0,0
99749,0,0
99750,0,0
99751,0,0
99752,748.0,5
99753,0,0
99754,0,0
99755,0,0
99756,0,0
99757,0,0
99758,0,0
99759,0,0
99760,0,0
99761,0,0
99762,750.0,3
99763,0,0
99764,0,0
99765,0,0
99766,0,0
99767,0,0
99768,0,0
99769,0,0
99770,0,0
99771,0,0
99772,0,0
99773,0,0
99774,0,0
99775,450.0,2
99776,0,0
99777,0,0
99778,0,0
99779,0,0
99780,2500.0,2
99781,0,0
99782,0,0
99783,0,0
99784,0,0
99785,0,0
99786,0,0
99788,0,0
99789,0,0
99791,0,0
997HH,0,0
997XX,0,0
99801,10300.0,22
99820,0,0
99824,250.0,1
99825,0,0
99826,0,0
99827,0,0
99829,0,0
99830,0,0
99832,0,0
99833,14200.0,17
99835,5570.0,14
99840,250.0,1
99841,0,0
99850,0,0
998HH,0,0
998XX,0,0
99901,17379.0,40
99903,0,0
99918,0,0
99919,0,0
99921,0,0
99922,0,0
99923,0,0
99925,0,0
99926,0,0
99927,0,0
99929,-85.0,2
99950,0,0
999HH,0,0
999XX,0,0
35004,525.0,4
35005,0,0
35006,0,0
35007,5200.0,14
35010,50800.0,30
35014,650.0,2
35016,8800.0,6
35019,750.0,2
35020,2400.0,1
35022,750.0,2
35023,2250.0,3
35031,500.0,1
35033,0,0
35034,0,0
35035,0,0
35036,0,0
35040,20700.0,16
35042,0,0
35043,2500.0,3
35044,0,0
35045,0.0,2
35046,2500.0,5
35049,0,0
35051,1250.0,2
35052,0,0
35053,7300.0,8
35054,2500.0,3
35055,9900.0,30
35057,4038.0,12
35058,3000.0,5
35060,0,0
35061,0,0
35062,940.0,2
35063,0,0
35064,3200.0,5
35068,0,0
35070,0,0
35071,4600.0,2
35072,2950.0,3
35073,0,0
35074,0,0
35077,750.0,2
35078,0,0
35079,0,0
35080,8950.0,7
35082,0,0
35083,3500.0,7
35085,0,0
35087,0,0
35089,0,0
35091,0,0
35094,2600.0,6
35096,1500.0,3
35097,0,0
35098,0,0
350HH,0,0
350XX,0,0
35111,0,0
35112,0,0
35114,0,0
35115,2200.0,7
35116,1375.0,3
35117,200.0,1
35118,0,0
35119,0,0
35120,500.0,1
35121,5784.0,12
35124,8939.0,11
35125,3450.0,6
35126,2500.0,5
35127,250.0,1
35128,750.0,2
35130,0,0
35131,0,0
35133,0,0
35135,0,0
35136,0,0
35139,0,0
35143,0,0
35146,8400.0,10
35147,20550.0,16
35148,4070.0,6
35149,0,0
35150,10900.0,19
35151,5300.0,3
35160,6000.0,13
35171,1000.0,1
35172,0,0
35173,6025.0,12
35175,6690.0,8
35176,0,0
35178,0,0
35179,4000.0,4
35180,0,0
35183,0,0
35184,0,0
35186,0,0
35188,0,0
351HH,0,0
351XX,0,0
35203,64250.0,65
35204,500.0,1
35205,25769.0,25
35206,4600.0,2
35207,1000.0,1
35208,0,0
35209,99111.0,105
35210,15276.0,21
35211,2900.0,3
35212,700.0,2
35213,243762.0,323
35214,0,0
35215,2300.0,7
35216,51807.0,73
35217,7180.0,13
35218,0,0
35221,250.0,1
35222,19200.0,29
35223,272484.0,269
35224,0,0
35226,58300.0,55
35228,500.0,1
35233,2000.0,6
35234,1700.0,5
35235,750.0,2
35242,330612.0,296
35243,81976.0,108
35244,26950.0,40
352HH,0,0
35401,11410.0,11
35403,22150.0,21
35404,9200.0,14
35405,18700.0,18
35406,97425.0,96
35441,0,0
35442,2200.0,2
35443,0,0
35444,200.0,1
35446,0,0
35447,1000.0,1
35452,0,0
35453,4500.0,4
35456,0,0
35457,0,0
35458,0,0
35459,0,0
35460,0,0
35461,0,0
35462,1700.0,4
35463,0,0
35464,0,0
35466,0,0
35469,0,0
35470,1250.0,2
35471,0,0
35473,13900.0,13
35474,0,0
35475,39900.0,28
35476,24700.0,14
35477,0,0
35480,0,0
35481,1000.0,1
35490,0,0
354HH,0,0
354XX,0,0
35501,27250.0,15
35503,250.0,1
35504,21444.0,19
35540,0,0
35541,0,0
35542,0,0
35543,0,0
35544,0,0
35545,0,0
35546,0,0
35548,0,0
35549,250.0,1
35550,0,0
35552,0,0
35553,5789.0,9
35554,0,0
35555,1750.0,3
35559,0,0
35563,750.0,2
35564,0,0
35565,6574.0,15
35570,4995.0,7
35571,0,0
35572,0,0
35574,0,0
35575,0,0
35576,0,0
35578,0,0
35579,0,0
35580,600.0,3
35581,250.0,1
35582,8040.0,13
35584,0,0
35585,0,0
35586,250.0,1
35587,0,0
35592,3400.0,3
35593,0,0
35594,25200.0,26
355HH,0,0
355XX,0,0
35601,11284.0,26
35603,16545.0,22
35610,0,0
35611,16450.0,18
35613,25084.0,35
35614,4800.0,2
35616,1300.0,2
35618,0,0
35619,0,0
35620,750.0,2
35621,0,0
35622,0,0
35630,18940.0,31
35633,3600.0,8
35634,14500.0,20
35640,4850.0,13
35643,0,0
35645,10850.0,10
35646,0,0
35647,0,0
35648,0,0
35649,2250.0,2
35650,7250.0,8
35651,1000.0,2
35652,8300.0,5
35653,3900.0,4
35654,1000.0,1
35660,1000.0,4
35661,11650.0,22
35670,6650.0,11
35671,650.0,2
35672,0,0
35673,0,0
35674,3018.0,8
35677,500.0,1
356HH,0,0
356XX,0,0
35739,3000.0,3
35740,400.0,2
35741,30750.0,47
35742,0,0
35744,1000.0,2
35745,0,0
35746,0,0
35747,0,0
35748,12250.0,18
35749,32340.0,43
35750,750.0,3
35751,0,0
35752,0,0
35754,8800.0,6
35755,250.0,1
35756,16800.0,15
35757,28550.0,41
35758,189167.0,231
35759,4450.0,7
35760,5600.0,4
35761,7600.0,9
35763,118510.0,145
35764,0,0
35765,0,0
35766,0,0
35768,1750.0,4
35769,29050.0,31
35771,500.0,1
35772,4215.0,6
35773,3950.0,6
35774,0,0
35775,0,0
35776,0,0
357HH,0,0
357XX,0,0
35801,413114.0,521
35802,173250.0,240
35803,94484.0,120
35805,9700.0,14
35806,95797.0,108
35808,0,0
35810,8600.0,19
35811,27400.0,34
35816,8750.0,15
35824,9200.0,12
358HH,0,0
358XX,0,0
35901,13450.0,33
35903,1700.0,7
35904,5850.0,8
35905,0,0
35906,9450.0,9
35907,5662.0,7
35950,8540.0,9
35951,5734.0,7
35952,0,0
35953,0,0
35954,4500.0,2
35956,2500.0,2
35957,4000.0,6
35958,0,0
35959,500.0,2
35960,5050.0,7
35961,0,0
35962,-75.0,1
35963,444.0,1
35966,0,0
35967,7130.0,21
35968,3050.0,6
35971,5400.0,4
35972,0,0
35973,-51.0,1
35974,500.0,1
35975,0,0
35976,23795.0,25
35978,0,0
35979,0,0
35980,0,0
35981,0,0
35983,0,0
35984,0,0
35986,13200.0,11
35987,0,0
35988,0,0
35989,1000.0,3
35990,0,0
359HH,0,0
36003,1250.0,3
36005,0,0
36006,1000.0,4
36009,400.0,2
36010,0,0
36013,0,0
36016,600.0,2
36017,0,0
36020,0,0
36022,1450.0,5
36024,500.0,1
36025,0,0
36026,0,0
36027,5300.0,6
36028,0,0
36029,250.0,1
36030,0,0
36031,0,0
36032,650.0,2
36033,0,0
36034,1000.0,1
36035,0,0
36036,200.0,1
36037,15900.0,12
36039,0,0
36040,0,0
36041,0,0
36042,0,0
36043,3250.0,4
36046,-38.0,1
36047,0,0
36048,9450.0,7
36049,725.0,3
36051,0,0
36052,1050.0,3
36053,0,0
36054,250.0,1
36064,41500.0,51
36065,0,0
36066,3750.0,8
