zoneID	money	freq
35004	525.0	4
35005	0	0
35006	0	0
35007	5200.0	14
35010	50800.0	30
35014	650.0	2
35016	8800.0	6
35019	750.0	2
35020	2400.0	1
35022	750.0	2
35023	2250.0	3
35031	500.0	1
35033	0	0
35034	0	0
35035	0	0
35036	0	0
35040	20700.0	16
35042	0	0
35043	2500.0	3
35044	0	0
35045	0.0	2
35046	2500.0	5
35049	0	0
35051	1250.0	2
35052	0	0
35053	7300.0	8
35054	2500.0	3
35055	9900.0	30
35057	4038.0	12
35058	3000.0	5
35060	0	0
35061	0	0
35062	940.0	2
35063	0	0
35064	3200.0	5
35068	0	0
35070	0	0
35071	4600.0	2
35072	2950.0	3
35073	0	0
35074	0	0
35077	750.0	2
35078	0	0
35079	0	0
35080	8950.0	7
35082	0	0
35083	3500.0	7
35085	0	0
35087	0	0
35089	0	0
35091	0	0
35094	2600.0	6
35096	1500.0	3
35097	0	0
35098	0	0
350HH	0	0
350XX	0	0
35111	0	0
35112	0	0
35114	0	0
35115	2200.0	7
35116	1375.0	3
35117	200.0	1
35118	0	0
35119	0	0
35120	500.0	1
35121	5784.0	12
35124	8939.0	11
35125	3450.0	6
35126	2500.0	5
35127	250.0	1
35128	750.0	2
35130	0	0
35131	0	0
35133	0	0
35135	0	0
35136	0	0
35139	0	0
35143	0	0
35146	8400.0	10
35147	20550.0	16
35148	4070.0	6
35149	0	0
35150	10900.0	19
35151	5300.0	3
35160	6000.0	13
35171	1000.0	1
35172	0	0
35173	6025.0	12
35175	6690.0	8
35176	0	0
35178	0	0
35179	4000.0	4
35180	0	0
35183	0	0
35184	0	0
35186	0	0
35188	0	0
351HH	0	0
351XX	0	0
35203	64250.0	65
35204	500.0	1
35205	25769.0	25
35206	4600.0	2
35207	1000.0	1
35208	0	0
35209	99111.0	105
35210	15276.0	21
35211	2900.0	3
35212	700.0	2
35213	243762.0	323
35214	0	0
35215	2300.0	7
35216	51807.0	73
35217	7180.0	13
35218	0	0
35221	250.0	1
35222	19200.0	29
35223	272484.0	269
35224	0	0
35226	58300.0	55
35228	500.0	1
35233	2000.0	6
35234	1700.0	5
35235	750.0	2
35242	330612.0	296
35243	81976.0	108
35244	26950.0	40
352HH	0	0
35401	11410.0	11
35403	22150.0	21
35404	9200.0	14
35405	18700.0	18
35406	97425.0	96
35441	0	0
35442	2200.0	2
35443	0	0
35444	200.0	1
35446	0	0
35447	1000.0	1
35452	0	0
35453	4500.0	4
35456	0	0
35457	0	0
35458	0	0
35459	0	0
35460	0	0
35461	0	0
35462	1700.0	4
35463	0	0
35464	0	0
35466	0	0
35469	0	0
35470	1250.0	2
35471	0	0
35473	13900.0	13
35474	0	0
35475	39900.0	28
35476	24700.0	14
35477	0	0
35480	0	0
35481	1000.0	1
35490	0	0
354HH	0	0
354XX	0	0
35501	27250.0	15
35503	250.0	1
35504	21444.0	19
35540	0	0
35541	0	0
35542	0	0
35543	0	0
35544	0	0
35545	0	0
35546	0	0
35548	0	0
35549	250.0	1
35550	0	0
