zoneID	money	freq
35004	525.0	4
35005	0	0
35006	0	0
35007	6800.0	17
35010	57000.0	38
35014	650.0	2
35016	9300.0	7
35019	750.0	2
35020	4075.0	6
35022	4700.0	13
35023	2450.0	4
35031	500.0	1
35033	0	0
35034	0	0
35035	0	0
35036	0	0
35040	40100.0	25
35042	0	0
35043	7950.0	10
35044	0	0
35045	0.0	2
35046	3000.0	6
35049	0	0
35051	1250.0	2
35052	0	0
35053	8300.0	9
35054	2500.0	3
35055	14400.0	36
35057	4038.0	12
35058	3500.0	6
35060	500.0	1
35061	0	0
35062	940.0	2
35063	1000.0	1
35064	4700.0	8
35068	0	0
35070	0	0
35071	4600.0	2
35072	2950.0	3
35073	0	0
35074	0	0
35077	3250.0	4
35078	0	0
35079	0	0
35080	12450.0	14
35082	0	0
35083	3500.0	7
35085	0	0
35087	0	0
35089	0	0
35091	0	0
35094	3200.0	7
35096	1500.0	3
35097	0	0
35098	0	0
350HH	0	0
350XX	0	0
35111	1500.0	3
35112	0	0
35114	0	0
35115	2200.0	7
35116	1375.0	3
35117	450.0	2
35118	0	0
35119	0	0
35120	500.0	1
35121	6284.0	13
35124	18839.0	22
35125	3450.0	6
35126	6750.0	11
35127	450.0	2
35128	750.0	2
35130	0	0
35131	0	0
35133	0	0
35135	0	0
35136	0	0
35139	0	0
35143	0	0
35146	8400.0	10
35147	38950.0	29
35148	4070.0	6
35149	0	0
35150	10900.0	19
35151	5300.0	3
35160	11100.0	19
35171	1250.0	2
35172	0	0
35173	11025.0	18
35175	10790.0	10
35176	0	0
35178	0	0
35179	4000.0	4
35180	2000.0	3
35183	0	0
35184	0	0
35186	0	0
35188	250.0	1
351HH	0	0
351XX	0	0
35203	170158.0	233
35204	2000.0	6
35205	73294.0	117
35206	12350.0	8
35207	1500.0	2
35208	1500.0	6
35209	198816.0	241
35210	27676.0	41
35211	18630.0	20
35212	4200.0	7
35213	389749.0	492
35214	14250.0	20
35215	7700.0	14
35216	83092.0	122
35217	17080.0	26
35218	0	0
35221	250.0	1
35222	73975.0	117
35223	518487.0	529
35224	0	0
35226	102325.0	126
35228	500.0	1
35233	8550.0	19
35234	3700.0	8
35235	1950.0	7
35242	465201.0	466
35243	160929.0	208
35244	51450.0	73
352HH	0	0
35401	17128.0	30
35403	27950.0	32
35404	14000.0	29
35405	25706.0	37
35406	147892.0	148
35441	0	0
35442	3200.0	5
35443	0	0
35444	200.0	1
35446	0	0
35447	1000.0	1
35452	250.0	1
35453	4750.0	5
35456	0	0
35457	0	0
35458	0	0
35459	0	0
35460	0	0
35461	0	0
35462	4600.0	6
35463	0	0
35464	0	0
35466	500.0	2
35469	0	0
35470	1500.0	3
35471	0	0
35473	34100.0	28
35474	0	0
35475	132050.0	89
35476	33000.0	21
35477	0	0
35480	0	0
35481	1000.0	1
35490	200.0	1
354HH	0	0
354XX	0	0
35501	35450.0	21
35503	3150.0	3
35504	49844.0	34
35540	0	0
35541	250.0	1
35542	0	0
35543	0	0
35544	0	0
35545	0	0
