zoneID	money	freq
71601	11050.0	24
71602	13500.0	17
71603	63800.0	89
71630	1750.0	3
71631	0	0
71635	10150.0	11
71638	4650.0	8
71639	19800.0	39
71640	9400.0	13
71642	0	0
71643	0	0
71644	5450.0	8
71646	7900.0	8
71647	3100.0	5
71651	500.0	2
71652	0	0
71653	35975.0	48
71654	12300.0	31
71655	41500.0	45
71656	0	0
71658	2950.0	5
71659	0	0
71660	0	0
71661	250.0	1
71663	8750.0	15
71665	300.0	1
71666	0	0
71667	200.0	1
71670	8550.0	17
71671	36650.0	50
71674	6150.0	12
71675	750.0	1
71676	4400.0	6
71677	0	0
716HH	0	0
716XX	0	0
71701	24200.0	28
71720	0	0
71722	0	0
71724	0	0
71725	0	0
71726	500.0	1
71730	211360.0	217
71740	0	0
71742	4250.0	4
71743	250.0	1
71744	10650.0	8
71745	0	0
71747	0	0
71749	0	0
71751	0	0
71752	0	0
71753	30250.0	49
71758	0	0
71759	0	0
71762	3650.0	4
71763	0	0
71764	0	0
71765	0	0
71766	0	0
71770	2000.0	2
717HH	0	0
717XX	0	0
71801	15800.0	17
71820	0	0
71822	3900.0	7
71823	0	0
71825	700.0	3
71826	250.0	1
71827	0	0
71832	9900.0	19
71833	0	0
71834	0	0
71835	500.0	2
71836	250.0	1
71837	0	0
71838	0	0
71839	0	0
71841	0	0
71842	0	0
71845	3000.0	4
71846	250.0	1
71847	0	0
71851	250.0	1
71852	3300.0	11
71853	0	0
71854	128150.0	106
71855	0	0
71857	11800.0	21
71858	0	0
71859	0	0
71860	0	0
71861	2650.0	2
71862	2900.0	3
71865	0	0
71866	0	0
718HH	0	0
71901	46900.0	81
71909	10700.0	25
71913	85545.0	102
71921	0	0
71922	4250.0	7
71923	67018.0	96
71929	500.0	1
71933	0	0
71935	0	0
71937	0	0
71940	0	0
71941	0	0
71943	3750.0	10
71944	0	0
71945	0	0
71949	0	0
71950	1000.0	2
71952	0	0
71953	9500.0	18
71956	0	0
71957	1250.0	5
71958	250.0	1
71959	750.0	3
71960	0	0
71961	0	0
71962	0	0
71964	0	0
71965	0	0
71968	1500.0	2
71969	0	0
71970	0	0
71971	0	0
71972	0	0
71973	0	0
719HH	0	0
72001	0	0
72002	500.0	2
72003	1500.0	3
72004	1250.0	2
72005	1550.0	4
72006	3050.0	9
72007	2250.0	5
72010	250.0	1
72011	0	0
72012	3200.0	7
72013	500.0	1
72014	250.0	1
72015	7725.0	15
72016	1500.0	2
72017	0	0
72020	0	0
72021	13250.0	27
72022	4500.0	11
72023	17000.0	27
72024	8335.0	24
72025	0	0
72026	0	0
72027	1950.0	4
72029	550.0	2
72030	0	0
72031	6560.0	13
72032	56250.0	84
72036	0	0
72038	0	0
72039	0	0
72040	2800.0	9
72041	1200.0	3
72042	24550.0	40
72043	0	0
72044	0	0
72045	300.0	1
72046	25450.0	33
72047	250.0	1
72048	0	0
72051	0	0
72053	250.0	1
72055	12400.0	11
72057	0	0
72058	19250.0	31
72060	0	0
72061	0	0
72063	0	0
72064	1500.0	3
72065	1500.0	2
72067	0	0
72068	0	0
72069	250.0	1
72070	0	0
72072	0	0
72073	2700.0	2
72074	0	0
72075	0	0
72076	15950.0	26
72079	0	0
72080	0	0
72081	2200.0	7
72082	0	0
72083	8400.0	8
72084	0	0
72085	0	0
72086	14300.0	37
72087	0	0
72088	500.0	1
72099	0	0
720HH	0	0
720XX	0	0
72101	20700.0	29
72102	0	0
72103	6100.0	15
72104	10150.0	15
72105	0	0
72106	500.0	1
72107	0	0
72108	0	0
72110	51076.0	57
72111	0	0
72112	66699.0	98
72113	20800.0	50
72114	26900.0	40
72116	100066.0	157
72117	7800.0	7
72118	8800.0	16
72120	40280.0	64
72121	0	0
72122	2500.0	3
72123	0	0
72125	0	0
72126	6400.0	8
72127	250.0	1
72128	0	0
72129	0	0
72130	0	0
72131	7650.0	5
72132	0	0
72133	0	0
72134	0	0
72135	2500.0	5
72136	0	0
72137	1000.0	2
72139	0	0
72140	0	0
72141	0	0
72142	4450.0	8
72143	35550.0	53
72150	5350.0	12
72152	1200.0	2
72153	2000.0	3
72156	0	0
72157	5550.0	5
72160	44550.0	75
72165	0	0
72166	0	0
72167	0	0
72168	0	0
72169	3500.0	7
72170	250.0	1
72173	8800.0	18
72175	0	0
72176	0	0
72179	0	0
72180	0	0
72181	0	0
72183	0	0
721HH	0	0
721XX	0	0
72201	111256.0	196
72202	137500.0	193
72204	33279.0	61
72205	177950.0	301
72206	47900.0	93
72207	515200.0	607
72209	2000.0	5
72210	16050.0	28
72211	58459.0	112
72212	195398.0	309
72223	212682.0	281
72227	122590.0	194
722HH	0	0
72301	22350.0	46
72311	0	0
72315	43550.0	71
72320	0	0
72321	3500.0	6
72322	0	0
72324	2000.0	4
72326	1250.0	3
72327	9810.0	8
72328	0	0
72329	500.0	1
72330	0	0
72331	250.0	1
72332	2300.0	6
72333	1500.0	2
72335	24198.0	36
72338	2000.0	1
72339	0	0
72340	0	0
72341	0	0
72342	35600.0	50
72346	0	0
72347	6050.0	10
72348	3250.0	4
72350	0	0
72351	0	0
72353	0	0
72354	2350.0	8
72355	2500.0	2
72358	0	0
72359	0	0
72360	36050.0	42
72364	7600.0	15
72365	14400.0	22
72366	4400.0	9
72367	0	0
72368	8200.0	5
72369	0	0
72370	17500.0	29
72372	500.0	1
72373	0	0
72374	500.0	1
72376	0	0
72377	0	0
72379	0	0
72383	0	0
72384	0	0
72386	4350.0	7
72387	0	0
72389	0	0
72390	9700.0	13
72392	950.0	4
72394	1300.0	4
72395	7850.0	16
72396	43441.0	72
723HH	0	0
723XX	0	0
72401	203575.0	314
72404	153500.0	229
72410	1250.0	3
72411	0	0
72412	2000.0	2
72413	0	0
72414	0	0
72415	1000.0	1
72416	1750.0	3
72417	1250.0	5
72419	2000.0	4
72421	11000.0	9
72422	20200.0	32
72424	0	0
72425	2600.0	6
72426	1000.0	2
72427	0	0
72428	0	0
72429	2500.0	7
72430	300.0	1
72431	0	0
72432	12200.0	16
72433	3300.0	4
72434	0	0
72435	2050.0	7
72436	1900.0	4
72437	5000.0	11
72438	0	0
72440	0	0
72441	0	0
72442	5950.0	9
72443	7799.0	15
72444	0	0
72445	5050.0	3
72447	1740.0	4
72449	800.0	2
72450	172774.0	228
72453	0	0
72454	3950.0	8
72455	14800.0	32
72456	7000.0	10
72457	2000.0	4
72458	200.0	1
72459	0	0
72460	0	0
72461	26300.0	55
72462	1000.0	1
72464	0	0
72466	0	0
72467	500.0	2
72469	0	0
72470	15950.0	25
72471	1800.0	8
72472	15700.0	20
72473	7900.0	16
72475	0	0
72476	27260.0	33
72478	4600.0	2
72479	21350.0	38
72482	4200.0	1
724HH	0	0
72501	60350.0	83
72512	1500.0	5
72513	1800.0	4
72515	0	0
72517	250.0	1
72519	1000.0	1
72520	0	0
72521	1000.0	3
72522	0	0
72523	0	0
72524	1000.0	1
72525	3250.0	9
72526	0	0
72527	0	0
72528	0	0
72529	1200.0	5
72530	0	0
72531	250.0	1
72532	0	0
72533	0	0
72534	0	0
72536	2000.0	1
72537	0	0
72538	0	0
72539	0	0
72540	0	0
72542	4750.0	6
72543	15305.0	26
72544	0	0
72550	0	0
72553	0	0
72554	0	0
72555	0	0
72556	13000.0	20
72560	5600.0	8
72561	0	0
72562	0	0
72564	1500.0	2
72565	0	0
72566	5250.0	10
72567	0	0
72568	0	0
72569	0	0
72571	0	0
72572	0	0
72573	0	0
72576	16100.0	28
72577	0	0
72578	0	0
72579	0	0
72581	200.0	1
72583	0	0
72584	0	0
72585	0	0
72587	0	0
725HH	0	0
72601	8800.0	19
72610	0	0
72611	35.0	2
72616	2000.0	8
72617	0	0
72619	0	0
72623	0	0
72624	0	0
72626	450.0	2
72628	0	0
72629	0	0
72630	0	0
72631	5000.0	5
72632	500.0	2
72633	0	0
72634	3500.0	4
72635	1600.0	3
72638	1000.0	1
72639	0	0
72640	0	0
72641	1900.0	6
72642	5500.0	5
72644	0	0
72645	0	0
72648	0	0
72650	700.0	3
72651	0	0
72653	105143.0	57
72655	0	0
72658	0	0
72660	0	0
72661	0	0
72662	0	0
72663	0	0
72666	0	0
72668	0	0
72669	0	0
72672	0	0
72675	0	0
72677	0	0
72679	0	0
72680	0	0
72682	2400.0	1
72683	0	0
72685	0	0
72686	12000.0	5
72687	1750.0	4
726HH	0	0
72701	66995.0	130
72703	53472.0	99
72704	18550.0	24
72711	0	0
72712	65000.0	64
72714	1000.0	3
72715	9190.0	16
72717	0	0
72718	0	0
72719	0	0
72721	0	0
72722	0	0
72727	500.0	2
72729	0	0
72730	0	0
72732	0	0
72734	0	0
72736	0	0
72738	1750.0	3
72739	0	0
72740	11000.0	20
72742	0	0
72744	2000.0	5
72745	20835.0	67
72747	0	0
72749	0	0
72751	0	0
72752	250.0	1
72753	3500.0	5
72756	7250.0	9
72758	34150.0	43
72760	0	0
72761	4050.0	6
72762	4500.0	12
72764	29700.0	31
72768	0	0
72769	0	0
72773	0	0
72774	2500.0	2
72776	0	0
727HH	0	0
72801	6550.0	13
72802	10250.0	10
72820	0	0
72821	500.0	1
72823	2500.0	3
72824	0	0
72826	0	0
72827	0	0
72828	0	0
72829	250.0	1
72830	250.0	1
72832	0	0
72833	16250.0	13
72834	9900.0	13
72835	0	0
72837	500.0	2
72838	0	0
72839	0	0
72840	0	0
72841	0	0
72842	0	0
72843	0	0
72845	0	0
72846	500.0	1
72847	500.0	1
72851	0	0
72852	0	0
72853	0	0
72854	0	0
72855	0	0
72856	0	0
72857	0	0
72858	0	0
72860	0	0
72863	0	0
72865	0	0
728HH	0	0
728XX	0	0
72901	32800.0	27
72903	60920.0	58
72904	0	0
72908	17500.0	15
72916	11500.0	9
72921	17870.0	21
72923	0	0
72926	0	0
72927	6550.0	12
72928	0	0
72930	0	0
72932	0	0
72933	4500.0	9
72934	250.0	1
72935	0	0
72936	1750.0	3
72937	500.0	1
72938	0	0
72940	0	0
72941	0	0
72943	3400.0	2
72944	2000.0	2
72945	0	0
72946	200.0	1
72947	0	0
72948	0	0
72949	2750.0	3
72950	0	0
72951	0	0
72952	0	0
72955	0	0
72956	14350.0	11
72958	2300.0	5
72959	0	0
729HH	0	0
729XX	0	0
