zoneID	money	freq
85003	40600.0	79
85004	46700.0	84
85006	5250.0	16
85007	30150.0	40
85008	4500.0	8
85009	3500.0	7
85012	88420.0	162
85013	125077.0	163
85014	59025.0	94
85015	10400.0	20
85016	147479.0	223
85017	0	0
85018	370413.0	476
85019	1375.0	6
85020	55413.0	126
85021	127990.0	185
85022	5025.0	18
85023	13220.0	22
85024	2750.0	5
85027	1000.0	3
85028	54150.0	107
85029	1700.0	3
85031	4200.0	5
85032	8535.0	15
85033	0	0
85034	6450.0	15
85035	0	0
85037	1650.0	4
85040	4900.0	4
85041	5250.0	16
85043	1500.0	4
85044	44785.0	58
85045	-450.0	8
85048	57065.0	76
85050	17800.0	24
85051	16860.0	27
85053	200.0	1
85054	1200.0	4
85085	10100.0	12
85086	15000.0	11
85087	0	0
850HH	0	0
85201	2650.0	12
85202	1950.0	5
85203	750.0	2
85204	0	0
85205	9100.0	10
85206	4400.0	9
85207	6350.0	14
85208	2000.0	1
85210	2000.0	1
85212	0	0
85213	9350.0	22
85215	450.0	2
85219	700.0	3
85220	1000.0	1
85221	0	0
85222	11200.0	25
85223	0	0
85224	17000.0	40
85225	17900.0	24
85226	19250.0	34
85228	0	0
85230	500.0	1
85231	520.0	2
85232	200.0	1
85233	7000.0	13
85234	8275.0	19
85235	0	0
85236	0	0
85237	0	0
85239	1312.0	3
85241	0	0
85242	0	0
85245	0	0
85247	32800.0	22
85248	27750.0	31
85249	12000.0	29
85250	39378.0	70
85251	109784.0	164
85253	557336.0	725
85254	86840.0	135
85255	170356.0	211
85256	59500.0	42
85257	5300.0	19
85258	180775.0	244
85259	53100.0	99
85260	60525.0	113
85262	46577.0	85
85263	1970.0	4
85264	1000.0	1
85268	7650.0	14
85272	0	0
85273	0	0
85281	32937.0	76
85282	78650.0	155
85283	67900.0	103
85284	63870.0	114
85292	0	0
85296	6050.0	12
852HH	0	0
852XX	0	0
85301	250.0	1
85302	400.0	2
85303	1000.0	3
85304	7250.0	13
85305	250.0	1
85306	150.0	2
85307	0	0
85308	5250.0	12
85309	0	0
85310	3315.0	10
85320	500.0	1
85321	800.0	2
85322	0	0
85323	625.0	2
85324	0	0
85325	0	0
85326	2750.0	5
85328	4800.0	2
85329	200.0	1
85331	17849.0	25
85332	0	0
85333	0	0
85334	0	0
85335	0	0
85336	500.0	1
85337	0	0
85338	2250.0	9
85339	1250.0	5
85340	-1225.0	12
85342	2000.0	3
85344	3900.0	3
85345	0	0
85346	0	0
85347	0	0
85348	0	0
85349	0	0
85350	500.0	2
85351	450.0	2
85353	1000.0	1
85354	0	0
85355	0	0
85356	0	0
85357	0	0
85360	0	0
85361	0	0
85362	0	0
85363	250.0	1
85364	30250.0	40
85365	1500.0	5
85367	250.0	1
85373	-300.0	5
85374	1500.0	5
85375	950.0	3
85379	250.0	1
85381	8050.0	8
85382	1000.0	2
85390	0	0
853HH	0	0
853XX	0	0
85501	1750.0	3
85530	0	0
85531	0	0
85533	0	0
85534	0	0
85535	0	0
85536	0	0
85539	1500.0	2
85540	0	0
85541	5650.0	10
85542	0	0
85543	400.0	1
85544	0	0
85545	0	0
85546	0	0
85550	4400.0	2
85552	0	0
85553	0	0
85554	0	0
855HH	0	0
855XX	0	0
85601	0	0
85602	900.0	3
85603	2700.0	3
85605	0	0
85606	0	0
85607	3000.0	6
85608	0	0
85609	0	0
85610	0	0
85611	0	0
85613	0	0
85614	20450.0	57
85615	950.0	3
85616	500.0	2
85617	0	0
85618	0	0
85619	0	0
85621	4150.0	17
85623	3000.0	12
85624	450.0	2
85625	0	0
85627	0	0
85629	27500.0	28
85630	1200.0	1
85631	0	0
85632	200.0	1
85633	0	0
85634	51100.0	22
85635	1900.0	6
85637	7838.0	17
85638	4800.0	2
85639	0	0
85640	0	0
85641	11550.0	22
85643	500.0	2
85645	400.0	2
85646	2900.0	7
85648	700.0	2
85650	2400.0	9
85653	1250.0	2
85654	0	0
856HH	0	0
85701	45275.0	83
85704	60025.0	87
85705	27578.0	40
85706	3990.0	8
85708	0	0
85710	21950.0	28
85711	54654.0	124
85712	62517.0	132
85713	10500.0	23
85714	3900.0	4
