zoneID	money	freq
85003	24800.0	45
85004	54183.0	66
85006	1000.0	1
85007	19150.0	30
85008	18100.0	16
85009	32220.0	30
85012	70325.0	124
85013	79907.0	161
85014	66748.0	88
85015	5852.0	17
85016	407785.0	427
85017	2440.0	5
85018	410101.0	509
85019	1000.0	1
85020	127899.0	178
85021	92236.0	132
85022	39179.0	70
85023	21200.0	45
85024	5167.0	13
85027	20300.0	28
85028	70311.0	144
85029	1750.0	3
85031	250.0	1
85032	50621.0	63
85033	-30.0	2
85034	8625.0	11
85035	0	0
85037	5575.0	7
85040	23311.0	29
85041	20800.0	22
85043	5850.0	10
85044	81949.0	115
85045	26568.0	40
85048	53870.0	83
85050	36130.0	54
85051	1430.0	5
85053	5450.0	13
85054	17950.0	29
85085	34900.0	40
85086	45352.0	88
85087	11650.0	13
850HH	0	0
85201	14350.0	32
85202	1050.0	5
85203	28630.0	44
85204	16300.0	26
85205	35776.0	61
85206	70945.0	128
85207	44379.0	86
85208	3375.0	7
85210	21400.0	20
85212	2760.0	11
85213	61025.0	97
85215	19375.0	43
85219	8170.0	6
85220	200.0	1
85221	0	0
85222	985.0	2
85223	0	0
85224	21500.0	35
85225	11000.0	11
85226	278870.0	222
85228	0	0
85230	0	0
85231	500.0	1
85232	0	0
85233	12300.0	32
85234	46545.0	90
85235	0	0
85236	1250.0	4
85237	1000.0	1
85239	4650.0	5
85241	0	0
85242	750.0	2
85245	0	0
85247	0	0
85248	61211.0	90
85249	13418.0	22
85250	63810.0	92
85251	156972.0	209
85253	1633368.0	1677
85254	205906.0	296
85255	665795.0	803
85256	24800.0	20
85257	94044.0	65
85258	180782.0	211
85259	194445.0	285
85260	363489.0	278
85262	272003.0	341
85263	8425.0	28
85264	0	0
85268	141657.0	121
85272	0	0
85273	0	0
85281	22800.0	36
85282	24255.0	58
85283	29150.0	41
85284	99120.0	140
85292	0	0
85296	23901.0	28
852HH	0	0
852XX	0	0
85301	10700.0	8
85302	9000.0	24
85303	3000.0	6
85304	9900.0	12
85305	1550.0	5
85306	2900.0	9
85307	0	0
85308	19800.0	48
85309	0	0
85310	10420.0	32
85320	0	0
85321	250.0	1
85322	2000.0	4
