zoneID	money	freq
90001	500.0	1
90002	-25.0	1
90003	0	0
90004	29450.0	39
90005	14365.0	15
90006	1000.0	2
90007	3350.0	4
90008	0	0
90010	18151.0	32
90011	500.0	1
90012	6600.0	10
90013	5000.0	7
90014	1000.0	2
90015	20850.0	17
90016	1250.0	2
90017	57350.0	55
90018	250.0	1
90019	14690.0	36
90020	28705.0	31
90021	3400.0	3
90022	6300.0	5
90023	5150.0	5
90024	226488.0	261
90025	293040.0	250
90026	1500.0	2
90027	15450.0	23
90028	4399.0	7
90029	0	0
90031	0	0
90032	3400.0	3
90033	2000.0	2
90034	26765.0	33
90035	27700.0	42
90036	46600.0	112
90037	0	0
90038	21700.0	14
90039	3950.0	8
90040	6000.0	7
90041	4050.0	14
90042	250.0	1
90043	0	0
90044	0	0
90045	34800.0	47
90046	30827.0	46
90047	5000.0	5
90048	98205.0	101
90049	362525.0	362
90056	700.0	3
90057	0	0
90058	18300.0	18
90059	0	0
90061	0	0
90062	0	0
90063	0	0
90064	53350.0	64
90065	6687.0	9
90066	22900.0	28
90067	412262.0	293
90068	24850.0	43
90069	92650.0	116
90071	135038.0	138
90077	289100.0	229
900HH	0	0
90201	300.0	7
90210	586350.0	581
90211	40250.0	53
90212	171105.0	173
90220	8100.0	6
90221	3000.0	4
90222	250.0	1
90230	9450.0	14
90232	5200.0	4
90240	4293.0	9
90241	5150.0	15
90242	3250.0	5
90245	28475.0	41
90247	3200.0	3
90248	7110.0	10
90249	500.0	2
90250	14650.0	33
90254	30350.0	50
90255	1950.0	5
90260	5654.0	9
90261	0	0
90262	2000.0	1
90263	6980.0	6
90265	160320.0	165
90266	260642.0	274
90270	0	0
90272	291872.0	338
90274	349505.0	428
90275	129185.0	179
90277	67304.0	82
90278	97372.0	32
90280	11100.0	9
90290	18300.0	13
90291	37564.0	39
90292	30232.0	37
90293	11350.0	24
902HH	0	0
90301	7600.0	9
90302	5400.0	4
90303	0	0
90304	0	0
90305	400.0	1
90401	72825.0	131
90402	152053.0	146
90403	29690.0	106
90404	17750.0	16
90405	37100.0	46
904HH	0	0
90501	11175.0	22
90502	10550.0	12
90503	21422.0	37
90504	1255.0	6
90505	52658.0	84
90601	5800.0	14
90602	13650.0	22
90603	12975.0	23
90604	11950.0	15
90605	32600.0	53
90606	1550.0	3
90620	4800.0	16
90621	15500.0	13
90623	5970.0	14
90630	17664.0	34
90631	33100.0	61
90638	2366.0	9
90640	6950.0	12
90650	7525.0	9
90660	1000.0	3
90670	13350.0	22
90680	14850.0	21
906HH	0	0
90701	14400.0	25
90703	31635.0	50
90704	250.0	1
90706	11775.0	14
90710	2304.0	9
90712	15120.0	49
90713	780.0	4
90715	200.0	1
90716	4800.0	2
90717	3950.0	8
90720	48750.0	85
90723	20000.0	58
90731	3250.0	10
90732	4200.0	6
90740	39325.0	70
90742	1750.0	8
90743	200.0	1
90744	0	0
90745	1450.0	3
90746	2975.0	5
907HH	0	0
907XX	0	0
90802	27950.0	39
90803	49175.0	89
90804	1510.0	6
90805	1565.0	5
90806	5450.0	9
90807	31550.0	65
90808	4124.0	13
90810	5750.0	9
90813	7900.0	21
90814	8400.0	15
90815	37468.0	78
90822	0	0
908HH	0	0
91001	40424.0	69
91006	65795.0	67
91007	41600.0	60
91010	6650.0	9
91011	195320.0	254
91016	11500.0	25
91020	7580.0	12
91024	15200.0	22
91030	46720.0	92
91040	6200.0	20
91042	250.0	1
910HH	0	0
910XX	0	0
91101	41175.0	55
91103	38850.0	64
91104	14434.0	17
91105	153441.0	192
91106	91700.0	133
91107	64140.0	95
91108	154220.0	193
91201	4600.0	6
91202	20490.0	30
91203	25650.0	18
91204	7850.0	10
91205	10580.0	20
91206	9590.0	19
91207	18075.0	27
91208	26650.0	48
91214	22925.0	34
91301	55750.0	64
91302	85425.0	108
91303	0	0
91304	1000.0	4
91306	300.0	1
91307	21500.0	26
91311	33890.0	44
91316	55700.0	70
91320	36500.0	43
91321	28450.0	38
91324	113449.0	75
91325	53560.0	52
91326	23515.0	39
91331	1885.0	8
91335	22400.0	15
91340	18122.0	19
91342	18750.0	37
91343	21885.0	29
91344	18670.0	27
91345	0	0
91350	28300.0	36
91351	7350.0	20
91352	6300.0	7
91354	6025.0	14
91355	74604.0	96
91356	27275.0	33
91360	41857.0	57
91361	138839.0	177
91362	204905.0	200
91364	82080.0	89
91367	69764.0	85
91377	11999.0	19
91381	31690.0	43
91384	6250.0	13
913HH	0	0
913XX	0	0
91401	20450.0	17
91402	19110.0	42
91403	59725.0	65
91405	3400.0	7
91406	12200.0	15
91411	2500.0	3
91423	55370.0	78
91436	120075.0	146
91501	16500.0	21
91502	3150.0	3
91504	23617.0	27
91505	32490.0	32
91506	16100.0	30
91601	10421.0	7
91602	8700.0	23
91604	88687.0	126
91605	1065.0	4
91606	3250.0	5
91607	10050.0	13
91608	3000.0	5
91701	7500.0	7
91702	500.0	1
91706	2690.0	5
91709	39650.0	48
91710	25557.0	15
91711	45400.0	60
91719	0	0
91722	0	0
91723	5400.0	9
91724	27703.0	58
91730	28182.0	39
91731	1300.0	2
91732	500.0	1
91733	20305.0	13
91737	11750.0	14
91739	10200.0	15
91740	7775.0	11
91741	28487.0	44
91743	0	0
91744	1100.0	3
91745	21985.0	41
91746	6550.0	5
91748	78900.0	65
91750	14870.0	41
91752	3109.0	5
91754	5050.0	12
91755	1540.0	8
91759	3400.0	2
91761	27500.0	39
91762	4750.0	10
91763	5077.0	4
91764	8200.0	5
91765	40917.0	51
91766	1000.0	3
91767	1650.0	6
91768	3300.0	7
91770	19764.0	18
91773	6200.0	20
91775	5100.0	16
91776	12300.0	9
91780	20549.0	15
91784	18550.0	30
91786	9600.0	15
91789	35484.0	28
91790	2750.0	4
91791	8850.0	15
91792	1600.0	3
917HH	0	0
917XX	0	0
91801	47990.0	29
91803	6750.0	20
91901	41674.0	41
91902	13260.0	27
91905	1250.0	4
91906	250.0	1
91910	28176.0	47
91911	15440.0	25
91913	3150.0	9
91914	3230.0	9
91915	2800.0	7
91916	1800.0	5
91917	0	0
91931	0	0
91932	2400.0	6
91934	0	0
91935	27874.0	33
91941	37800.0	69
91942	12500.0	23
91945	4150.0	5
91948	0	0
91950	800.0	4
91962	325.0	2
91963	500.0	2
91977	5295.0	11
91978	1974.0	5
91980	0	0
919HH	0	0
919XX	0	0
92003	6150.0	12
92004	240.0	1
92007	10284.0	21
92008	45800.0	62
92009	53900.0	90
92014	116198.0	157
92019	101350.0	117
92020	21430.0	64
92021	50188.0	69
92024	93124.0	157
92025	40633.0	50
92026	11600.0	25
92027	11375.0	27
92028	41170.0	66
92029	30275.0	42
92036	250.0	1
92037	386139.0	520
92040	39852.0	42
92054	4000.0	10
92056	13245.0	18
92057	17900.0	21
92059	1000.0	1
92060	3150.0	3
92061	4750.0	6
92064	103810.0	130
92065	13350.0	27
92066	0	0
92067	707427.0	774
92069	13550.0	18
92070	450.0	2
92071	7650.0	18
92075	86615.0	134
92078	20265.0	36
92082	7175.0	11
92083	4250.0	11
92084	22365.0	29
92086	0	0
92091	31000.0	40
920HH	0	0
920XX	0	0
92101	95622.0	132
92102	1600.0	3
92103	65375.0	115
92104	6100.0	15
92105	925.0	4
92106	128370.0	187
92107	29900.0	46
92108	17250.0	30
92109	44960.0	70
92110	42343.0	57
92111	52460.0	41
92113	7600.0	7
92114	14100.0	9
92115	8975.0	30
92116	9025.0	25
92117	10050.0	35
92118	83288.0	140
92119	13145.0	21
92120	26855.0	64
92121	67800.0	68
92122	54580.0	81
92123	30925.0	51
92124	14175.0	24
92126	7700.0	16
92127	58805.0	72
92128	23182.0	50
92129	19400.0	35
92130	149126.0	190
92131	44875.0	90
92139	500.0	1
92154	9050.0	8
92173	0	0
921HH	0	0
92201	11405.0	15
92203	28900.0	35
92210	184740.0	195
92211	23175.0	47
92220	48600.0	37
92223	1000.0	4
92225	1425.0	5
92227	53137.0	85
92230	43000.0	23
92231	200.0	1
92233	2100.0	5
92234	1150.0	4
92236	9200.0	10
92239	0	0
92240	5550.0	14
92241	0	0
92242	0	0
92243	16150.0	35
92249	2900.0	2
92250	8450.0	16
92251	1400.0	4
92252	250.0	1
92253	51810.0	93
92254	10100.0	5
92256	0	0
92257	0	0
92258	0	0
92259	0	0
92260	84579.0	130
92262	101045.0	117
92264	88890.0	113
92266	0	0
92267	0	0
92268	0	0
92270	176475.0	241
92273	0	0
92274	3678.0	9
92275	0	0
92276	0	0
92277	1245.0	4
92278	0	0
92280	0	0
92281	300.0	1
92282	0	0
92283	0	0
92284	1250.0	2
92285	0	0
922HH	0	0
922XX	0	0
92301	4375.0	8
92304	0	0
92305	-10.0	1
92307	11370.0	10
92308	1300.0	6
92309	0	0
92310	0	0
92311	4400.0	7
92313	1250.0	4
92314	700.0	2
92315	300.0	1
92316	5270.0	4
92317	750.0	2
92318	0	0
92320	0	0
92321	1250.0	3
92323	0	0
92324	5050.0	7
92325	0	0
92327	0	0
92328	0	0
92332	0	0
92333	1500.0	2
92335	2750.0	3
92336	7125.0	8
92337	0	0
92338	0	0
92339	0	0
92341	0	0
92342	0	0
92345	11450.0	17
92346	49099.0	33
92347	0	0
92352	2000.0	3
92354	1940.0	5
92356	6500.0	16
92358	0	0
92359	0	0
92363	1000.0	1
92364	0	0
92365	1200.0	6
92368	0	0
92371	266.0	2
92372	1000.0	1
92373	28526.0	54
92374	10449.0	29
92376	6030.0	5
92377	1000.0	2
92382	250.0	1
92384	0	0
92386	0	0
92389	0	0
92392	11100.0	8
92394	300.0	1
92397	1650.0	8
92398	0	0
92399	24438.0	34
923HH	0	0
923XX	0	0
92401	4250.0	5
92404	12750.0	31
92405	700.0	3
92407	750.0	3
92408	4400.0	7
92410	250.0	1
92411	2500.0	3
92501	49837.0	48
92503	4700.0	10
92504	12325.0	20
92505	6462.0	6
92506	187332.0	189
92507	26550.0	32
92508	9450.0	15
92509	2750.0	5
92518	4950.0	11
92530	1550.0	5
92532	1250.0	2
92536	0	0
92539	200.0	1
92543	11185.0	28
92544	19850.0	24
92545	6099.0	22
92548	1000.0	1
92549	500.0	1
92551	2900.0	2
92553	230.0	2
92555	925.0	5
92557	16850.0	19
92561	5550.0	7
92562	10674.0	22
92563	2750.0	9
92567	0	0
92570	4635.0	9
92571	2360.0	2
92582	3280.0	4
92583	2475.0	4
92584	4100.0	10
92585	0	0
92586	180.0	3
92587	10175.0	7
92590	7779.0	15
92591	2200.0	8
92592	31765.0	42
92595	1200.0	4
92596	30250.0	50
925HH	0	0
925XX	0	0
92602	12650.0	18
92604	26980.0	50
92606	10300.0	20
92610	13600.0	19
92612	163725.0	196
92614	94088.0	124
92618	104255.0	97
92620	28402.0	40
92624	61725.0	40
92625	221112.0	281
92626	110205.0	112
92627	18891.0	35
92629	84925.0	121
92630	76209.0	115
92646	32975.0	60
92647	10950.0	22
92648	71950.0	94
92649	65217.0	96
92651	254273.0	276
92653	177200.0	160
92655	1000.0	2
92656	34696.0	51
92657	272750.0	267
92660	944214.0	985
92661	49450.0	49
92662	43450.0	55
92663	224366.0	240
92672	86401.0	143
92673	63577.0	97
92675	124433.0	152
92676	500.0	2
92677	171833.0	213
92679	107020.0	159
92683	76324.0	89
92688	21000.0	31
92691	16750.0	27
92692	27290.0	60
92694	10875.0	21
926HH	0	0
926XX	0	0
92701	10850.0	12
92703	6750.0	9
92704	28350.0	45
92705	148601.0	223
92706	12250.0	20
92707	32250.0	25
92708	34395.0	61
92780	48500.0	81
92782	13962.0	24
927HH	0	0
92801	8300.0	16
92802	3100.0	9
92804	9179.0	18
92805	8750.0	9
92806	36550.0	45
92807	81074.0	98
92808	18300.0	28
92821	25945.0	39
92823	5750.0	5
92831	42305.0	71
92832	5650.0	11
92833	22750.0	42
92835	96517.0	133
92840	7470.0	21
92841	41674.0	15
92843	5530.0	13
92844	17100.0	12
92845	4950.0	5
92860	13794.0	28
92861	51950.0	76
92865	4950.0	11
92866	16447.0	23
92867	63175.0	87
92868	10710.0	17
92869	56600.0	81
92870	11150.0	28
92879	6915.0	13
92880	13250.0	14
92881	28800.0	31
92882	14310.0	33
92883	9840.0	6
92886	69585.0	104
92887	35650.0	49
928HH	0	0
928XX	0	0
93001	30203.0	51
93003	17145.0	37
93004	8975.0	20
93010	52669.0	98
93012	65443.0	81
93013	48300.0	59
93015	2050.0	4
93021	21070.0	28
93022	1400.0	3
93023	41415.0	49
93030	10025.0	10
93033	6700.0	10
93035	11048.0	22
93040	0	0
93041	2000.0	7
93060	5248.0	18
93063	9524.0	27
93065	22705.0	50
93066	25000.0	58
93067	36769.0	46
930HH	0	0
930XX	0	0
93101	48500.0	53
93103	32800.0	42
93105	47638.0	74
93108	369531.0	405
93109	38300.0	59
93110	83915.0	128
93111	22878.0	53
93117	20513.0	45
931HH	0	0
931XX	0	0
93201	0	0
93202	5550.0	4
93203	9450.0	7
93204	3500.0	5
93205	0	0
93206	6150.0	9
93207	0	0
93208	0	0
93210	56517.0	50
93212	24920.0	31
93215	21500.0	12
93216	500.0	1
93218	500.0	1
93219	1250.0	3
93221	6650.0	20
93222	0	0
