zoneID	money	freq
06001	170270.0	256
06002	92800.0	179
06010	22640.0	41
06013	20000.0	31
06016	2500.0	4
06018	10100.0	6
06019	27550.0	33
06020	500.0	1
06021	0	0
06022	1950.0	5
06023	250.0	1
06024	0	0
06026	750.0	3
06027	1000.0	1
06029	14400.0	26
06031	32000.0	36
06032	140894.0	220
06033	133250.0	261
06035	4900.0	9
06037	12550.0	51
06039	77050.0	99
06040	68350.0	126
06043	7600.0	12
06051	2187.0	8
06052	21050.0	39
06053	5975.0	14
06057	2250.0	3
06058	18550.0	34
06059	0	0
06060	4000.0	9
06062	6224.0	20
06063	500.0	1
06065	9600.0	5
06066	20600.0	45
06067	29011.0	76
06068	101175.0	100
06069	119812.0	117
06070	108400.0	167
06071	13750.0	20
06073	30900.0	64
06074	28975.0	61
06076	1050.0	3
06078	20750.0	37
06081	0	0
06082	11350.0	27
06084	22650.0	37
06085	2250.0	4
06088	1050.0	3
06089	14750.0	38
06090	3450.0	9
06091	0	0
06092	25400.0	56
06093	4950.0	9
06095	18000.0	43
06096	700.0	3
06098	0	0
060HH	0	0
06103	79585.0	120
06105	122160.0	204
06106	15737.0	41
06107	116051.0	293
06108	22550.0	38
06109	32916.0	80
06110	8850.0	15
06111	24150.0	31
06112	1050.0	3
06114	7600.0	24
06117	228788.0	352
06118	22300.0	34
06119	89375.0	145
06120	500.0	2
061HH	0	0
06226	3950.0	9
06231	1700.0	4
06232	5550.0	3
06234	1500.0	2
06235	0	0
06237	2400.0	5
06238	8250.0	19
06239	750.0	3
06241	2750.0	4
06242	3350.0	4
06247	5550.0	4
06248	12500.0	20
06249	1500.0	4
06250	23950.0	23
06254	1650.0	4
06255	0	0
06256	3650.0	5
06259	14200.0	31
06260	2750.0	5
06262	0	0
06264	800.0	2
06266	0	0
06268	23500.0	54
06269	0	0
06277	0	0
06278	1500.0	4
06279	1900.0	8
06280	1000.0	3
06281	6200.0	16
06282	0	0
062HH	0	0
06320	28939.0	64
06330	1125.0	4
06331	861.0	3
06333	6950.0	19
06334	0	0
06335	500.0	6
06336	0	0
06339	18950.0	29
06340	31725.0	63
06351	2250.0	6
06354	0	0
06355	300450.0	53
06357	29370.0	44
06359	12410.0	20
06360	4725.0	20
06365	2250.0	6
06370	18150.0	16
06371	103818.0	163
06373	0	0
06374	0	0
06375	2950.0	12
06376	0	0
06377	0	0
06378	23057.0	53
06379	17200.0	23
06380	1000.0	1
06382	76750.0	57
06384	750.0	3
06385	27000.0	71
063HH	0	0
06401	2150.0	6
06403	3150.0	5
06405	152623.0	228
06409	0	0
06410	125724.0	163
06412	64016.0	83
06413	17550.0	36
06415	14240.0	23
06416	12150.0	29
06417	6050.0	17
06418	500.0	1
06419	5350.0	10
06420	10550.0	19
06422	15600.0	29
06423	17350.0	24
06424	13850.0	19
06426	33200.0	56
06430	19050.0	19
06432	2250.0	4
06437	92187.0	144
06438	2650.0	8
06441	4700.0	11
06442	1850.0	8
06443	117010.0	181
06447	5900.0	14
06450	24050.0	27
06451	10212.0	12
06455	3500.0	6
06457	27798.0	67
06460	34315.0	55
06468	69400.0	73
06469	750.0	3
06470	49074.0	61
06471	8600.0	14
06472	3250.0	8
06473	21500.0	50
06475	27210.0	66
06477	45850.0	48
06478	4550.0	9
06479	7250.0	6
06480	23750.0	37
06481	0	0
06482	9550.0	17
06483	2350.0	8
06484	13000.0	19
06488	76550.0	215
06489	17620.0	26
06490	1000.0	1
06492	44760.0	69
06498	12150.0	20
064HH	0	0
06504	0	0
06510	98321.0	157
06511	209022.0	315
06512	24550.0	27
06513	9950.0	16
06514	15450.0	19
06515	15250.0	30
06516	34500.0	40
06517	58215.0	107
06518	34650.0	39
06519	3250.0	9
06524	5500.0	12
06525	131610.0	153
065HH	0	0
06604	59100.0	57
06605	7310.0	18
06606	6115.0	21
06607	-4200.0	3
06608	500.0	1
06610	5550.0	5
06611	39575.0	76
06612	48900.0	60
06614	12300.0	24
06615	18200.0	31
066HH	0	0
06702	225.0	1
06704	2250.0	6
06705	1750.0	6
06706	4000.0	6
06708	5750.0	16
06710	950.0	4
06712	750.0	3
06716	8000.0	16
06750	500.0	1
06751	4000.0	9
06752	45800.0	49
06754	10500.0	22
06755	1900.0	5
06756	5650.0	6
06757	74622.0	75
06759	76608.0	92
06762	18700.0	34
06763	2500.0	3
06770	3650.0	11
06776	18600.0	28
06777	25050.0	23
06778	3400.0	2
06779	500.0	1
06782	0	0
06783	63824.0	83
06784	46250.0	38
06785	21100.0	26
06786	500.0	1
06787	250.0	1
06790	12550.0	17
06791	13550.0	15
06793	81523.0	87
06794	53287.0	73
06795	7100.0	19
06796	48700.0	51
06798	25224.0	55
067HH	0	0
06801	7100.0	20
06804	15750.0	19
06807	119860.0	143
06810	10850.0	20
06811	17950.0	28
06812	13587.0	24
06820	408720.0	362
06830	1293192.0	1078
06831	1233592.0	1018
06840	564101.0	584
06850	24400.0	36
06851	58030.0	82
06853	67800.0	56
06854	30050.0	35
06855	22585.0	42
06870	179125.0	210
06877	126314.0	147
06878	296400.0	267
06880	749510.0	799
06883	137642.0	158
06896	37450.0	62
06897	226950.0	231
068HH	0	0
06901	31597.0	41
06902	202949.0	254
06903	338975.0	427
06905	70860.0	93
06906	3500.0	10
06907	1900.0	4
069HH	0	0
