zoneID	money	freq
19701	24580.0	53
19702	22798.0	52
19703	5150.0	14
19706	1250.0	4
19707	235328.0	374
19709	48853.0	93
19710	113350.0	115
19711	170850.0	309
19713	23148.0	40
19720	52418.0	74
19730	12027.0	24
19731	0	0
19732	64850.0	75
19733	2000.0	1
19734	13217.0	17
19736	6980.0	15
197HH	0	0
19801	159114.0	172
19802	49667.0	107
19803	421249.0	647
19804	4450.0	12
19805	68550.0	122
19806	416535.0	620
19807	1307982.0	1519
19808	68081.0	143
19809	43550.0	85
19810	111556.0	207
198HH	0	0
19901	28775.0	60
19902	0	0
19904	34016.0	78
19930	32050.0	40
19931	500.0	1
19933	4400.0	12
19934	27640.0	40
19938	5850.0	9
19939	7264.0	18
19940	3450.0	5
19941	500.0	1
19942	0	0
19943	7117.0	14
19944	3300.0	3
19945	2600.0	7
19946	6246.0	16
19947	16300.0	32
19950	500.0	2
19951	2000.0	5
19952	4250.0	11
19953	0	0
19954	0	0
19955	353.0	1
19956	14290.0	26
19958	124916.0	180
19960	13750.0	19
19962	3000.0	7
19963	26604.0	46
19964	0	0
19966	20950.0	30
19967	0	0
19968	30425.0	41
19970	15281.0	21
19971	122558.0	169
19973	22350.0	34
19975	7250.0	13
19977	13300.0	25
19979	0	0
19980	0	0
199HH	0	0
