zoneID	money	freq
32008	2967.0	6
32009	0	0
32011	900.0	3
32013	0	0
32024	1150.0	5
32025	2650.0	7
32033	0	0
32034	138821.0	214
32038	-45.0	1
32040	0	0
32043	7483.0	18
32044	200.0	1
32046	1500.0	2
32052	0	0
32053	0	0
32054	0	0
32055	4200.0	10
32058	600.0	2
32059	0	0
32060	10331.0	37
32061	0	0
32062	2351.0	7
32063	215.0	1
32065	1450.0	6
32066	2650.0	8
32068	13300.0	12
32071	7298.0	6
32072	0	0
32073	28447.0	48
32079	1000.0	1
32082	386339.0	467
32083	0	0
32084	17700.0	31
32086	5800.0	10
32087	0	0
32091	3000.0	7
32092	18577.0	35
32094	2500.0	4
32095	3025.0	8
32096	250.0	1
32097	1750.0	3
320HH	0	0
320XX	0	0
32102	0	0
32110	547.0	2
32112	900.0	4
32113	12000.0	5
32114	9050.0	10
32117	3295.0	8
32118	43375.0	63
32119	24700.0	16
32124	250.0	1
32127	11865.0	36
32130	650.0	2
32131	12800.0	13
32132	1900.0	7
32134	0	0
32136	1150.0	4
32137	33325.0	43
32138	0	0
32139	0	0
32140	0	0
32141	1400.0	6
32145	2900.0	4
32147	0	0
32148	200.0	1
32157	0	0
32159	31550.0	33
32164	550.0	2
32168	7572.0	14
32169	45712.0	48
32174	53525.0	107
32176	35050.0	41
32177	1200.0	4
32179	500.0	1
32180	0	0
32181	0	0
32182	0	0
32183	0	0
32185	0	0
32187	750.0	2
32189	250.0	1
32190	0	0
32193	500.0	1
32195	45533.0	9
321HH	0	0
321XX	0	0
32202	58500.0	51
32204	91800.0	84
32205	26277.0	41
32206	6777.0	8
32207	113838.0	128
32208	750.0	2
32209	1537.0	4
32210	131140.0	177
32211	3050.0	6
32212	0	0
32215	0	0
32216	19052.0	29
32217	70174.0	118
32218	7351.0	9
32219	1600.0	6
32220	8750.0	9
32221	8350.0	5
32222	3550.0	11
32223	53210.0	85
32224	53975.0	65
32225	37375.0	56
32226	28450.0	28
32227	0	0
32233	38482.0	45
32234	3000.0	5
32244	7400.0	16
32246	9400.0	13
32250	36275.0	52
32254	1000.0	3
32256	67120.0	104
32257	53565.0	71
32258	3400.0	9
32259	33850.0	59
32266	4064.0	9
32277	3250.0	6
322HH	0	0
32301	69514.0	71
32303	51322.0	71
32304	4350.0	11
32308	101147.0	238
32310	2651.0	5
32311	47500.0	45
32312	164557.0	246
32320	500.0	1
32321	0	0
32322	0	0
32323	0	0
32324	250.0	1
32327	1566.0	8
32328	600.0	3
32330	0	0
32331	3000.0	6
32332	0	0
32333	10680.0	12
32334	1500.0	1
32335	0	0
32336	4500.0	15
32337	0	0
32340	950.0	3
32343	0	0
32344	38408.0	34
32346	500.0	1
32347	6500.0	11
32350	0	0
32351	500.0	1
32355	13851.0	19
32356	0	0
32357	0	0
32358	250.0	1
32359	250.0	1
32360	0	0
32361	2750.0	5
32399	0	0
323HH	0	0
323XX	0	0
32401	78043.0	125
32403	0	0
32404	19174.0	39
32405	124800.0	178
32407	18250.0	27
32408	56747.0	78
32409	12558.0	28
32410	2400.0	1
32413	35689.0	42
32420	0	0
32421	1250.0	2
32422	0	0
32423	0	0
32424	2001.0	6
32425	0	0
32426	21400.0	9
32427	0	0
32428	16671.0	24
32430	0	0
32431	2520.0	6
32432	0	0
32433	1550.0	4
32437	0	0
32438	0	0
32439	4540.0	5
32440	3300.0	6
32442	7400.0	6
32443	0	0
32444	113241.0	193
32445	0	0
32446	8134.0	12
32447	2200.0	7
32448	2250.0	6
32449	0	0
32455	700.0	3
32456	2918.0	8
32459	66497.0	90
32460	400.0	2
32462	0	0
32463	0	0
32464	250.0	1
32465	750.0	2
32466	1151.0	4
324HH	0	0
324XX	0	0
32501	14400.0	14
32503	34975.0	70
32504	17465.0	36
32505	2650.0	7
32506	900.0	4
32507	13445.0	24
32508	505.0	2
32514	10100.0	31
32526	3350.0	7
32531	2000.0	1
32533	4300.0	12
32534	1700.0	7
32535	6537.0	13
32536	4400.0	6
32539	750.0	3
32541	60900.0	71
32542	0	0
32544	2400.0	1
32547	11550.0	18
32548	5750.0	15
32561	25350.0	36
32564	1500.0	2
32565	1400.0	4
32566	3175.0	12
32567	0	0
32568	0	0
32569	5855.0	11
32570	2175.0	11
32571	4500.0	11
32577	250.0	1
32578	89359.0	79
32579	48110.0	45
32580	250.0	1
32583	5375.0	12
325HH	0	0
325XX	0	0
32601	6150.0	5
32603	3750.0	5
32605	61229.0	57
32606	17723.0	34
32607	22800.0	50
32608	32100.0	55
32609	3450.0	9
32615	5750.0	9
32616	4416.0	9
32617	500.0	1
32618	525.0	4
32619	2400.0	1
32621	750.0	3
32622	0	0
32625	225.0	1
32626	500.0	2
32628	0	0
32639	0	0
32640	1750.0	5
32641	0	0
32643	3000.0	4
32648	401.0	2
32653	22032.0	26
32654	0	0
32656	1500.0	5
32658	500.0	1
32662	0	0
32664	1000.0	1
32666	5143.0	14
32667	1000.0	4
32668	1250.0	4
32669	10175.0	18
32680	6201.0	11
32681	0	0
32683	0	0
32686	5600.0	4
32692	0	0
32693	7520.0	8
32694	0	0
32696	7724.0	8
32697	0	0
326HH	0	0
326XX	0	0
32701	13950.0	24
32702	0	0
32703	72138.0	52
32706	0	0
32707	6840.0	14
32708	57129.0	124
32709	300.0	1
32712	20750.0	65
32713	5900.0	9
32714	26050.0	49
32720	9750.0	13
32724	22385.0	46
32725	950.0	4
32726	10951.0	29
32730	0	0
32732	2500.0	6
32735	250.0	1
32736	4807.0	15
32738	-72.0	1
32744	500.0	1
32746	48921.0	77
32750	15800.0	28
32751	140503.0	196
32754	850.0	3
32757	12300.0	20
32759	-50.0	1
32763	6000.0	17
32764	800.0	2
32765	65213.0	121
32766	36125.0	46
32767	0	0
32771	22444.0	58
32773	1000.0	2
32775	0	0
32776	3550.0	7
32778	10015.0	22
32779	199263.0	234
32780	50550.0	58
32784	3925.0	10
32789	484928.0	704
32792	56455.0	95
32796	6500.0	7
32798	500.0	1
327HH	0	0
327XX	0	0
32801	51856.0	89
32803	52700.0	95
32804	156765.0	271
32805	10850.0	7
32806	102125.0	151
32807	4000.0	6
32808	3850.0	5
32809	60155.0	77
32810	2850.0	6
32811	5650.0	9
32812	21465.0	34
32817	8800.0	19
32818	990.0	4
32819	65070.0	105
32820	2000.0	4
32821	5650.0	4
32822	19376.0	25
32824	2100.0	3
32825	10975.0	28
32826	3400.0	7
32827	17300.0	26
32828	15945.0	26
32829	3244.0	6
32831	0	0
32832	9653.0	18
32833	2100.0	5
32835	53774.0	85
32836	63353.0	99
32837	3724.0	11
32839	9911.0	17
328HH	0	0
32901	15500.0	24
32903	41550.0	65
32904	20450.0	30
32905	480.0	3
32907	5525.0	5
32908	1250.0	3
32909	450.0	2
32920	3050.0	4
32922	33550.0	35
32925	0	0
32926	23350.0	37
32927	1807.0	2
32931	11251.0	27
32934	12550.0	23
32935	19525.0	35
32937	102540.0	107
32940	42975.0	64
32948	0	0
32949	490.0	2
32950	5200.0	16
32951	24750.0	37
32952	113482.0	157
32953	15500.0	32
32955	57051.0	99
32958	4325.0	15
32960	15250.0	25
32962	7050.0	13
32963	731675.0	855
32966	16650.0	33
32967	43650.0	116
32968	13800.0	17
32970	0	0
32976	700.0	3
329HH	0	0
329XX	0	0
33001	0	0
33004	1250.0	2
33009	26610.0	32
33010	3750.0	5
33012	14770.0	19
33013	1083.0	2
33014	42301.0	53
33015	24000.0	26
33016	47350.0	52
33018	17605.0	20
33019	38122.0	52
33020	7420.0	20
33021	31500.0	50
33023	5719.0	9
33024	24360.0	24
33025	1752.0	4
33026	54275.0	107
33027	25400.0	45
33028	38650.0	24
33029	22590.0	34
33030	4926.0	11
33031	15800.0	13
33032	1500.0	3
33033	3900.0	7
33034	0	0
33035	2400.0	1
33036	7450.0	16
33037	193763.0	253
33040	74164.0	78
33042	9500.0	14
33043	0	0
33050	25750.0	31
33054	500.0	1
33055	3150.0	4
33056	4800.0	2
33060	9835.0	16
33062	86600.0	120
33063	2900.0	5
33064	132950.0	203
33065	30800.0	34
33066	2900.0	7
33067	63857.0	93
33068	0	0
33069	8200.0	18
33070	5250.0	11
33071	20550.0	58
