zoneID	money	freq
96701	71225.0	112
96703	4280.0	6
96704	850.0	4
96705	4000.0	4
96706	24620.0	33
96707	51650.0	68
96708	2700.0	10
96710	0	0
96712	4620.0	7
96713	200.0	1
96714	3050.0	5
96716	0	0
96717	0	0
96718	0	0
96719	0	0
96720	48760.0	76
96722	13990.0	14
96725	200.0	1
96727	485.0	5
96728	250.0	1
96729	750.0	3
96730	-670.0	9
96731	3000.0	2
96732	5600.0	13
96734	171379.0	291
96737	0	0
96738	650.0	2
96740	10750.0	23
96741	1350.0	4
96742	0	0
96743	31400.0	37
96744	131680.0	220
96746	7890.0	17
96747	-150.0	2
96748	1700.0	4
96749	3700.0	5
96750	200.0	1
96751	0	0
96752	1390.0	6
96753	35274.0	39
96754	1750.0	4
96755	2450.0	4
96756	4350.0	10
96757	300.0	1
96759	9400.0	4
96760	250.0	1
96761	4950.0	9
96762	5800.0	3
96763	0	0
96764	0	0
96766	6455.0	17
96768	8100.0	12
96769	-4610.0	5
96770	0	0
96771	200.0	1
96772	0	0
96773	500.0	1
96774	0	0
96776	0	0
96777	0	0
96778	200.0	1
96779	950.0	4
96780	0	0
96781	0	0
96782	6150.0	28
96783	2250.0	3
96785	1750.0	3
96786	14835.0	19
96789	50480.0	76
96790	15050.0	25
96791	7800.0	10
96792	30200.0	47
96793	14950.0	32
96795	19050.0	24
96796	2200.0	2
96797	28594.0	37
967HH	0	0
967XX	0	0
96813	307699.0	455
96814	115599.0	162
96815	93050.0	122
96816	257034.0	385
96817	151917.0	238
96818	27765.0	34
96819	44660.0	90
96821	274880.0	425
96822	209789.0	373
96825	120265.0	240
96826	37905.0	65
96862	0	0
96863	0	0
968HH	0	0
