zoneID	money	freq
83201	13525.0	20
83202	1250.0	2
83203	9600.0	4
83204	6470.0	15
83210	800.0	3
83211	1000.0	2
83212	0	0
83213	0	0
83214	0	0
83215	0	0
83217	200.0	1
83218	0	0
83220	0	0
83221	7600.0	6
83223	0	0
83226	8850.0	8
83227	500.0	1
83228	0	0
83232	0	0
83234	0	0
83235	0	0
83236	0	0
83237	250.0	1
83238	0	0
83239	0	0
83241	1250.0	3
83243	0	0
83244	0	0
83245	500.0	1
83246	0	0
83250	0	0
83251	2250.0	2
83252	0	0
83253	0	0
83254	0	0
83255	0	0
83261	0	0
83262	0	0
83263	1669.0	3
83271	0	0
83272	0	0
83274	650.0	2
83276	200.0	1
83277	0	0
83278	5300.0	3
83281	0	0
83283	0	0
83285	0	0
83286	1334.0	4
83287	0	0
832HH	0	0
832XX	0	0
83301	20000.0	43
83302	1500.0	5
83311	1600.0	1
83312	0	0
83313	6600.0	8
83314	0	0
83316	750.0	2
83318	4150.0	10
83320	500.0	2
83321	1000.0	1
83322	0	0
83323	250.0	1
83324	0	0
83325	250.0	1
83327	0	0
83328	1050.0	3
83330	3250.0	6
83332	300.0	1
83333	27951.0	67
83334	0	0
83335	0	0
83336	0	0
83337	0	0
83338	3400.0	10
83340	84745.0	87
83341	1150.0	5
83342	4000.0	2
83344	0	0
83346	0	0
83347	0	0
83348	1250.0	3
83349	0	0
83350	750.0	2
83352	0	0
83353	58350.0	53
83354	750.0	2
83355	700.0	2
833HH	0	0
833XX	0	0
83401	27324.0	44
83402	52474.0	60
83404	35000.0	61
83406	19500.0	16
83420	1000.0	2
83421	0	0
83422	6501.0	9
83423	0	0
83424	500.0	1
83425	250.0	1
83427	2150.0	5
83428	0	0
83429	0	0
83431	0	0
83433	0	0
83434	2400.0	1
83435	0	0
83436	0	0
83440	6400.0	15
83442	24000.0	24
83443	200.0	1
83444	0	0
83445	700.0	2
83446	0	0
83448	0	0
83449	0	0
83450	1000.0	4
83451	0	0
83452	500.0	2
83455	2800.0	8
83462	0	0
83463	0	0
83464	0	0
83465	0	0
83466	0	0
83467	10100.0	5
83468	0	0
83469	0	0
834HH	0	0
834XX	0	0
83501	26958.0	49
83520	0	0
83522	1650.0	4
83523	0	0
83524	250.0	1
83525	0	0
83526	0	0
83530	8189.0	14
83533	0	0
83535	0	0
83536	5600.0	16
83537	0	0
83539	0	0
83540	700.0	2
83541	0	0
83542	0	0
83543	0	0
83544	0	0
83545	0	0
83546	0	0
83547	0	0
83548	0	0
83549	450.0	2
83552	1400.0	3
83553	0	0
83554	600.0	1
83555	0	0
835HH	0	0
835XX	0	0
83601	0	0
83602	0	0
83604	3000.0	4
83605	8899.0	18
83607	5050.0	16
83610	250.0	1
83611	235.0	1
83612	400.0	1
83615	3159.0	4
83616	130508.0	180
83617	16877.0	19
83619	1810.0	3
83620	0	0
83622	250.0	1
83623	500.0	1
83624	0	0
83626	3000.0	4
83627	0	0
83628	900.0	5
83629	0	0
83631	0	0
83632	0	0
83633	0	0
83634	1400.0	4
83637	0	0
83638	10050.0	23
83639	1400.0	5
83641	3325.0	3
83642	55785.0	66
83643	0	0
83644	1350.0	5
83645	1950.0	5
83647	1900.0	6
83648	0	0
83650	750.0	2
83651	4367.0	11
83654	2900.0	4
83655	5936.0	17
83656	0	0
83657	0	0
83660	6650.0	10
83661	650.0	2
83666	0	0
83669	15820.0	14
83670	0	0
83671	0	0
83672	4000.0	14
83676	750.0	2
83677	0	0
83686	16700.0	32
83687	15300.0	26
836HH	0	0
836XX	0	0
83702	141765.0	237
83703	35780.0	63
83704	34750.0	52
83705	32349.0	50
83706	67545.0	126
83709	42480.0	56
83712	87141.0	123
83713	23100.0	37
83714	56258.0	82
83716	16800.0	31
83788	0	0
837HH	0	0
837XX	0	0
83801	2500.0	4
83802	0	0
83803	0	0
83804	0	0
83805	1000.0	3
83806	0	0
83808	0	0
83809	0	0
83810	2371.0	6
83811	400.0	2
83812	0	0
83813	300.0	1
83814	104513.0	84
83815	23603.0	44
83821	0	0
83822	0	0
83823	0	0
83824	0	0
83826	500.0	1
83827	0	0
83830	0	0
83832	1729.0	3
83833	1200.0	5
83834	0	0
83835	84191.0	208
83836	1350.0	5
83837	0	0
83839	0	0
83841	4800.0	2
83842	250.0	1
83843	31750.0	46
83845	300.0	1
83846	0	0
83847	0	0
83848	0	0
83849	1500.0	5
83850	1000.0	3
83851	11200.0	8
83852	0	0
83853	0	0
83854	55900.0	66
83855	0	0
83856	4800.0	2
83857	300.0	1
83858	4050.0	9
83860	13783.0	18
83861	1450.0	4
83864	33150.0	37
83866	0	0
83867	2450.0	5
83868	0	0
83869	1000.0	3
83870	0	0
83871	250.0	1
83872	750.0	1
83873	1700.0	4
83874	0	0
83876	8900.0	7
838HH	0	0
838XX	0	0
