zoneID	money	freq
46001	0	0
46011	3250.0	10
46012	3250.0	5
46013	250.0	1
46016	0	0
46017	250.0	1
46030	0	0
46031	0	0
46032	134787.0	206
46033	31749.0	63
46034	5250.0	10
46035	0	0
46036	0	0
46038	20100.0	40
46039	0	0
46040	3500.0	5
46041	1150.0	5
46044	0	0
46045	0	0
46047	0	0
46048	-25.0	1
46049	0	0
46050	0	0
46051	0	0
46052	2750.0	4
46055	10400.0	24
46056	0	0
46057	0	0
46058	0	0
46060	2200.0	7
46063	0	0
46064	1000.0	1
46065	0	0
46068	0	0
46069	1000.0	1
46070	0	0
46071	0	0
46072	2400.0	2
46074	2200.0	7
46075	42000.0	25
46076	0	0
46077	75067.0	113
460HH	0	0
46102	0	0
46103	0	0
46104	0	0
46105	0	0
46106	2448.0	6
46107	1000.0	2
46110	0	0
46111	0	0
46112	4090.0	8
46113	0	0
46115	0	0
46117	0	0
46118	0	0
46120	0	0
46121	-2100.0	1
46122	1500.0	3
46123	7760.0	16
46124	3000.0	3
46125	0	0
46126	2050.0	4
46127	0	0
46128	500.0	1
46130	0	0
46131	13400.0	8
46133	0	0
46135	15350.0	30
46140	19300.0	26
46142	3650.0	8
46143	23850.0	33
46144	0	0
46147	0	0
46148	0	0
46149	0	0
46150	0	0
46151	2800.0	8
46155	0	0
46156	0	0
46157	800.0	4
46158	-50.0	3
46160	900.0	4
46161	0	0
46162	0	0
46163	0	0
46164	1251.0	4
46165	0	0
46166	0	0
46167	1250.0	2
46168	5880.0	10
46171	0	0
46172	0	0
46173	0	0
46175	0	0
46176	700.0	2
46180	0	0
46181	2900.0	2
46182	500.0	1
46184	0	0
46186	0	0
461HH	0	0
46201	5200.0	11
46202	91475.0	136
46203	7250.0	17
46204	188910.0	215
46205	41268.0	77
46208	96280.0	149
46214	750.0	3
46216	3500.0	6
46217	12650.0	22
46218	5750.0	6
46219	21388.0	44
46220	84299.0	204
46221	1000.0	2
46222	2000.0	6
46224	1400.0	5
46225	3450.0	8
46226	10400.0	18
46227	2450.0	4
46228	69793.0	132
46229	2290.0	5
46231	500.0	2
46234	34393.0	50
46235	1000.0	2
46236	45548.0	70
46237	18600.0	18
46239	9600.0	20
46240	130433.0	177
46241	11450.0	8
46250	38660.0	59
46254	32123.0	40
46256	43850.0	80
46259	5100.0	10
46260	77089.0	109
46268	6650.0	16
46278	31500.0	58
46280	250.0	1
46290	12300.0	17
462HH	0	0
46301	1350.0	2
46303	6800.0	4
46304	15050.0	16
46307	36000.0	41
46310	4600.0	2
46311	22350.0	29
46312	2250.0	6
46319	1500.0	5
46320	1800.0	4
46321	89450.0	83
46322	17040.0	15
46323	1250.0	3
46324	3500.0	12
46327	250.0	1
46340	0	0
46341	300.0	1
46342	2850.0	9
46345	0	0
46346	0	0
46347	0	0
46348	0	0
46349	0	0
46350	8750.0	25
46356	2850.0	4
46360	19153.0	27
46365	0	0
46366	0	0
46368	8000.0	11
46371	0	0
46373	5750.0	8
46374	0	0
46375	24100.0	35
46376	0	0
46377	0	0
46379	0	0
46381	0	0
46382	0	0
46383	13650.0	20
46385	20200.0	33
46390	0	0
46391	1750.0	4
46392	1000.0	2
46393	0	0
46394	500.0	1
463HH	0	0
46402	0	0
46403	6100.0	8
46404	2250.0	5
46405	0	0
46406	900.0	3
46407	210.0	1
46408	0	0
46409	-1900.0	1
46410	9142.0	13
464HH	0	0
46501	0	0
46502	0	0
46504	0	0
46506	3400.0	5
46507	7000.0	10
46508	0	0
46510	0	0
46511	200.0	1
46513	0	0
46514	9727.0	17
46516	8943.0	17
46517	3500.0	6
46524	0	0
46526	8725.0	14
46528	2800.0	7
46530	65341.0	115
46531	0	0
46532	200.0	1
46534	2300.0	1
46536	0	0
46537	0	0
46538	500.0	1
46539	0	0
46540	6300.0	11
46542	0	0
46543	0	0
46544	3850.0	9
46545	6550.0	13
46550	250.0	1
46552	0	0
46553	0	0
46554	0	0
46555	1125.0	2
46556	250.0	1
46561	250.0	1
46562	0	0
46563	3678.0	8
46565	250.0	1
46566	0	0
46567	14200.0	12
46570	0	0
46571	0	0
46573	1000.0	2
46574	0	0
46580	3750.0	4
46582	0	0
46590	0	0
46595	0	0
465HH	0	0
46601	4350.0	14
46613	0	0
46614	20600.0	45
46615	15780.0	24
46616	3350.0	12
46617	26175.0	54
