zoneID	money	freq
46001	2030.0	8
46011	33750.0	60
46012	10400.0	17
46013	4550.0	6
46016	1000.0	3
46017	0	0
46030	6400.0	8
46031	2000.0	1
46032	465538.0	547
46033	222252.0	304
46034	9800.0	12
46035	240.0	1
46036	2338.0	5
46038	34100.0	65
46039	1500.0	2
46040	6100.0	12
46041	1900.0	6
46044	1500.0	3
46045	0	0
46047	0	0
46048	0	0
46049	1250.0	3
46050	0	0
46051	450.0	2
46052	7000.0	18
46055	12700.0	13
46056	0	0
46057	500.0	2
46058	250.0	1
46060	14440.0	33
46063	500.0	1
46064	12200.0	22
46065	200.0	1
46068	1500.0	5
46069	3450.0	6
46070	0	0
46071	450.0	2
46072	2550.0	8
46074	18471.0	43
46075	450.0	2
46076	0	0
46077	154682.0	241
460HH	0	0
46102	0	0
46103	0	0
46104	0	0
46105	0	0
46106	23150.0	25
46107	4550.0	7
46110	0	0
46111	0	0
46112	36178.0	59
46113	1900.0	3
46115	2047.0	4
46117	0	0
46118	3150.0	3
46120	7396.0	13
46121	500.0	1
46122	10800.0	19
46123	17021.0	32
46124	9350.0	16
46125	0	0
46126	4650.0	5
46127	0	0
46128	0	0
46130	1700.0	5
46131	21700.0	28
46133	250.0	1
46135	3252.0	9
46140	20192.0	41
46142	66940.0	56
46143	60757.0	102
46144	0	0
46147	0	0
46148	700.0	3
46149	300.0	1
46150	750.0	2
46151	28700.0	38
46155	0	0
46156	10770.0	19
46157	0	0
46158	7350.0	13
46160	625.0	4
46161	9800.0	20
46162	0	0
46163	18700.0	26
46164	790.0	3
46165	3500.0	4
46166	0	0
46167	9200.0	12
46168	9094.0	13
46171	0	0
46172	0	0
46173	9650.0	27
46175	0	0
46176	86860.0	156
46180	250.0	1
46181	1800.0	5
46182	3650.0	6
46184	6250.0	4
46186	550.0	2
461HH	0	0
46201	5406.0	6
46202	66119.0	98
46203	9905.0	12
46204	190634.0	218
46205	22303.0	61
46208	37108.0	61
46214	7400.0	9
46216	5050.0	11
46217	31850.0	43
46218	3400.0	4
46219	9700.0	19
46220	196672.0	227
46221	2499.0	7
46222	4991.0	8
46224	2316.0	11
46225	10780.0	13
46226	29500.0	41
46227	45488.0	38
46228	98350.0	90
46229	2500.0	5
46231	1050.0	4
46234	31696.0	44
46235	6891.0	10
46236	116630.0	148
46237	85375.0	63
46239	24850.0	30
46240	303112.0	312
46241	10900.0	10
46250	92021.0	124
46254	16685.0	24
46256	105874.0	115
46259	10449.0	17
46260	266590.0	284
46268	35500.0	51
46278	44400.0	66
46280	13000.0	31
46290	7250.0	12
462HH	0	0
46301	0	0
46303	1500.0	2
46304	13143.0	18
46307	56000.0	53
46310	20050.0	16
46311	30100.0	32
46312	0	0
46319	2250.0	4
46320	1000.0	4
46321	49374.0	55
46322	7375.0	20
46323	300.0	1
46324	1225.0	3
46327	0	0
46340	0	0
46341	0	0
46342	500.0	2
46345	2400.0	1
46346	0	0
46347	250.0	1
46348	1000.0	1
46349	0	0
46350	48122.0	68
46356	2450.0	6
46360	5660.0	14
46365	0	0
46366	6900.0	7
46368	6700.0	15
46371	200.0	1
46373	2450.0	6
46374	500.0	1
46375	93719.0	60
46376	0	0
46377	0	0
46379	0	0
46381	0	0
46382	750.0	2
46383	49371.0	67
46385	80101.0	95
46390	0	0
46391	7200.0	5
46392	12400.0	7
46393	0	0
46394	200.0	1
463HH	0	0
46402	0	0
46403	3400.0	5
46404	0	0
46405	0	0
46406	0	0
46407	0	0
46408	550.0	2
46409	0	0
46410	20266.0	15
464HH	0	0
46501	0	0
46502	0	0
46504	3000.0	2
46506	202710.0	135
46507	70450.0	70
46508	0	0
46510	0	0
46511	13300.0	17
46513	0	0
46514	108775.0	137
46516	66600.0	79
46517	35368.0	49
46524	0	0
46526	27850.0	49
46528	9260.0	24
46530	106996.0	148
46531	0	0
46532	0	0
46534	8833.0	12
46536	11275.0	8
46537	0	0
46538	2150.0	7
46539	0	0
46540	29050.0	42
46542	1500.0	2
46543	2350.0	3
46544	53100.0	63
46545	69860.0	78
46550	9450.0	19
46552	1550.0	4
46553	500.0	2
46554	13100.0	14
46555	1850.0	6
46556	0	0
46561	6450.0	13
46562	500.0	2
46563	23660.0	36
46565	10067.0	13
46566	0	0
46567	38172.0	40
46570	0	0
46571	6250.0	10
46573	9350.0	10
46574	18100.0	19
46580	29500.0	49
46582	9500.0	15
46590	37850.0	50
46595	0	0
465HH	0	0
46601	6500.0	8
46613	1500.0	3
46614	126070.0	161
46615	3000.0	5
46616	2650.0	8
46617	16500.0	29
46619	7550.0	7
46628	23000.0	19
46629	0	0
46635	5550.0	6
46637	15485.0	27
466HH	0	0
46701	2340.0	5
46702	3454.0	8
46703	19500.0	64
46705	1250.0	2
46706	77237.0	52
46710	2490.0	9
46711	5300.0	3
46714	10210.0	31
46721	0	0
46723	0	0
46725	16200.0	17
46730	0	0
46731	0	0
46732	0	0
46733	12950.0	15
46737	9757.0	26
46738	200.0	1
46740	1600.0	4
46741	8600.0	13
46742	1200.0	4
46743	0	0
46745	4800.0	2
46746	29410.0	30
46747	200.0	1
46748	4350.0	6
46750	8470.0	26
46755	23527.0	30
46759	0	0
46760	0	0
46761	6200.0	16
46763	0	0
46764	7200.0	3
46765	6550.0	13
46766	0	0
46767	0	0
46770	3250.0	8
46772	250.0	1
46773	200.0	1
46774	6950.0	15
46776	0	0
46777	1000.0	3
