zoneID	money	freq
70001	115874.0	155
70002	141492.0	186
70003	60500.0	74
70005	272079.0	340
70006	35425.0	48
70030	36700.0	22
70031	0	0
70032	3300.0	2
70036	250.0	1
70037	49300.0	52
70038	0	0
70039	5800.0	5
70040	4400.0	3
70041	2200.0	3
70043	34396.0	26
70047	28034.0	35
70049	0	0
70050	0	0
70051	5950.0	6
70052	0	0
70053	21025.0	38
70056	41493.0	69
70057	1500.0	3
70058	62350.0	51
70062	4200.0	15
70065	91926.0	95
70066	0	0
70067	0	0
70068	44324.0	52
70070	16850.0	14
70071	2300.0	5
70072	9225.0	27
70075	2800.0	2
70076	0	0
70079	22200.0	12
70080	850.0	2
70082	4400.0	3
70083	0	0
70084	28075.0	24
70085	200.0	1
70086	0	0
70087	2250.0	5
70090	3750.0	8
70091	0	0
70092	2000.0	2
70094	3350.0	9
700HH	0	0
700XX	0	0
70112	188773.0	216
70113	116989.0	100
70114	9200.0	15
70115	268928.0	376
70116	58874.0	69
70117	17200.0	21
70118	296114.0	359
70119	85450.0	116
70121	45850.0	39
70122	59321.0	86
70123	73098.0	102
70124	112833.0	180
70125	41300.0	56
70126	16650.0	28
70127	21650.0	23
70128	26250.0	26
70129	20350.0	24
70130	511500.0	548
70131	84650.0	89
70163	17280.0	31
701HH	0	0
701XX	0	0
70301	167277.0	198
70339	21600.0	17
70341	51050.0	73
70342	47050.0	37
70343	29250.0	16
70344	3750.0	4
70345	141070.0	86
70346	14850.0	23
70353	0	0
70354	272867.0	165
70355	850.0	1
70356	250.0	1
70357	30900.0	20
70358	6300.0	4
70359	4250.0	7
70360	454224.0	538
70363	42500.0	47
70364	50050.0	56
70372	3550.0	7
70373	40570.0	41
70374	138000.0	95
70375	2800.0	2
70377	500.0	2
70380	105999.0	98
70390	27100.0	28
70391	18600.0	15
70392	17200.0	34
70393	1000.0	2
70394	25550.0	24
70395	13450.0	11
70397	0	0
703HH	0	0
703XX	0	0
70401	30850.0	33
70403	12050.0	12
70420	11800.0	11
70422	8700.0	13
70426	0	0
70427	7166.0	7
70431	6250.0	9
70433	164290.0	201
70435	51974.0	61
70436	0	0
70437	14050.0	15
70438	15550.0	18
70441	250.0	1
70442	0	0
70443	0	0
70444	1250.0	2
70445	5850.0	12
70446	2000.0	2
70447	25600.0	28
70448	113950.0	103
70449	18010.0	14
70450	500.0	1
70451	300.0	1
70452	20450.0	22
70453	0	0
70454	21200.0	30
70455	3000.0	2
70456	1000.0	1
70458	19150.0	33
70460	6750.0	9
70461	77965.0	83
70462	20150.0	14
70463	0	0
70464	0	0
70465	0	0
70466	1250.0	2
70471	176150.0	218
704HH	0	0
704XX	0	0
70501	53085.0	47
70503	258558.0	304
70506	166051.0	148
70507	13500.0	16
70508	364491.0	357
70510	45150.0	43
70512	16700.0	15
70513	10700.0	12
70514	0	0
70515	0	0
70516	3000.0	6
70517	29950.0	33
70518	88325.0	74
70520	20100.0	22
70521	0	0
70523	2250.0	3
70524	0	0
70525	2000.0	2
70526	32049.0	41
70528	8000.0	5
70529	7900.0	11
70531	0	0
70532	7200.0	3
70533	1300.0	3
70534	5550.0	14
70535	20500.0	26
70537	0	0
70538	19230.0	32
70540	0	0
70541	750.0	1
70542	1750.0	6
70543	0	0
70544	11750.0	17
70546	21750.0	23
70548	2000.0	2
70549	750.0	3
70550	0	0
70552	16800.0	16
70554	3750.0	7
70555	3000.0	4
70556	250.0	1
70558	2650.0	6
70559	0	0
70560	103250.0	115
70563	137199.0	135
70570	31025.0	47
70576	0	0
70577	0	0
70578	4750.0	8
70580	0	0
70581	250.0	1
70582	61900.0	57
70583	10700.0	8
70584	115000.0	83
70585	500.0	1
70586	8750.0	7
70589	0	0
70591	1750.0	3
70592	30265.0	30
705HH	0	0
705XX	0	0
70601	109682.0	123
70605	103233.0	148
70607	1400.0	8
70611	7180.0	16
70615	6000.0	9
70630	9600.0	4
70631	500.0	1
70632	0	0
70633	0	0
70634	10850.0	14
70637	0	0
70638	0	0
70639	0	0
70640	0	0
70643	0	0
70644	0	0
70645	7500.0	9
70646	0	0
70647	2450.0	14
70648	1250.0	5
70650	250.0	1
70651	0	0
70652	0	0
70653	0	0
70654	0	0
70655	7550.0	10
70656	0	0
70657	4250.0	3
70658	0	0
70659	750.0	2
70660	0	0
70661	0	0
70662	0	0
70663	12250.0	21
70665	12900.0	18
70668	4000.0	3
70669	900.0	2
706HH	0	0
706XX	0	0
70706	750.0	2
70710	0	0
70711	3150.0	3
70712	0	0
70714	3250.0	5
70715	800.0	2
70717	0	0
70719	4550.0	2
70720	0	0
70721	0	0
70722	1250.0	4
70723	0	0
70725	0	0
70726	30175.0	34
70729	0	0
70730	500.0	1
70732	0	0
70733	1000.0	2
70734	11400.0	15
70736	750.0	1
70737	30425.0	47
70739	7975.0	13
70740	0	0
70743	0	0
70744	0	0
70747	0	0
70748	1250.0	2
70749	0	0
70750	0	0
70752	-1400.0	4
70753	0	0
70754	6400.0	10
70755	1000.0	1
70756	0	0
70757	1000.0	4
70759	4300.0	6
70760	19800.0	21
70761	0	0
70762	4530.0	6
70763	500.0	1
70764	13450.0	14
70767	25602.0	27
70769	55509.0	85
70770	1744.0	2
70772	0	0
70773	0	0
70774	500.0	1
70775	39799.0	57
70776	5525.0	8
70777	750.0	2
70778	0	0
70780	2200.0	3
70781	0	0
70782	0	0
70783	8900.0	9
70785	7475.0	7
70787	0	0
70788	18900.0	27
70789	1000.0	1
70791	15600.0	23
707HH	0	0
707XX	0	0
70801	57181.0	46
70802	77947.0	93
70805	2950.0	4
70806	146485.0	195
70807	980.0	4
70808	403931.0	541
70809	321485.0	414
70810	418365.0	505
70811	19850.0	15
70812	0	0
70814	400.0	1
70815	38305.0	66
70816	69393.0	116
70817	58200.0	104
70818	4500.0	7
70819	450.0	2
70820	21050.0	35
70836	0	0
708HH	0	0
71001	5400.0	7
71002	0	0
71003	500.0	2
71004	250.0	1
71006	49442.0	60
71007	0	0
71008	0	0
71009	0	0
71016	0	0
71018	500.0	2
71019	10500.0	7
71021	0	0
71023	0	0
71024	1500.0	3
71027	500.0	2
71028	3750.0	6
71029	500.0	1
71030	2000.0	1
71031	0	0
71032	4100.0	5
71033	750.0	3
71034	0	0
71037	10700.0	19
71038	3750.0	9
71039	500.0	1
71040	14550.0	24
71043	4800.0	2
71044	0	0
71045	0	0
71046	2100.0	1
71047	400.0	2
71048	0	0
71049	0	0
71051	750.0	2
71052	21600.0	23
71055	72319.0	124
71060	250.0	1
71061	12950.0	13
71063	0	0
71064	2750.0	5
71065	4450.0	6
71066	0	0
71067	500.0	1
71068	1200.0	2
71069	0	0
71070	0	0
71071	300.0	1
71072	0	0
