zoneID	money	freq
01001	2000.0	5
01002	67950.0	165
01005	800.0	4
01007	2116.0	8
01008	0	0
01010	0	0
01011	0	0
01012	0	0
01013	0	0
01020	1800.0	4
01022	0	0
01026	0	0
01027	2350.0	9
01028	16756.0	26
01029	250.0	1
01030	1500.0	5
01031	0	0
01032	0	0
01033	500.0	2
01034	400.0	2
01035	11200.0	9
01036	2000.0	6
01037	1500.0	3
01038	1000.0	2
01039	500.0	2
01040	15600.0	38
01050	0	0
01053	7302.0	13
01054	16600.0	40
01056	6400.0	11
01057	1200.0	5
01060	100450.0	180
01062	25900.0	45
01068	500.0	2
01069	2700.0	5
01070	0	0
01071	0	0
01072	1750.0	5
01073	1500.0	3
01075	9000.0	21
01077	3500.0	6
01080	0	0
01081	2150.0	5
01082	500.0	2
01083	500.0	2
01084	750.0	2
01085	6850.0	18
01088	0	0
01089	10351.0	20
01092	0	0
01095	13300.0	27
01096	12700.0	13
01098	1000.0	3
010HH	0	0
01103	21000.0	14
01104	250.0	1
01105	750.0	2
01106	68700.0	107
01107	1500.0	3
01108	14750.0	22
01109	575.0	2
01118	3400.0	12
01119	0	0
01128	200.0	1
01129	1200.0	4
01151	0	0
011HH	0	0
01201	40440.0	90
01220	2000.0	6
01222	0	0
01223	1750.0	3
01225	0	0
01226	7650.0	12
01230	17000.0	38
01235	0	0
01236	9200.0	15
01237	1250.0	3
01238	4850.0	10
01240	13400.0	25
01242	0	0
01244	0	0
01245	2750.0	5
01247	8350.0	20
01253	250.0	1
01254	9099.0	22
01255	0	0
01256	0	0
01257	26500.0	70
01258	9600.0	7
01259	0	0
01262	23950.0	17
01264	4400.0	9
01266	1250.0	4
01267	25500.0	54
012HH	0	0
01301	7000.0	21
01330	1950.0	5
01331	2200.0	6
01337	400.0	2
01338	0	0
01339	450.0	3
01340	0	0
01341	4450.0	9
01342	750.0	2
01344	0	0
01346	0	0
01349	200.0	1
01350	0	0
01351	1743.0	7
01355	0	0
01360	1500.0	3
01364	1500.0	3
01366	0	0
01367	0	0
01368	0	0
01370	1650.0	7
01373	1750.0	5
01375	1750.0	6
01376	250.0	1
01378	0	0
01379	29700.0	39
01380	0	0
013HH	0	0
01420	1750.0	3
01430	500.0	1
01431	0	0
01432	1500.0	5
01436	0	0
01438	0	0
01440	0	0
01450	10950.0	33
01451	97150.0	94
01452	250.0	1
01453	19700.0	17
01460	5650.0	21
01462	2750.0	8
01463	2450.0	4
01464	1200.0	5
01467	5500.0	8
01468	0	0
01469	1000.0	1
01473	2750.0	3
01474	0	0
01475	0	0
014HH	0	0
01501	4200.0	9
01503	250.0	1
01504	0	0
01505	14500.0	29
01506	0	0
01507	4900.0	6
01510	1750.0	5
01515	250.0	1
01516	1575.0	2
01518	500.0	2
01519	4450.0	7
01520	14200.0	27
01521	0	0
01522	900.0	4
01523	4100.0	8
01524	2500.0	3
01527	1250.0	2
01529	0	0
01531	1000.0	2
01532	19076.0	41
01534	3250.0	7
01535	0	0
01536	2000.0	5
01537	0	0
01540	600.0	3
01541	1250.0	4
01542	750.0	3
01543	1250.0	2
01545	54502.0	97
01550	500.0	1
01560	200.0	1
01562	1750.0	6
01564	1700.0	6
01566	1500.0	4
01568	3400.0	6
01569	3500.0	6
01570	0	0
01571	0	0
01581	24100.0	51
01583	1550.0	6
01585	1000.0	3
01588	250.0	1
01590	4000.0	8
015HH	0	0
01602	17925.0	45
01603	1200.0	4
01604	11320.0	17
01605	7000.0	15
01606	5400.0	13
01607	250.0	1
01608	10750.0	15
01609	78081.0	130
01610	3400.0	4
01611	0	0
01612	6400.0	9
016HH	0	0
01701	75740.0	90
01702	32005.0	48
01718	0	0
01719	4700.0	16
01720	64652.0	100
01721	8150.0	25
01730	33150.0	65
01731	0	0
01740	7950.0	21
01741	75050.0	106
01742	498429.0	553
01745	0	0
01746	19550.0	40
01747	0	0
01748	65650.0	75
01749	10400.0	18
01752	16550.0	32
01754	20510.0	21
01756	2700.0	4
01757	17550.0	28
01760	88625.0	134
01770	47500.0	59
01772	40720.0	62
01773	246193.0	321
01775	16456.0	40
01776	127400.0	180
01778	319442.0	351
01801	15021.0	39
01803	23600.0	39
01810	211526.0	302
01821	7750.0	10
01824	26000.0	57
01826	16500.0	36
01827	4500.0	7
01830	13050.0	21
01832	1300.0	4
01833	1750.0	6
01834	1550.0	4
01835	10250.0	18
01840	1750.0	6
01841	2150.0	6
01843	1200.0	4
01844	12650.0	29
01845	80900.0	108
01850	1625.0	6
01851	10200.0	19
01852	71150.0	145
01854	5700.0	14
01860	4310.0	5
01862	4550.0	9
01863	3650.0	8
01864	16025.0	30
01867	50900.0	86
01876	27350.0	44
01879	12635.0	27
01880	61660.0	81
01886	38300.0	74
01887	48650.0	87
01890	326298.0	426
018HH	0	0
01902	12200.0	23
01904	4500.0	11
01905	500.0	4
01906	21700.0	39
01907	89550.0	123
01908	22450.0	55
01913	14400.0	22
01915	53275.0	93
01921	42650.0	61
01922	4950.0	15
01923	74466.0	80
01929	37900.0	39
01930	75003.0	138
01938	72925.0	103
01940	29900.0	49
01944	93200.0	119
01945	152306.0	223
01949	29550.0	54
01950	37800.0	72
01951	9340.0	19
01952	7050.0	17
01960	20400.0	52
01966	16000.0	19
01969	44762.0	39
01970	54700.0	118
01982	80262.0	89
01983	25600.0	33
01984	21850.0	34
01985	11900.0	19
019HH	0	0
02019	2675.0	2
02021	115625.0	145
02025	103675.0	118
02026	134400.0	165
02030	213584.0	221
02032	5900.0	12
02035	51621.0	52
02038	27800.0	42
02043	207262.0	249
02045	9865.0	24
02048	25250.0	46
02050	38019.0	49
02052	61865.0	94
02053	7550.0	8
02054	1350.0	5
02056	8150.0	17
02061	52600.0	52
02062	34925.0	52
02066	49982.0	70
02067	136255.0	192
02071	1250.0	2
02072	31075.0	34
02081	41500.0	65
02090	194835.0	224
02093	13125.0	18
020HH	0	0
02108	588248.0	597
02109	280565.0	336
02110	414011.0	406
02111	276311.0	264
02113	53750.0	68
02114	196580.0	264
02115	104850.0	133
02116	954665.0	1073
02118	201599.0	298
02119	59932.0	57
02120	4200.0	19
02121	6500.0	8
02122	22532.0	41
02124	35150.0	61
02125	11850.0	32
02126	2950.0	5
02127	73310.0	111
02128	16700.0	28
02129	128150.0	206
02130	148843.0	365
02131	20640.0	46
02132	81025.0	127
02134	10050.0	15
02135	25143.0	56
02136	7550.0	16
02138	1528092.0	1775
02139	252539.0	366
02140	191014.0	385
02141	76350.0	83
02142	53750.0	60
02143	119575.0	149
02144	68360.0	149
02145	41880.0	65
02148	30600.0	81
02149	5500.0	15
02150	14550.0	21
02151	16350.0	21
02152	27000.0	37
02155	71919.0	125
02163	8650.0	6
02169	70075.0	106
02170	22450.0	36
02171	36900.0	51
02176	72958.0	106
02180	16000.0	40
02184	40500.0	79
02186	303797.0	348
02188	8092.0	10
02189	9300.0	17
02190	10700.0	22
02191	950.0	2
02199	183666.0	159
021HH	0	0
02210	118216.0	149
02215	33142.0	62
02222	0	0
022HH	0	0
02301	10875.0	20
02302	0	0
02322	1750.0	5
02324	11950.0	16
02330	250.0	1
02332	37900.0	59
02333	14066.0	13
02338	4600.0	7
02339	27525.0	44
02341	950.0	3
02343	6275.0	8
02346	2750.0	7
02347	2740.0	8
02351	1850.0	4
02356	46500.0	63
02358	0	0
02359	21000.0	39
02360	30845.0	48
02364	3515.0	8
02366	500.0	2
02367	2400.0	1
02368	7940.0	13
02370	750.0	3
02375	12050.0	23
02379	200.0	1
02382	10725.0	21
023HH	0	0
023XX	0	0
02420	210146.0	213
02421	245306.0	324
02445	630767.0	761
02446	320417.0	527
02451	45340.0	47
02452	8650.0	21
02453	36350.0	50
02458	247085.0	370
02459	297944.0	430
02460	63375.0	101
02461	55141.0	110
02462	37700.0	55
02464	8550.0	10
02465	353550.0	414
02466	95819.0	154
02467	499158.0	533
02468	145965.0	213
02472	81000.0	135
02474	54025.0	139
02476	63500.0	115
02478	532708.0	522
02481	487503.0	552
02482	144750.0	190
02492	239137.0	329
02493	616207.0	603
02494	56215.0	78
02532	5000.0	9
02534	600.0	2
02535	18700.0	38
02536	26300.0	54
02537	8900.0	18
02538	500.0	1
02539	11650.0	21
02540	13950.0	30
02542	0	0
02543	6400.0	20
02554	10150.0	26
02556	4450.0	10
02558	250.0	1
02559	1750.0	4
02563	6550.0	7
02568	9650.0	21
02571	2350.0	7
02575	14162.0	21
02576	0	0
025HH	0	0
025XX	0	0
02601	900.0	4
02630	9100.0	11
02631	24350.0	31
02632	11650.0	23
02633	20600.0	42
02635	12450.0	20
02638	2500.0	4
02639	700.0	2
02642	700.0	3
02644	0	0
02645	8000.0	15
02646	3900.0	8
02647	0	0
02648	5250.0	14
